timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3155,0,0,1
3674,0,0,1
4193,0,0,1
4766,0,0,1
5299,0,0,1
5764,0,0,1
6341,0,0,1
6915,0,0,1
7450,0,0,1
8003,0,0,1
8526,0,0,1
9043,0,0,1
9527,0,0,1
10043,0,0,1
10557,0,0,1
11116,0,0,1
11633,0,0,1
12142,0,0,1
12749,0,0,1
13252,0,0,1
13744,0,0,1
14350,0,0,1
14851,0,0,1
15350,0,0,1
15906,0,0,1
16385,0,0,1
16878,0,0,1
17605,0,0,1
18143,0,0,1
18819,0,0,1
19484,0,0,1
20064,0,0,1
20636,0,0,1
21171,0,0,1
21687,0,0,1
22139,0,0,1
22726,0,0,1
23278,0,0,1
23963,0,0,1
24723,0,0,1
25261,0,0,1
25801,0,0,1
26337,0,0,1
26866,0,0,1
27375,0,0,1
27932,0,0,1
28460,0,0,1
28953,0,0,1
29498,0,0,1
30038,0,0,1
30535,0,0,1
31097,0,0,1
31604,0,0,1
32091,0,0,1
32825,0,0,1
33934,0,0,1
34422,0,0,1
34932,0,0,1
35548,0,0,1
36069,0,0,1
36606,0,0,1
37236,0,0,1
37807,0,0,1
38408,0,0,1
38958,0,0,1
39586,0,0,1
40356,0,0,1
41405,0,0,1
42210,0,0,1
42738,0,0,1
43260,0,0,1
44027,0,0,1
44602,0,0,1
45178,0,0,1
45903,0,0,1
46422,0,0,1
46918,0,0,1
47486,0,0,1
48104,0,0,1
49078,0,0,1
49670,0,0,1
50219,0,0,1
50790,0,0,1
51337,0,0,1
51921,0,0,1
52444,0,0,1
53326,0,0,1
53812,0,0,1
54391,0,0,1
55027,0,0,1
55817,0,0,1
56308,0,0,1
57164,0,0,1
57878,0,0,1
58439,0,0,1
59654,0,0,1
60706,0,0,1
61288,0,0,1
61765,0,0,1
62418,0,0,1
63663,0,0,1
64217,0,0,1
64798,0,0,1
65365,0,0,1
65882,0,0,1
66404,0,0,1
67081,0,0,1
67917,0,0,1
68410,0,0,1
68931,0,0,1
69934,0,0,1
70482,0,0,1
71393,0,0,1
71941,0,0,1
72610,0,0,1
73348,0,0,1
73948,0,0,1
74505,0,0,1
75200,0,0,1
76324,0,0,1
76834,0,0,1
77573,0,0,1
78366,0,0,1
79241,0,0,1
80080,0,0,1
80711,0,0,1
81306,0,0,1
82188,0,0,1
83097,0,0,1
83589,0,0,1
84227,0,0,1
84954,0,0,1
85553,0,0,1
86672,0,0,1
87387,0,0,1
88126,0,0,1
88769,0,0,1
89404,0,0,1
90235,0,0,1
90978,0,0,1
91477,0,0,1
92389,0,0,1
92866,0,0,1
93335,0,0,1
93977,0,0,1
94625,0,0,1
95305,0,0,1
96778,0,0,1
97606,0,0,1
98155,0,0,1
98674,0,0,1
99553,0,0,1
100354,0,0,1
100895,0,0,1
101727,0,0,1
102293,0,0,1
102889,0,0,1
103609,0,0,1
104750,0,0,1
105397,0,0,1
106184,0,0,1
106793,0,0,1
108493,0,0,1
109094,0,0,1
109655,0,0,1
110784,0,0,1
111779,0,0,1
112428,0,0,1
113456,0,0,1
114083,0,0,1
114772,0,0,1
115541,0,0,1
116367,0,0,1
117017,0,0,1
117660,0,0,1
118219,0,0,1
118819,0,0,1
119551,0,0,1
120784,0,0,1
121364,0,0,1
122478,0,0,1
123309,0,0,1
124431,0,0,1
125214,0,0,1
125867,0,0,1
126888,0,0,1
127665,0,0,1
130042,0,0,1
131046,0,0,1
132913,0,0,1
134310,0,0,1
134977,0,0,1
135749,0,0,1
136395,0,0,1
137129,0,0,1
138058,0,0,1
139025,0,0,1
139576,0,0,1
140282,0,0,1
140832,0,0,1
141576,0,0,1
142092,0,0,1
143383,0,0,1
143850,0,0,1
144515,0,0,1
145267,0,0,1
146563,0,0,1
147542,0,0,1
148231,0,0,1
148791,0,0,1
149522,0,0,1
150655,0,0,1
151630,0,0,1
152479,0,0,1
153223,0,0,1
153840,0,0,1
154068,0,1,0
154989,0,0,1
156026,0,0,1
156735,0,0,1
157232,0,0,1
157966,0,0,1
158638,0,0,1
159300,0,0,1
159817,0,0,1
160651,0,0,1
161582,0,0,1
162859,0,0,1
163676,0,0,1
164435,0,0,1
165294,0,0,1
165883,0,0,1
166602,0,0,1
167273,0,0,1
167826,0,0,1
168450,0,0,1
169333,0,0,1
170051,0,0,1
170680,0,0,1
171927,0,0,1
172898,0,0,1
174144,0,0,1
174773,0,0,1
175578,0,0,1
176418,0,0,1
177289,0,0,1
178300,0,0,1
178869,0,0,1
