timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3152,0,0,1
3671,0,0,1
4176,0,0,1
4841,0,0,1
5326,0,0,1
5832,0,0,1
6388,0,0,1
6955,0,0,1
7454,0,0,1
8048,0,0,1
8564,0,0,1
9075,0,0,1
9548,0,0,1
10090,0,0,1
10593,0,0,1
11287,0,0,1
11862,0,0,1
12380,0,0,1
12935,0,0,1
13500,0,0,1
13987,0,0,1
14477,0,0,1
15024,0,0,1
15728,0,0,1
16303,0,0,1
16827,0,0,1
17405,0,0,1
18018,0,0,1
18748,0,0,1
19270,0,0,1
19921,0,0,1
20607,0,0,1
21171,0,0,1
21666,0,0,1
22135,0,0,1
22643,0,0,1
23150,0,0,1
23696,0,0,1
24306,0,0,1
24856,0,0,1
25409,0,0,1
25907,0,0,1
26470,0,0,1
26996,0,0,1
27547,0,0,1
28133,0,0,1
28661,0,0,1
29201,0,0,1
29713,0,0,1
30198,0,0,1
30897,0,0,1
31410,0,0,1
32089,0,0,1
32609,0,0,1
33176,0,0,1
33850,0,0,1
34440,0,0,1
35152,0,0,1
35693,0,0,1
36198,0,0,1
36719,0,0,1
37292,0,0,1
37982,0,0,1
38885,0,0,1
39681,0,0,1
40285,0,0,1
40851,0,0,1
41462,0,0,1
42310,0,0,1
42914,0,0,1
43413,0,0,1
44086,0,0,1
44623,0,0,1
45317,0,0,1
45826,0,0,1
46442,0,0,1
46980,0,0,1
47764,0,0,1
48296,0,0,1
48926,0,0,1
49429,0,0,1
49935,0,0,1
50539,0,0,1
51049,0,0,1
51556,0,0,1
52072,0,0,1
52668,0,0,1
53362,0,0,1
54245,0,0,1
54787,0,0,1
55299,0,0,1
55888,0,0,1
56463,0,0,1
57098,0,0,1
57915,0,0,1
59599,0,0,1
60152,0,0,1
60692,0,0,1
61478,0,0,1
62074,0,0,1
62829,0,0,1
63363,0,0,1
64266,0,0,1
65344,0,0,1
66045,0,0,1
66667,0,0,1
67211,0,0,1
67727,0,0,1
68441,0,0,1
69820,0,0,1
70552,0,0,1
71128,0,0,1
71662,0,0,1
72200,0,0,1
72722,0,0,1
73531,0,0,1
74034,0,0,1
74669,0,0,1
75203,0,0,1
76268,0,0,1
76753,0,0,1
78617,0,0,1
79185,0,0,1
80177,0,0,1
81297,0,0,1
81927,0,0,1
82885,0,0,1
83621,0,0,1
84758,0,0,1
85219,0,0,1
86667,0,0,1
87150,0,0,1
87897,0,0,1
88681,0,0,1
89603,0,0,1
90351,0,0,1
90884,0,0,1
91856,0,0,1
92389,0,0,1
93398,0,0,1
94835,0,0,1
95629,0,0,1
96351,0,0,1
96890,0,0,1
98311,0,0,1
98941,0,0,1
99708,0,0,1
100599,0,0,1
101426,0,0,1
101935,0,0,1
102412,0,0,1
103004,0,0,1
103707,0,0,1
104519,0,0,1
105063,0,0,1
105799,0,0,1
106419,0,0,1
107006,0,0,1
108028,0,0,1
108984,0,0,1
109603,0,0,1
110483,0,0,1
111456,0,0,1
111983,0,0,1
112665,0,0,1
113280,0,0,1
114219,0,0,1
115052,0,0,1
116097,0,0,1
116847,0,0,1
117466,0,0,1
118512,0,0,1
119198,0,0,1
119998,0,0,1
121648,0,0,1
123290,0,0,1
123943,0,0,1
124778,0,0,1
125483,0,0,1
126915,0,0,1
127758,0,0,1
129114,0,0,1
129874,0,0,1
131088,0,0,1
131909,0,0,1
132697,0,0,1
135055,0,0,1
135722,0,0,1
136480,0,0,1
137299,0,0,1
137811,0,0,1
138538,0,0,1
139236,0,0,1
139797,0,0,1
140986,0,0,1
141776,0,0,1
143678,0,0,1
144438,0,0,1
145585,0,0,1
146521,0,0,1
147112,0,0,1
148231,0,0,1
149006,0,0,1
149608,0,0,1
151031,0,0,1
151800,0,0,1
153062,0,0,1
154626,0,0,1
155394,0,0,1
156214,0,0,1
156924,0,0,1
157719,0,0,1
158392,0,0,1
159134,0,0,1
159992,0,0,1
161061,0,0,1
162191,0,0,1
163043,0,0,1
163716,0,0,1
164960,0,0,1
166446,0,0,1
167461,0,0,1
168363,0,0,1
169215,0,0,1
169958,0,0,1
170577,0,0,1
171592,0,0,1
172227,0,0,1
173108,0,0,1
173880,0,0,1
174797,0,0,1
175735,0,0,1
176609,0,0,1
178319,0,0,1
179743,0,0,1
180984,0,0,1
181750,0,0,1
182743,0,0,1
183865,0,0,1
184761,0,0,1
185861,0,0,1
186789,0,0,1
188009,0,0,1
188618,0,0,1
189523,0,0,1
191578,0,0,1
192142,0,0,1
193078,0,0,1
