timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3154,0,0,1
3677,0,0,1
4195,0,0,1
4789,0,0,1
5306,0,0,1
5785,0,0,1
6331,0,0,1
6916,0,0,1
7443,0,0,1
8035,0,0,1
8581,0,0,1
9081,0,0,1
9560,0,0,1
10103,0,0,1
10663,0,0,1
11215,0,0,1
11745,0,0,1
12252,0,0,1
12800,0,0,1
13286,0,0,1
13826,0,0,1
14377,0,0,1
14906,0,0,1
15484,0,0,1
15990,0,0,1
16507,0,0,1
16993,0,0,1
17654,0,0,1
18247,0,0,1
18781,0,0,1
19353,0,0,1
19975,0,0,1
20731,0,0,1
21234,0,0,1
21711,0,0,1
22190,0,0,1
22763,0,0,1
23284,0,0,1
23785,0,0,1
24299,0,0,1
25018,0,0,1
25541,0,0,1
26070,0,0,1
26732,0,0,1
27240,0,0,1
27930,0,0,1
28445,0,0,1
28924,0,0,1
29430,0,0,1
30095,0,0,1
30548,0,0,1
31162,0,0,1
31754,0,0,1
32414,0,0,1
32997,0,0,1
33691,0,0,1
34238,0,0,1
34873,0,0,1
35401,0,0,1
35945,0,0,1
36482,0,0,1
37000,0,0,1
37543,0,0,1
38077,0,0,1
38717,0,0,1
39304,0,0,1
39853,0,0,1
40550,0,0,1
41808,0,0,1
42314,0,0,1
44467,0,0,1
44991,0,0,1
45496,0,0,1
46160,0,0,1
46745,0,0,1
47334,0,0,1
48047,0,0,1
48587,0,0,1
49126,0,0,1
50253,0,0,1
50766,0,0,1
51312,0,0,1
51941,0,0,1
52572,0,0,1
53524,0,0,1
54033,0,0,1
55339,0,0,1
56050,0,0,1
56594,0,0,1
57268,0,0,1
57748,0,0,1
58378,0,0,1
59110,0,0,1
59804,0,0,1
60754,0,0,1
61543,0,0,1
62439,0,0,1
63016,0,0,1
63558,0,0,1
64390,0,0,1
65000,0,0,1
65677,0,0,1
66755,0,0,1
67431,0,0,1
68438,0,0,1
68960,0,0,1
69874,0,0,1
70938,0,0,1
71474,0,0,1
72258,0,0,1
72949,0,0,1
73629,0,0,1
74455,0,0,1
75666,0,0,1
76168,0,0,1
76891,0,0,1
77633,0,0,1
78198,0,0,1
78865,0,0,1
79745,0,0,1
80380,0,0,1
80959,0,0,1
81751,0,0,1
82398,0,0,1
83249,0,0,1
84655,0,0,1
86350,0,0,1
86869,0,0,1
87484,0,0,1
88766,0,0,1
90024,0,0,1
90616,0,0,1
91530,0,0,1
92264,0,0,1
93006,0,0,1
93642,0,0,1
94790,0,0,1
95476,0,0,1
96282,0,0,1
97117,0,0,1
98172,0,0,1
98903,0,0,1
100051,0,0,1
100791,0,0,1
101647,0,0,1
102499,0,0,1
103267,0,0,1
103917,0,0,1
104718,0,0,1
105251,0,0,1
107074,0,0,1
108370,0,0,1
109092,0,0,1
109815,0,0,1
110430,0,0,1
111146,0,0,1
111952,0,0,1
112772,0,0,1
113585,0,0,1
114634,0,0,1
115242,0,0,1
115834,0,0,1
116425,0,0,1
117472,0,0,1
118074,0,0,1
119019,0,0,1
119772,0,0,1
120857,0,0,1
121488,0,0,1
122019,0,0,1
122777,0,0,1
123367,0,0,1
124812,0,0,1
125581,0,0,1
126359,0,0,1
127822,0,0,1
129163,0,0,1
129859,0,0,1
130652,0,0,1
131311,0,0,1
132297,0,0,1
133258,0,0,1
134099,0,0,1
135181,0,0,1
135810,0,0,1
136849,0,0,1
137509,0,0,1
138334,0,0,1
139329,0,0,1
140090,0,0,1
140673,0,0,1
141410,0,0,1
142082,0,0,1
143120,0,0,1
144136,0,0,1
145900,0,0,1
147028,0,0,1
147777,0,0,1
148568,0,0,1
149378,0,0,1
150653,0,0,1
151222,0,0,1
152835,0,0,1
153622,0,0,1
154135,0,0,1
154810,0,0,1
155885,0,0,1
157402,0,0,1
158490,0,0,1
159786,0,0,1
161139,0,0,1
162010,0,0,1
162948,0,0,1
163906,0,0,1
164529,0,0,1
165268,0,0,1
165752,0,0,1
167422,0,0,1
168397,0,0,1
169738,0,0,1
171013,0,0,1
171712,0,0,1
172345,0,0,1
172915,0,0,1
173810,0,0,1
175183,0,0,1
175891,0,0,1
176623,0,0,1
177191,0,0,1
178849,0,0,1
179798,0,0,1
180521,0,0,1
181187,0,0,1
182734,0,0,1
183652,0,0,1
185165,0,0,1
185722,0,0,1
186897,0,0,1
187799,0,0,1
189093,0,0,1
190399,0,0,1
190980,0,0,1
191990,0,0,1
193087,0,0,1
194006,0,0,1
194562,0,0,1
195910,0,0,1
196865,0,0,1
