#{"t_start": 1775141390.92199, "env_id": "AstroExploration-v0"}
r,l,t
-94.617802,487,0.612849
-94.261258,541,1.275526
-91.979514,507,2.149466
-92.720671,569,2.746522
-85.004514,532,3.062627
-92.808627,518,3.719283
-91.481031,523,5.683938
-91.88436,518,7.611573
-90.599849,594,9.568574
-92.658238,517,17.251718
-94.443302,479,18.950902
-90.195158,546,21.016643
-92.852979,585,24.4382
-90.126625,527,26.682016
-88.792798,592,29.134528
-90.738062,546,31.447839
-92.729362,500,33.617346
-93.57434,479,35.602883
-88.55318,543,51.408573
-87.791569,560,54.546062
-92.09778,552,56.937861
-91.580017,530,59.190707
-77.15934,507,61.320749
-94.032648,548,63.6675
-92.704812,486,65.835189
-92.939336,540,68.323343
-92.526828,551,71.000137
-93.284157,529,73.763643
-91.511529,578,95.27436
-89.84361,506,97.734571
-90.857643,517,100.173282
-91.786123,486,102.446811
-92.998215,661,106.45401
-89.85329,593,109.23829
-90.230796,534,111.745174
-90.486438,572,114.451053
-86.076211,622,117.383962
-90.845657,756,126.135426
-92.04867,503,128.492863
-93.676216,477,130.729881
-92.064298,479,133.019281
-92.192349,573,135.79273
-84.354583,521,138.325766
-92.107726,501,140.771301
-91.652641,514,143.271695
-88.920347,719,163.362579
-92.87327,523,166.773935
-89.568262,529,169.426894
-94.199808,662,172.820103
-93.116449,508,175.305067
-94.143823,690,178.637752
-92.295698,515,181.16303
-94.443521,479,183.50918
-93.633124,506,185.940371
-94.141841,665,196.116231
-93.70438,453,198.986315
-92.545996,614,202.008945
-92.864237,592,204.78202
-94.429771,660,207.967123
-93.317047,583,210.766486
-90.134826,694,214.130789
-77.814208,547,216.739644
-92.521303,635,219.749208
-94.001367,528,232.71282
-92.869232,544,235.50018
-94.680921,537,238.02952
-94.645186,518,240.514678
-85.544435,543,243.120752
-91.723951,534,245.813278
-91.379531,640,249.041048
-93.306948,587,251.892265
-88.521283,549,254.605662
-92.759002,697,270.67283
-87.272672,1258,276.803818
-93.036093,506,279.284503
-94.339843,2153,289.908806
-92.389796,524,292.541968
-92.47269,505,300.170244
-93.625208,664,303.534394
-80.136382,585,306.374662
-92.596353,589,309.298799
-90.965043,713,312.785138
-93.584949,540,315.414564
-89.982332,539,318.046013
-91.493814,1127,341.060052
-94.0418,513,343.930617
-91.220047,546,346.610282
-93.376869,629,349.611266
-93.820455,631,352.918624
-69.843546,952,357.646172
-90.406971,509,360.184362
-94.719518,1306,384.806664
-91.148038,711,388.93157
-93.23051,544,392.583593
-91.600447,674,396.180162
-93.141238,480,398.929709
-61.218723,630,402.178501
-93.428667,732,405.882041
-92.872989,694,409.703031
-91.840081,950,1208.253098
-70.141345,789,1213.307015
-91.998716,896,1218.02498
-90.329734,577,1221.397532
-94.068637,542,1224.131297
-69.806968,832,1228.41473
-92.744014,610,1231.528426
-93.391255,677,1239.710345
-94.303582,1078,1245.612859
-93.644715,676,1249.355153
-92.512579,1007,1254.608942
-89.470137,522,1257.308767
-91.059657,914,1262.033855
-91.382841,1064,1301.015563
-94.311428,536,1304.003286
-92.608108,784,1308.102249
-91.310839,691,1311.746102
-89.958032,680,1315.36433
-92.7309,826,1319.727889
-89.99579,1211,1353.233233
-91.951177,502,1356.160501
-92.284594,723,1360.057911
-82.516566,742,1363.92507
-93.806281,565,1366.843616
-93.372749,667,1370.316368
-75.971071,880,1375.050839
-89.034469,635,1439.651359
-94.56943,579,1443.194926
-93.420613,792,1447.702387
-92.576995,647,1451.259617
-94.171739,851,1456.040574
-91.796748,1406,1463.812686
-91.399905,1695,1532.87181
-91.626946,519,1535.682069
-92.844853,615,1538.902178
-88.317658,1282,1545.892937
-88.957743,1258,1560.931393
-77.029989,592,1565.267699
-92.86309,914,1570.635722
-91.388881,734,1574.672396
-55.747763,742,1578.724693
-94.21547,636,1582.201692
-83.499022,1148,1588.481761
-92.47225,686,1618.701092
-63.237606,806,1623.538337
-90.958474,835,1628.007437
-94.596815,1055,1633.66432
-35.989099,731,1637.465857
-82.741275,1148,1646.296259
-73.612621,740,1651.39467
-91.474825,856,1656.307469
-90.782769,852,1660.863845
-93.40253,768,1665.21358
-83.949248,650,1668.738644
-90.716345,801,1673.133012
-92.604898,533,1685.019781
-91.4616,1823,1695.644568
-66.901508,1296,1702.622636
-92.237584,722,1706.536499
-90.717513,723,1710.437798
-93.308528,615,1723.015701
-90.065658,716,1727.277018
-89.36888,806,1731.575988
-90.097934,820,1736.021657
-77.304568,813,1740.410478
-93.694136,1049,1746.096581
-95.294793,608,1753.887878
-92.841579,592,1757.77883
-85.09965,591,1761.496955
-89.549515,1047,1767.192879
-61.533232,602,1770.462296
-93.913996,945,1775.633793
-94.475742,753,1779.648816
-83.498948,1085,1790.148088
-93.233334,631,1793.827368
-92.264032,531,1796.765613
-93.594184,758,1800.987554
-92.778276,590,1804.265545
-90.181454,1445,1812.445129
-93.636414,769,1831.596261
-93.034972,778,1836.88181
-74.461373,1463,1845.213777
-89.771627,1341,1852.949954
-88.533499,696,1856.962147
-87.061557,793,1869.708791
-92.808736,659,1874.208031
-77.888364,986,1879.685998
-94.659495,961,1885.049769
-93.846794,841,1889.724506
-91.057616,1082,1910.054779
-89.983156,629,1914.104158
-54.399685,1039,1920.402172
-84.600167,660,1924.045779
-85.242986,825,1928.712229
-92.445312,995,1934.247423
-95.008348,761,1989.187968
-93.085506,583,1993.796718
-83.545961,737,2001.038381
-94.89752,672,2006.858306
