timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3153,0,0,1
3678,0,0,1
4202,0,0,1
4783,0,0,1
5314,0,0,1
5800,0,0,1
6309,0,0,1
6940,0,0,1
7449,0,0,1
8017,0,0,1
8557,0,0,1
9066,0,0,1
9551,0,0,1
10099,0,0,1
10578,0,0,1
11205,0,0,1
11758,0,0,1
12241,0,0,1
12798,0,0,1
13322,0,0,1
14086,0,0,1
14691,0,0,1
15228,0,0,1
15837,0,0,1
16455,0,0,1
16918,0,0,1
17401,0,0,1
17989,0,0,1
18829,0,0,1
19344,0,0,1
19942,0,0,1
20710,0,0,1
21282,0,0,1
21794,0,0,1
22316,0,0,1
22859,0,0,1
23403,0,0,1
23905,0,0,1
24472,0,0,1
25006,0,0,1
25546,0,0,1
26160,0,0,1
26754,0,0,1
27280,0,0,1
27789,0,0,1
28412,0,0,1
29005,0,0,1
29551,0,0,1
30023,0,0,1
30647,0,0,1
31131,0,0,1
31689,0,0,1
32183,0,0,1
32686,0,0,1
33165,0,0,1
34314,0,0,1
34815,0,0,1
35480,0,0,1
36112,0,0,1
36621,0,0,1
37212,0,0,1
37774,0,0,1
38393,0,0,1
38924,0,0,1
39687,0,0,1
40413,0,0,1
40918,0,0,1
41770,0,0,1
42717,0,0,1
43393,0,0,1
43950,0,0,1
44443,0,0,1
45021,0,0,1
45556,0,0,1
46245,0,0,1
46853,0,0,1
47360,0,0,1
48015,0,0,1
48527,0,0,1
49067,0,0,1
49598,0,0,1
50141,0,0,1
50829,0,0,1
51542,0,0,1
52141,0,0,1
52647,0,0,1
53332,0,0,1
53974,0,0,1
54553,0,0,1
55237,0,0,1
55766,0,0,1
56374,0,0,1
56932,0,0,1
57492,0,0,1
58248,0,0,1
58803,0,0,1
59338,0,0,1
59850,0,0,1
61458,0,0,1
61939,0,0,1
62509,0,0,1
63191,0,0,1
63701,0,0,1
64500,0,0,1
65155,0,0,1
65684,0,0,1
66328,0,0,1
66902,0,0,1
67786,0,0,1
68338,0,0,1
68912,0,0,1
69450,0,0,1
70020,0,0,1
70583,0,0,1
71119,0,0,1
71733,0,0,1
72335,0,0,1
72871,0,0,1
73632,0,0,1
74433,0,0,1
74907,0,0,1
75583,0,0,1
76309,0,0,1
77330,0,0,1
77818,0,0,1
78287,0,0,1
78877,0,0,1
79428,0,0,1
79998,0,0,1
80503,0,0,1
81494,0,0,1
82067,0,0,1
82596,0,0,1
83414,0,0,1
84086,0,0,1
84847,0,0,1
85386,0,0,1
86342,0,0,1
87490,0,0,1
87952,0,0,1
88700,0,0,1
89378,0,0,1
90144,0,0,1
90986,0,0,1
91648,0,0,1
93715,0,0,1
94328,0,0,1
94917,0,0,1
95557,0,0,1
96594,0,0,1
97126,0,0,1
97822,0,0,1
98423,0,0,1
99152,0,0,1
100422,0,0,1
100916,0,0,1
102046,0,0,1
102696,0,0,1
103881,0,0,1
104562,0,0,1
105178,0,0,1
105772,0,0,1
106439,0,0,1
107210,0,0,1
108632,0,0,1
109353,0,0,1
109985,0,0,1
110923,0,0,1
111610,0,0,1
112204,0,0,1
112936,0,0,1
113642,0,0,1
114717,0,0,1
115939,0,0,1
117385,0,0,1
118450,0,0,1
119030,0,0,1
119775,0,0,1
120518,0,0,1
121405,0,0,1
122075,0,0,1
122902,0,0,1
123649,0,0,1
124288,0,0,1
125118,0,0,1
125779,0,0,1
126385,0,0,1
127018,0,0,1
128664,0,0,1
129300,0,0,1
129947,0,0,1
130745,0,0,1
131435,0,0,1
132294,0,0,1
132872,0,0,1
133451,0,0,1
134419,0,0,1
135584,0,0,1
136356,0,0,1
137325,0,0,1
138274,0,0,1
139033,0,0,1
139714,0,0,1
140625,0,0,1
141734,0,0,1
142613,0,0,1
143553,0,0,1
144807,0,0,1
145790,0,0,1
147020,0,0,1
147848,0,0,1
148739,0,0,1
149727,0,0,1
150285,0,0,1
151122,0,0,1
151636,0,0,1
152645,0,0,1
153205,0,0,1
153787,0,0,1
154768,0,0,1
155892,0,0,1
156610,0,0,1
157786,0,0,1
158528,0,0,1
159547,0,0,1
160374,0,0,1
161227,0,0,1
161942,0,0,1
162605,0,0,1
163240,0,0,1
163849,0,0,1
165200,0,0,1
166113,0,0,1
167656,0,0,1
168327,0,0,1
169163,0,0,1
169801,0,0,1
170478,0,0,1
171658,0,0,1
172257,0,0,1
172952,0,0,1
173945,0,0,1
174549,0,0,1
175878,0,0,1
176753,0,0,1
177439,0,0,1
178834,0,0,1
179630,0,0,1
