#{"t_start": 1775157539.153771, "env_id": "AstroExploration-v0"}
r,l,t
-75.35955,487,0.410348
-78.832441,541,0.667089
-72.094934,507,0.876173
-78.931514,569,1.292828
-67.580476,532,1.686311
-80.366415,517,2.707295
-73.644838,525,5.685571
-77.610649,524,8.222857
-63.016498,581,10.078897
-74.318133,531,18.913622
-85.367554,486,20.865132
-81.360802,509,22.988921
-78.830609,631,25.344936
-72.437984,509,27.136424
-66.860824,568,29.222135
-79.054798,540,31.202689
-79.652089,509,33.063387
-83.440155,485,34.797029
-73.839606,548,49.125037
-86.023775,479,50.860544
-73.542925,627,53.21929
-75.518863,553,55.794206
-87.667838,483,58.466935
-84.556841,557,61.347363
-84.600331,524,63.248534
-84.955737,764,65.981981
-84.508656,605,68.19304
-76.506779,537,85.481823
-81.13536,609,87.749309
-84.611731,618,89.921659
-85.543698,463,91.886516
-83.308645,483,94.511713
-82.4929,588,97.980201
-78.814496,840,101.056823
-81.880419,515,102.871605
-81.591354,598,105.068228
-79.013789,768,124.738402
-83.03097,572,126.718488
-80.673742,512,128.703575
-80.965624,522,131.352762
-83.209313,543,134.467577
-78.447186,544,136.569482
-83.354697,502,138.37154
-81.138031,567,140.391001
-83.450632,534,151.375943
-82.934933,540,153.486426
-47.192935,614,155.680272
-81.397218,594,157.908458
-80.316535,526,159.848042
-83.062407,509,161.748837
-80.415532,623,164.065275
-82.900205,593,166.784046
-78.932625,546,170.488815
-81.471942,472,189.300571
-85.709334,624,192.665324
-86.749075,484,195.084636
-81.964883,558,197.511383
-86.236921,494,199.654596
-85.810027,503,201.78022
-88.306632,479,203.908336
-84.062436,1149,208.986775
-86.179661,501,211.765288
-84.263973,665,227.704981
-87.431136,632,230.421603
-87.475612,509,233.429395
-87.803028,591,236.898663
-86.091933,562,239.06774
-82.45026,619,241.407269
-83.999299,531,243.791421
-78.139576,763,246.6819
-85.428013,726,261.202867
-81.597311,505,263.135792
-84.668843,852,266.396998
-83.404608,947,271.7583
-82.732113,676,276.144371
-83.529768,557,278.397514
