timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3155,0,0,1
3676,0,0,1
4190,0,0,1
4775,0,0,1
5291,0,0,1
5801,0,0,1
6321,0,0,1
6896,0,0,1
7429,0,0,1
8014,0,0,1
8544,0,0,1
9059,0,0,1
9539,0,0,1
10066,0,0,1
10569,0,0,1
11189,0,0,1
11725,0,0,1
12225,0,0,1
12746,0,0,1
13212,0,0,1
13739,0,0,1
14273,0,0,1
14790,0,0,1
15310,0,0,1
15911,0,0,1
16414,0,0,1
16870,0,0,1
17378,0,0,1
17914,0,0,1
18770,0,0,1
19314,0,0,1
19883,0,0,1
20564,0,0,1
21571,0,0,1
22042,0,0,1
22649,0,0,1
23142,0,0,1
23692,0,0,1
24338,0,0,1
24873,0,0,1
25419,0,0,1
25939,0,0,1
26475,0,0,1
27000,0,0,1
27550,0,0,1
28059,0,0,1
28540,0,0,1
29089,0,0,1
29767,0,0,1
30296,0,0,1
30799,0,0,1
31383,0,0,1
31919,0,0,1
32391,0,0,1
32926,0,0,1
33462,0,0,1
33923,0,0,1
34473,0,0,1
35069,0,0,1
35617,0,0,1
36113,0,0,1
36645,0,0,1
37153,0,0,1
37657,0,0,1
38208,0,0,1
38776,0,0,1
39290,0,0,1
39829,0,0,1
40573,0,0,1
41110,0,0,1
41717,0,0,1
42236,0,0,1
42848,0,0,1
43384,0,0,1
44143,0,0,1
44631,0,0,1
45104,0,0,1
45711,0,0,1
46435,0,0,1
46948,0,0,1
48030,0,0,1
48685,0,0,1
49279,0,0,1
50047,0,0,1
50658,0,0,1
51268,0,0,1
51955,0,0,1
52536,0,0,1
53158,0,0,1
53741,0,0,1
54568,0,0,1
55113,0,0,1
55637,0,0,1
56200,0,0,1
56735,0,0,1
57304,0,0,1
57862,0,0,1
58488,0,0,1
59042,0,0,1
59613,0,0,1
60294,0,0,1
60867,0,0,1
61344,0,0,1
61966,0,0,1
62817,0,0,1
63925,0,0,1
64382,0,0,1
64939,0,0,1
65512,0,0,1
66312,0,0,1
66921,0,0,1
67415,0,0,1
67961,0,0,1
68482,0,0,1
69098,0,0,1
69796,0,0,1
70336,0,0,1
70963,0,0,1
71498,0,0,1
71986,0,0,1
72467,0,0,1
73186,0,0,1
73735,0,0,1
74297,0,0,1
75055,0,0,1
75803,0,0,1
76358,0,0,1
77011,0,0,1
78095,0,0,1
78663,0,0,1
79630,0,0,1
80248,0,0,1
80831,0,0,1
81330,0,0,1
82423,0,0,1
83190,0,0,1
83806,0,0,1
84366,0,0,1
84922,0,0,1
85582,0,0,1
86195,0,0,1
86758,0,0,1
87374,0,0,1
87962,0,0,1
89155,0,0,1
89897,0,0,1
90468,0,0,1
91291,0,0,1
91852,0,0,1
92370,0,0,1
93275,0,0,1
93847,0,0,1
94686,0,0,1
95363,0,0,1
95867,0,0,1
96674,0,0,1
97225,0,0,1
97959,0,0,1
98531,0,0,1
99487,0,0,1
100045,0,0,1
100678,0,0,1
101149,0,0,1
101790,0,0,1
102630,0,0,1
103179,0,0,1
104000,0,0,1
104760,0,0,1
105389,0,0,1
106735,0,0,1
107470,0,0,1
109502,0,0,1
110021,0,0,1
110544,0,0,1
111275,0,0,1
111934,0,0,1
112506,0,0,1
113074,0,0,1
113587,0,0,1
114867,0,0,1
116128,0,0,1
117132,0,0,1
117620,0,0,1
118183,0,0,1
119311,0,0,1
120027,0,0,1
120933,0,0,1
122170,0,0,1
122825,0,0,1
123472,0,0,1
124366,0,0,1
124877,0,0,1
125458,0,0,1
125980,0,0,1
126843,0,0,1
127813,0,0,1
128374,0,0,1
129017,0,0,1
129793,0,0,1
130415,0,0,1
131429,0,0,1
132079,0,0,1
132693,0,0,1
133450,0,0,1
134046,0,0,1
134862,0,0,1
135689,0,0,1
136281,0,0,1
137216,0,0,1
137874,0,0,1
138497,0,0,1
139545,0,0,1
140122,0,0,1
140666,0,0,1
141422,0,0,1
142392,0,0,1
143153,0,0,1
143998,0,0,1
144756,0,0,1
145679,0,0,1
146324,0,0,1
147004,0,0,1
147724,0,0,1
148465,0,0,1
148931,0,0,1
149546,0,0,1
150181,0,0,1
150763,0,0,1
152868,0,0,1
153914,0,0,1
154500,0,0,1
155095,0,0,1
155634,0,0,1
157029,0,0,1
157894,0,0,1
158439,0,0,1
159318,0,0,1
160343,0,0,1
160973,0,0,1
161603,0,0,1
162656,0,0,1
163634,0,0,1
164906,0,0,1
165556,0,0,1
166243,0,0,1
166862,0,0,1
168217,0,0,1
168924,0,0,1
