timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3155,0,0,1
3672,0,0,1
4181,0,0,1
4842,0,0,1
5330,0,0,1
5824,0,0,1
6369,0,0,1
6986,0,0,1
7500,0,0,1
8047,0,0,1
8559,0,0,1
9065,0,0,1
9539,0,0,1
10100,0,0,1
10603,0,0,1
11254,0,0,1
11789,0,0,1
12276,0,0,1
12806,0,0,1
13356,0,0,1
13935,0,0,1
14468,0,0,1
14950,0,0,1
15521,0,0,1
16062,0,0,1
16574,0,0,1
17179,0,0,1
17664,0,0,1
18251,0,0,1
18881,0,0,1
19433,0,0,1
20116,0,0,1
20627,0,0,1
21148,0,0,1
21636,0,0,1
22119,0,0,1
22659,0,0,1
23144,0,0,1
23801,0,0,1
24356,0,0,1
24960,0,0,1
25522,0,0,1
26061,0,0,1
26627,0,0,1
27115,0,0,1
27619,0,0,1
28151,0,0,1
28765,0,0,1
29261,0,0,1
29766,0,0,1
30463,0,0,1
30945,0,0,1
31692,0,0,1
32219,0,0,1
32715,0,0,1
33297,0,0,1
33840,0,0,1
34371,0,0,1
34926,0,0,1
35478,0,0,1
35983,0,0,1
36486,0,0,1
37097,0,0,1
37608,0,0,1
38104,0,0,1
38709,0,0,1
39273,0,0,1
39873,0,0,1
40496,0,0,1
40975,0,0,1
42357,0,0,1
42915,0,0,1
43560,0,0,1
43834,0,0,1
44811,0,0,1
45285,0,0,1
45869,0,0,1
46597,0,0,1
47583,0,0,1
48168,0,0,1
48816,0,0,1
49363,0,0,1
50028,0,0,1
50657,0,0,1
51193,0,0,1
51732,0,0,1
52386,0,0,1
52923,0,0,1
54249,0,0,1
54777,0,0,1
55280,0,0,1
55903,0,0,1
56410,0,0,1
57056,0,0,1
57606,0,0,1
58172,0,0,1
58741,0,0,1
59300,0,0,1
59780,0,0,1
60289,0,0,1
60916,0,0,1
61685,0,0,1
62853,0,0,1
63334,0,0,1
64184,0,0,1
64682,0,0,1
65698,0,0,1
66894,0,0,1
67720,0,0,1
68205,0,0,1
68681,0,0,1
69386,0,0,1
69975,0,0,1
70737,0,0,1
71812,0,0,1
72566,0,0,1
73522,0,0,1
74222,0,0,1
75293,0,0,1
76144,0,0,1
76737,0,0,1
77684,0,0,1
78268,0,0,1
78831,0,0,1
79443,0,0,1
80280,0,0,1
80756,0,0,1
81420,0,0,1
82316,0,0,1
83205,0,0,1
83916,0,0,1
84524,0,0,1
85458,0,0,1
86406,0,0,1
86936,0,0,1
87483,0,0,1
88318,0,0,1
88793,0,0,1
89487,0,0,1
90354,0,0,1
91642,0,0,1
92419,0,0,1
93541,0,0,1
95048,0,0,1
95716,0,0,1
96348,0,0,1
96885,0,0,1
97662,0,0,1
98589,0,0,1
99267,0,0,1
100326,0,0,1
100875,0,0,1
101595,0,0,1
102537,0,0,1
103307,0,0,1
103928,0,0,1
104524,0,0,1
105500,0,0,1
106579,0,0,1
107250,0,0,1
107829,0,0,1
108754,0,0,1
109394,0,0,1
110231,0,0,1
112497,0,0,1
113385,0,0,1
114261,0,0,1
115038,0,0,1
115943,0,0,1
116638,0,0,1
117172,0,0,1
117757,0,0,1
119285,0,0,1
119901,0,0,1
120909,0,0,1
121617,0,0,1
122511,0,0,1
123050,0,0,1
123744,0,0,1
124388,0,0,1
125002,0,0,1
125671,0,0,1
126563,0,0,1
128069,0,0,1
129059,0,0,1
130118,0,0,1
130885,0,0,1
131707,0,0,1
133655,0,0,1
134312,0,0,1
135765,0,0,1
136398,0,0,1
137312,0,0,1
137845,0,0,1
138783,0,0,1
139603,0,0,1
140399,0,0,1
140902,0,0,1
141951,0,0,1
142660,0,0,1
143985,0,0,1
144747,0,0,1
145481,0,0,1
146322,0,0,1
147578,0,0,1
148264,0,0,1
149911,0,0,1
150515,0,0,1
151132,0,0,1
151947,0,0,1
152950,0,0,1
154069,0,0,1
155015,0,0,1
155853,0,0,1
156640,0,0,1
157482,0,0,1
159015,0,0,1
159594,0,0,1
160335,0,0,1
160974,0,0,1
161925,0,0,1
162438,0,0,1
163139,0,0,1
164382,0,0,1
165266,0,0,1
165884,0,0,1
167055,0,0,1
168341,0,0,1
169569,0,0,1
170288,0,0,1
171258,0,0,1
172244,0,0,1
173129,0,0,1
174396,0,0,1
175231,0,0,1
176216,0,0,1
176973,0,0,1
178373,0,0,1
178971,0,0,1
179833,0,0,1
181253,0,0,1
181929,0,0,1
183095,0,0,1
184789,0,0,1
185465,0,0,1
186803,0,0,1
187731,0,0,1
188719,0,0,1
