#{"t_start": 1775164816.121513, "env_id": "AstroExploration-v0"}
r,l,t
-92.329609,487,0.418049
-91.241923,541,0.681886
-85.996769,507,0.895689
-88.105572,569,1.265276
-71.053839,532,1.765046
-87.892312,519,2.359053
-85.351088,517,4.15758
-88.397739,509,6.525664
-87.231288,661,9.144042
-90.90163,488,20.630903
-87.971821,494,22.065279
-89.297784,545,23.765263
-91.740151,617,25.762014
-82.518455,514,27.964976
-90.171231,547,29.728033
-86.645124,512,31.378323
-84.563366,506,32.966965
-90.264918,474,34.462079
-75.250139,561,50.221996
-86.141384,503,51.851003
-76.957914,651,53.971692
-77.950578,535,55.725894
-87.938505,487,57.291634
-91.634653,530,58.974709
-90.85731,550,60.842338
-89.33663,579,63.223549
-88.88481,533,65.544211
-91.003572,482,67.494924
-88.411807,571,78.133104
-79.716128,541,80.051015
-85.520487,512,81.854356
-86.982898,605,83.955154
-86.276638,485,85.617815
-87.876369,587,87.572066
-76.466801,630,89.781114
-83.325518,552,92.014966
-86.651351,683,115.853466
-87.475909,511,118.820541
-84.238877,521,122.163438
-85.670627,488,124.856102
-83.008994,483,126.835757
-78.326425,540,129.068943
-83.009905,485,131.635846
-86.902651,657,134.42394
-88.155267,555,137.645864
-72.207419,604,141.256983
-88.649666,562,164.749418
-67.266839,539,166.739157
-54.713061,566,168.865377
-90.991387,488,171.15183
-89.536217,504,173.162287
-86.781656,532,175.174783
-88.242364,614,177.363214
-89.638401,496,179.109738
-88.518349,505,180.926079
-85.041636,697,188.612561
-88.00524,482,190.335713
-81.304926,747,193.025868
-90.075135,527,194.924488
-88.759165,496,196.762784
-86.908959,582,199.351755
-84.194405,543,201.70023
-84.461763,531,203.683432
-84.261234,555,205.907003
-81.945831,552,212.960791
-87.735778,505,214.860075
-90.594006,503,216.715352
-80.681618,611,219.02077
-87.287446,511,220.895165
-89.491576,496,222.730885
-82.975454,605,225.749713
-87.996489,564,228.608305
-89.794694,600,232.446376
-89.101204,623,244.603482
-89.329493,479,247.097022
-85.658144,1382,252.278253
-87.05218,558,254.927625
-86.613089,645,257.440502
-98.633545,274,258.493878
-72.561766,977,263.441167
-89.533806,474,279.719611
-71.440736,584,281.889604
-89.792552,728,284.612533
-72.426228,986,289.771394
-88.92498,585,293.285796
-64.198626,648,296.858088
-89.224136,547,299.833617
-86.979815,665,311.598539
-75.395307,629,314.090318
-86.315513,536,316.115345
-72.239637,539,318.658731
-80.354168,654,321.677439
-88.148511,537,323.976369
-89.311058,1326,329.296508
-89.375549,528,331.356982
-90.56652,503,349.918391
-67.21601,623,352.685288
-87.747215,507,354.876671
-89.222437,646,357.431865
-82.917428,550,359.540637
-84.197175,566,361.813319
-86.472857,569,364.114078
-78.368572,559,366.357824
-90.100649,480,368.276362
-90.954076,509,379.995362
-83.388173,627,384.114497
-82.532847,769,388.556194
-83.163862,1168,394.255466
-87.954171,481,396.168419
-85.381944,850,399.563415
-89.209953,498,401.57761
-56.254654,1016,418.536085
-52.791751,1196,423.535089
-44.298508,826,426.981526
-90.274886,485,428.949626
-86.723723,476,430.862376
-80.332105,705,433.766515
-89.821437,589,436.350322
-76.584167,762,453.768023
-55.117403,1075,458.163824
-75.862472,754,461.653614
-68.835867,956,465.694558
-78.357571,700,469.134056
-64.64867,1071,483.021169
-85.534281,851,486.645509
-88.073842,593,489.175971
-76.367194,947,493.043346
-47.020348,584,495.534958
-76.655799,563,498.852705
-44.508359,612,502.72722
-36.705052,837,546.290538
-79.9132,476,548.354072
-68.615293,664,551.194879
-65.153245,896,555.756058
-69.98775,889,560.794836
-82.077711,711,565.291875
-24.170221,608,568.63639
-88.944481,934,582.948958
-75.422511,948,588.495954
-79.845678,530,590.970338
-83.478947,547,593.75874
-82.012477,835,597.648782
-81.933908,475,599.900615
-66.344691,694,602.922589
-72.105857,867,614.243116
-72.225792,1288,620.264377
-69.790738,777,624.284922
-63.097434,1122,629.360238
-53.317167,1507,650.061268
