timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3155,0,0,1
3671,0,0,1
4179,0,0,1
4932,0,0,1
5455,0,0,1
5982,0,0,1
6509,0,0,1
7078,0,0,1
7568,0,0,1
8171,0,0,1
8667,0,0,1
9184,0,0,1
9688,0,0,1
10213,0,0,1
10693,0,0,1
11260,0,0,1
11796,0,0,1
12260,0,0,1
12769,0,0,1
13262,0,0,1
13761,0,0,1
14288,0,0,1
14794,0,0,1
15271,0,0,1
15790,0,0,1
16443,0,0,1
16931,0,0,1
17425,0,0,1
17968,0,0,1
18654,0,0,1
19185,0,0,1
19689,0,0,1
20192,0,0,1
20758,0,0,1
21479,0,0,1
21956,0,0,1
22457,0,0,1
22980,0,0,1
23554,0,0,1
24083,0,0,1
24575,0,0,1
25198,0,0,1
25767,0,0,1
26301,0,0,1
26908,0,0,1
27403,0,0,1
27910,0,0,1
28710,0,0,1
29199,0,0,1
29750,0,0,1
30254,0,0,1
31221,0,0,1
31905,0,0,1
32539,0,0,1
33843,0,0,1
34382,0,0,1
34949,0,0,1
35455,0,0,1
36159,0,0,1
36664,0,0,1
37455,0,0,1
38014,0,0,1
38551,0,0,1
39053,0,0,1
40067,0,0,1
40763,0,0,1
41559,0,0,1
42447,0,0,1
42948,0,0,1
43807,0,0,1
44362,0,0,1
44946,0,0,1
45554,0,0,1
46297,0,0,1
47189,0,0,1
47908,0,0,1
48878,0,0,1
49393,0,0,1
49941,0,0,1
50426,0,0,1
50980,0,0,1
51546,0,0,1
52357,0,0,1
53150,0,0,1
53770,0,0,1
54405,0,0,1
55034,0,0,1
55576,0,0,1
56117,0,0,1
56639,0,0,1
57337,0,0,1
57951,0,0,1
58445,0,0,1
59008,0,0,1
59523,0,0,1
60289,0,0,1
61116,0,0,1
61714,0,0,1
62309,0,0,1
62830,0,0,1
63369,0,0,1
63879,0,0,1
64631,0,0,1
65219,0,0,1
65830,0,0,1
66638,0,0,1
67620,0,0,1
68226,0,0,1
68824,0,0,1
69340,0,0,1
69834,0,0,1
70472,0,0,1
71092,0,0,1
72100,0,0,1
72672,0,0,1
73437,0,0,1
73926,0,0,1
74895,0,0,1
75536,0,0,1
76085,0,0,1
76915,0,0,1
77419,0,0,1
78714,0,0,1
79327,0,0,1
79953,0,0,1
80612,0,0,1
81218,0,0,1
81789,0,0,1
82519,0,0,1
83085,0,0,1
83592,0,0,1
84085,0,0,1
84826,0,0,1
85642,0,0,1
86206,0,0,1
87138,0,0,1
87710,0,0,1
88449,0,0,1
89195,0,0,1
90204,0,0,1
90982,0,0,1
91602,0,0,1
92271,0,0,1
92768,0,0,1
93268,0,0,1
94181,0,0,1
94781,0,0,1
95381,0,0,1
95901,0,0,1
96660,0,0,1
97213,0,0,1
97845,0,0,1
99869,0,0,1
100836,0,0,1
101592,0,0,1
102596,0,0,1
103355,0,0,1
103907,0,0,1
104518,0,0,1
105171,0,0,1
105830,0,0,1
106385,0,0,1
107033,0,0,1
107813,0,0,1
108732,0,0,1
109429,0,0,1
110051,0,0,1
110614,0,0,1
111187,0,0,1
111899,0,0,1
112635,0,0,1
113733,0,0,1
114747,0,0,1
115609,0,0,1
116442,0,0,1
117645,0,0,1
118287,0,0,1
118770,0,0,1
119452,0,0,1
120438,0,0,1
121227,0,0,1
122124,0,0,1
122887,0,0,1
123580,0,0,1
124250,0,0,1
124896,0,0,1
126589,0,0,1
127208,0,0,1
127708,0,0,1
128907,0,0,1
129568,0,0,1
130119,0,0,1
130668,0,0,1
131234,0,0,1
131862,0,0,1
132581,0,0,1
133228,0,0,1
134022,0,0,1
134552,0,0,1
135462,0,0,1
136043,0,0,1
137614,0,0,1
138583,0,0,1
140216,0,0,1
141395,0,0,1
142034,0,0,1
142663,0,0,1
143705,0,0,1
144234,0,0,1
144803,0,0,1
145420,0,0,1
146278,0,0,1
147036,0,0,1
148439,0,0,1
149006,0,0,1
149913,0,0,1
150575,0,0,1
151280,0,0,1
152625,0,0,1
153210,0,0,1
154067,0,0,1
154877,0,0,1
155485,0,0,1
156166,0,0,1
156850,0,0,1
157338,0,0,1
158837,0,0,1
159512,0,0,1
160243,0,0,1
161301,0,0,1
162141,0,0,1
163146,0,0,1
164054,0,0,1
164632,0,0,1
166328,0,0,1
167122,0,0,1
168213,0,0,1
169026,0,0,1
170187,0,0,1
170843,0,0,1
171816,0,0,1
172773,0,0,1
173528,0,0,1
174256,0,0,1
174834,0,0,1
175746,0,0,1
176486,0,0,1
177208,0,0,1
