#{"t_start": 1775154436.88565, "env_id": "AstroExploration-v0"}
r,l,t
-92.137711,487,1.455084
-92.600931,541,4.252748
-91.958328,507,6.535638
-91.948672,569,9.130458
-77.248073,532,10.558635
-92.462615,519,12.432889
-92.413574,516,17.351634
-91.551855,508,22.082811
-91.039559,753,28.653761
-91.904992,523,49.358392
-92.778101,527,54.769086
-93.061755,527,59.252877
-92.026442,569,64.931074
-93.741823,490,69.44367
-92.547296,603,77.91444
-93.141926,496,82.263265
-92.75338,517,86.863504
-93.393344,504,91.506254
-92.391062,525,111.699183
-94.006431,480,116.371621
-93.495382,567,122.798937
-91.719195,536,128.874542
-93.882107,464,133.42155
-92.786026,509,140.077588
-92.521672,493,145.855245
-92.684651,499,151.110812
-92.185393,527,156.055542
-93.093139,506,160.50344
-92.828943,477,206.544053
-91.162209,519,213.837449
-93.35576,653,220.455638
-92.637701,488,225.790697
-92.929996,494,231.785618
-93.400331,543,237.55075
-93.70219,686,244.978493
-92.976611,531,249.92411
-93.244174,504,256.413787
-93.367228,503,295.380756
-93.686962,566,300.672961
-93.615147,721,305.768329
-94.088416,477,309.313308
-93.025133,501,313.545825
-93.164476,523,317.512136
-92.780387,574,320.204221
-93.358169,529,322.425618
-93.573969,492,324.167098
-91.783319,623,335.688592
-89.794298,569,338.494162
-91.441592,534,341.287853
-92.490041,607,343.9822
-92.150056,495,346.539712
-93.55681,507,349.261491
-88.395443,800,353.142385
-92.116106,489,355.075181
-85.912756,551,357.132727
-94.093728,504,369.103175
-93.184472,967,374.253901
-80.933122,684,376.974789
-91.842028,634,379.286566
-92.537746,1304,383.572912
-92.191031,539,385.870119
-93.879725,567,387.811411
-92.946496,506,396.953665
-91.875291,704,399.71525
-92.884804,505,401.357937
-92.880598,791,403.922435
-93.468822,559,405.780785
-92.898069,537,407.588167
-94.103961,502,409.260065
-91.799704,1014,419.1516
-91.734433,696,421.898283
-92.679457,796,424.840433
-91.51712,888,427.728029
-91.895654,501,429.378037
-91.553294,859,432.129636
-92.702083,555,433.840454
-91.523834,584,435.502096
-91.642968,608,446.147959
-93.165559,743,449.099762
-92.998063,892,452.022294
-90.772032,719,454.447506
-90.969898,970,457.623991
-91.676939,515,459.144404
-91.281969,548,460.691856
-91.341029,485,475.175716
-79.258337,554,477.510049
-90.739563,566,479.485791
-81.631897,811,482.172113
-89.788093,793,484.876553
-85.683451,620,486.873559
-92.027224,635,488.801509
-89.690667,629,502.681015
-77.699714,542,505.049984
-89.862688,541,507.847025
-90.609397,522,509.589957
-90.151143,698,511.929999
-86.774321,614,514.029573
-90.349671,494,515.957224
-85.30732,563,517.925559
-88.847847,515,519.66961
-86.902908,766,536.809314
-86.185925,827,540.093122
-84.485117,598,542.092523
-78.903899,595,544.085399
-86.938032,521,545.879058
-89.73071,539,547.710435
-89.119455,510,549.344516
-88.236616,752,551.596418
-80.674206,588,560.09002
-90.255034,611,562.721152
-89.851896,808,565.504578
-65.46407,982,568.807544
-84.068949,606,571.067619
-90.613307,598,573.199926
-92.602654,516,575.437588
-91.386483,494,577.065927
-90.935916,638,588.133888
-89.756789,620,591.064848
-79.038816,1008,594.9812
-91.35869,572,597.29359
-64.048349,765,600.480087
-88.103701,489,602.598715
-74.351245,969,606.164297
-85.390461,641,616.805682
-88.589951,549,619.699328
-85.775174,830,623.052929
-89.130035,504,624.83767
-89.821956,1295,629.284837
-88.487475,613,631.754743
-86.721452,626,634.217239
-81.187239,659,645.514934
-79.449696,606,647.920344
-89.011247,571,649.832373
-90.909403,730,652.348524
-89.942881,566,654.312139
-90.115804,507,656.054212
-85.732,493,657.645188
-82.383094,741,659.826263
-69.842635,816,671.007897
-87.447386,564,673.253764
-78.637389,932,676.390845
-76.091558,572,678.354334
-50.95719,739,680.916294
-74.585956,746,683.314059
-84.433526,1009,699.166037
-88.296277,778,702.562385
-81.465711,620,704.821649
-87.545306,669,707.101567
-92.237288,497,708.810412
-92.086781,500,710.524068
-78.965981,913,713.618317
-87.534785,600,715.524306
-91.538934,600,726.034873
-91.931507,520,727.940691
-91.160909,759,730.626225
-92.021309,553,732.511782
-91.560493,632,734.702032
-90.363777,2024,741.168065
-90.29668,967,755.858892
-90.702541,756,758.5664
-90.705612,1004,761.957765
-89.731243,759,764.620531
-91.027579,552,766.493752
-82.554689,611,768.365274
-92.293814,653,780.272154
-90.69978,659,784.048991
-79.494919,555,786.576167
-82.396299,648,788.990169
-85.2872,780,792.334735
-68.505316,919,795.589774
-88.453469,697,797.80463
-75.853762,622,807.554437
-83.815399,563,810.302428
-88.576623,573,813.01715
-88.925017,712,815.448038
-82.281108,736,818.384876
-60.47959,1098,822.589134
