timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3151,0,0,1
3674,0,0,1
4191,0,0,1
4814,0,0,1
5294,0,0,1
5786,0,0,1
6300,0,0,1
6869,0,0,1
7370,0,0,1
7941,0,0,1
8477,0,0,1
8997,0,0,1
9481,0,0,1
10004,0,0,1
10573,0,0,1
11184,0,0,1
11717,0,0,1
12197,0,0,1
12757,0,0,1
13259,0,0,1
13796,0,0,1
14324,0,0,1
14858,0,0,1
15342,0,0,1
15856,0,0,1
16387,0,0,1
16907,0,0,1
17402,0,0,1
18091,0,0,1
18680,0,0,1
19260,0,0,1
19875,0,0,1
20761,0,0,1
21323,0,0,1
21785,0,0,1
22277,0,0,1
22779,0,0,1
23434,0,0,1
23902,0,0,1
24457,0,0,1
25056,0,0,1
25593,0,0,1
26122,0,0,1
26730,0,0,1
27243,0,0,1
27843,0,0,1
28416,0,0,1
29055,0,0,1
29633,0,0,1
30097,0,0,1
31128,0,0,1
31660,0,0,1
32152,0,0,1
32664,0,0,1
33382,0,0,1
34151,0,0,1
34838,0,0,1
35346,0,0,1
35904,0,0,1
36447,0,0,1
37080,0,0,1
37707,0,0,1
38280,0,0,1
38841,0,0,1
39469,0,0,1
40165,0,0,1
40724,0,0,1
41286,0,0,1
41973,0,0,1
42608,0,0,1
43914,0,0,1
44773,0,0,1
45369,0,0,1
46257,0,0,1
46891,0,0,1
47528,0,0,1
48123,0,0,1
49798,0,0,1
50554,0,0,1
51307,0,0,1
51817,0,0,1
52340,0,0,1
53061,0,0,1
53614,0,0,1
54104,0,0,1
54684,0,0,1
55310,0,0,1
57132,0,0,1
57910,0,0,1
58456,0,0,1
59026,0,0,1
59565,0,0,1
60305,0,0,1
60784,0,0,1
61343,0,0,1
61932,0,0,1
62486,0,0,1
63055,0,0,1
63720,0,0,1
64329,0,0,1
65179,0,0,1
66109,0,0,1
66692,0,0,1
67408,0,0,1
67933,0,0,1
68460,0,0,1
69062,0,0,1
69729,0,0,1
70663,0,0,1
71216,0,0,1
71929,0,0,1
72616,0,0,1
74130,0,0,1
74796,0,0,1
75558,0,0,1
76502,0,0,1
77392,0,0,1
78048,0,0,1
78905,0,0,1
79983,0,0,1
80532,0,0,1
81086,0,0,1
81697,0,0,1
83266,0,0,1
84122,0,0,1
84837,0,0,1
85450,0,0,1
86336,0,0,1
86855,0,0,1
87767,0,0,1
88329,0,0,1
88871,0,0,1
89612,0,0,1
90192,0,0,1
90724,0,0,1
91688,0,0,1
92310,0,0,1
92956,0,0,1
93603,0,0,1
94063,0,0,1
94831,0,0,1
95759,0,0,1
97792,0,0,1
98794,0,0,1
99508,0,0,1
100513,0,0,1
101336,0,0,1
102138,0,0,1
102781,0,0,1
104060,0,0,1
104852,0,0,1
105852,0,0,1
106820,0,0,1
107601,0,0,1
108449,0,0,1
109256,0,0,1
110603,0,0,1
111236,0,0,1
112068,0,0,1
112767,0,0,1
114345,0,0,1
115253,0,0,1
115782,0,0,1
116622,0,0,1
117146,0,0,1
118195,0,0,1
119102,0,0,1
119779,0,0,1
120397,0,0,1
121156,0,0,1
122674,0,0,1
123774,0,0,1
124828,0,0,1
126492,0,0,1
127643,0,0,1
128707,0,0,1
129565,0,0,1
130116,0,0,1
130700,0,0,1
131719,0,0,1
132527,0,0,1
133412,0,0,1
134038,0,0,1
134590,0,0,1
135972,0,0,1
137798,0,0,1
138637,0,0,1
139225,0,0,1
140243,0,0,1
141175,0,0,1
141893,0,0,1
142757,0,0,1
143724,0,0,1
144676,0,0,1
145160,0,0,1
145978,0,0,1
147244,0,0,1
147923,0,0,1
148749,0,0,1
149982,0,0,1
150870,0,0,1
151889,0,0,1
152565,0,0,1
153141,0,0,1
153872,0,0,1
154974,0,0,1
155564,0,0,1
156562,0,0,1
157391,0,0,1
158026,0,0,1
159233,0,0,1
159860,0,0,1
160531,0,0,1
161164,0,0,1
162137,0,0,1
163932,0,0,1
165511,0,0,1
166266,0,0,1
167842,0,0,1
168679,0,0,1
170010,0,0,1
170973,0,0,1
171978,0,0,1
172811,0,0,1
173735,0,0,1
174730,0,0,1
175545,0,0,1
176328,0,0,1
177666,0,0,1
178395,0,0,1
179160,0,0,1
179875,0,0,1
181041,0,0,1
181946,0,0,1
183008,0,0,1
184461,0,0,1
185468,0,0,1
186168,0,0,1
187090,0,0,1
187763,0,0,1
188370,0,0,1
188920,0,0,1
189886,0,0,1
191309,0,0,1
191883,0,0,1
192692,0,0,1
193568,0,0,1
194180,0,0,1
