#{"t_start": 1775174445.7202342, "env_id": "AstroExploration-v0"}
r,l,t
-87.729147,487,0.519958
-93.396341,541,0.804469
-81.884541,507,1.06686
-89.931116,569,1.327185
-83.798962,532,1.566655
-92.520475,515,2.243142
-88.465892,523,4.670471
-89.063573,517,6.893525
-82.183523,623,9.266649
-92.879662,480,16.208735
-92.077654,492,18.108542
-91.916992,514,20.330261
-89.982894,569,23.368152
-79.999742,501,26.383683
-81.089928,571,28.841481
-87.632739,536,31.182358
-86.655323,520,33.482152
-93.654278,484,35.548808
-92.932071,523,44.380346
-93.821533,569,47.052545
-83.609722,611,49.786811
-91.263559,533,52.17985
-88.165561,480,54.420292
-92.956938,560,57.208136
-92.381801,502,60.099857
-83.685683,537,62.815099
-93.130875,528,65.450622
-93.046184,534,68.324581
-92.807565,484,83.25584
-90.200418,514,85.81786
-92.894564,531,88.31605
-77.581287,520,90.822643
-92.582511,495,93.150456
-89.937599,689,96.457718
-90.648826,589,99.263828
-90.242271,580,101.996079
-77.412907,615,106.16649
-92.342838,886,124.879293
-85.699018,562,128.76723
-90.849548,462,132.059943
-89.356488,492,135.562902
-91.78579,502,138.564183
-91.263692,655,143.236985
-92.1153,468,146.869034
-92.2225,555,150.355787
-82.698454,599,166.673661
-89.409548,537,171.445394
-84.227358,529,175.359468
-82.478181,608,179.566142
-82.633185,513,185.737181
-88.228304,600,195.99735
-84.369734,573,203.710253
-89.505427,639,210.609879
-89.298773,578,215.520911
-89.789063,464,236.926872
-90.561086,1031,242.829854
-88.712901,532,245.934006
-90.792588,492,249.077337
-88.648803,512,252.810796
-89.411193,718,257.160908
-71.507964,769,262.553583
-83.169982,687,267.485706
-90.93962,508,281.887455
-82.742194,558,284.687963
-88.423924,543,287.47447
-80.35542,633,290.683958
-81.025983,627,293.86891
-63.9834,573,296.704897
-89.537252,561,299.574727
-81.781061,628,302.922085
-88.139737,696,325.241417
-86.449714,559,328.14625
-87.957901,562,330.949273
-90.14223,687,334.334052
-79.161409,635,337.995545
-87.878653,1306,345.667097
-86.945639,859,350.291093
-79.706031,596,367.326747
-78.441778,888,372.670132
-91.257318,634,376.883513
-83.116018,637,380.351231
-84.199098,595,383.847727
-87.315908,1675,392.916625
-88.56713,756,406.475
-70.450875,753,410.278222
-82.019218,510,412.85697
-88.415307,523,415.472043
-86.854041,721,419.039658
-83.027193,553,421.862023
-86.878864,490,424.538129
-87.962225,580,427.669554
-76.483997,626,443.030032
-88.154075,1822,452.603107
-87.625842,778,456.61489
-69.785823,546,459.357477
-89.17091,570,462.272537
-87.002023,539,465.018176
-87.604267,740,475.775573
-88.20972,479,478.245666
-80.798491,559,481.086254
-83.588043,589,484.942517
-82.063552,554,487.924651
-86.046094,569,491.374022
-70.689692,665,495.062927
-84.915876,609,498.407371
-85.489171,850,516.952686
-80.695408,930,521.707237
-83.772486,583,524.687791
-86.092953,716,528.288829
-74.066945,525,531.00504
-84.754333,527,533.895998
-72.376667,602,537.861633
-90.047109,667,541.370998
-59.258046,934,564.002105
-81.29318,553,567.197467
-86.235836,713,570.883268
-85.106816,687,574.395782
-87.770208,1514,584.65397
-81.981578,666,588.814274
-78.585884,762,641.342564
-90.392708,944,649.699976
-88.011831,890,658.946685
-82.471829,656,664.318841
-86.14692,857,676.115506
-81.06674,1078,688.632311
-86.984167,549,717.418444
-88.511417,554,720.745542
-87.883979,611,726.062653
-82.576751,1569,740.115552
-66.736715,856,750.076136
-90.740513,715,754.215893
-81.231488,613,788.268496
-92.152953,886,793.842692
-91.409253,519,796.920156
-78.996699,912,802.67413
-90.135127,562,805.966647
-89.111335,542,809.090591
-84.276324,741,813.167658
-90.289769,580,820.690917
-91.40964,532,823.654088
-73.596438,964,828.777784
-90.466938,622,832.084376
-90.951495,646,835.649052
-91.44308,647,839.970378
-91.275626,460,842.727256
-91.305535,768,847.41159
-70.169033,928,865.946335
-73.304184,2033,877.125572
