timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3150,0,0,1
3662,0,0,1
4152,0,0,1
4703,0,0,1
5284,0,0,1
5790,0,0,1
6310,0,0,1
6863,0,0,1
7339,0,0,1
7907,0,0,1
8446,0,0,1
8974,0,0,1
9535,0,0,1
10105,0,0,1
10602,0,0,1
11222,0,0,1
11784,0,0,1
12259,0,0,1
12803,0,0,1
13302,0,0,1
13822,0,0,1
14362,0,0,1
14841,0,0,1
15401,0,0,1
15942,0,0,1
16421,0,0,1
16939,0,0,1
17431,0,0,1
18464,0,0,1
19010,0,0,1
19500,0,0,1
20006,0,0,1
20714,0,0,1
21267,0,0,1
21740,0,0,1
22214,0,0,1
22753,0,0,1
23256,0,0,1
23821,0,0,1
24344,0,0,1
24847,0,0,1
25343,0,0,1
25841,0,0,1
26460,0,0,1
26992,0,0,1
27493,0,0,1
28017,0,0,1
28599,0,0,1
29131,0,0,1
29661,0,0,1
30159,0,0,1
30714,0,0,1
31196,0,0,1
31781,0,0,1
32670,0,0,1
33224,0,0,1
33825,0,0,1
34353,0,0,1
34827,0,0,1
35383,0,0,1
36021,0,0,1
36529,0,0,1
37155,0,0,1
37948,0,0,1
38482,0,0,1
39026,0,0,1
39758,0,0,1
40662,0,0,1
41803,0,0,1
42368,0,0,1
42860,0,0,1
43441,0,0,1
43936,0,0,1
45130,0,0,1
45714,0,0,1
46224,0,0,1
46742,0,0,1
47280,0,0,1
47804,0,0,1
48332,0,0,1
48927,0,0,1
49447,0,0,1
50042,0,0,1
50593,0,0,1
51153,0,0,1
51821,0,0,1
52454,0,0,1
53112,0,0,1
53723,0,0,1
54366,0,0,1
54944,0,0,1
55741,0,0,1
56462,0,0,1
57416,0,0,1
57993,0,0,1
58710,0,0,1
59643,0,0,1
60222,0,0,1
60811,0,0,1
61427,0,0,1
62247,0,0,1
62895,0,0,1
63795,0,0,1
64508,0,0,1
65317,0,0,1
66259,0,0,1
66765,0,0,1
67306,0,0,1
67830,0,0,1
68480,0,0,1
69154,0,0,1
69716,0,0,1
70538,0,0,1
71424,0,0,1
71955,0,0,1
72626,0,0,1
73117,0,0,1
73822,0,0,1
74441,0,0,1
75965,0,0,1
76482,0,0,1
77459,0,0,1
78018,0,0,1
78620,0,0,1
79158,0,0,1
79830,0,0,1
80419,0,0,1
80998,0,0,1
81988,0,0,1
82486,0,0,1
83040,0,0,1
83641,0,0,1
84214,0,0,1
84814,0,0,1
85375,0,0,1
85968,0,0,1
86531,0,0,1
87110,0,0,1
87859,0,0,1
88520,0,0,1
89140,0,0,1
89619,0,0,1
91141,0,0,1
91807,0,0,1
92571,0,0,1
93245,0,0,1
93832,0,0,1
94518,0,0,1
95409,0,0,1
95971,0,0,1
96818,0,0,1
97522,0,0,1
97997,0,0,1
98723,0,0,1
99558,0,0,1
100233,0,0,1
100868,0,0,1
101816,0,0,1
102432,0,0,1
103875,0,0,1
104584,0,0,1
105556,0,0,1
106314,0,0,1
106789,0,0,1
107615,0,0,1
108892,0,0,1
109637,0,0,1
110328,0,0,1
111414,0,0,1
112583,0,0,1
113480,0,0,1
114360,0,0,1
115144,0,0,1
115980,0,0,1
117461,0,0,1
118078,0,0,1
118641,0,0,1
119479,0,0,1
120574,0,0,1
121515,0,0,1
122485,0,0,1
123115,0,0,1
123798,0,0,1
124964,0,0,1
125567,0,0,1
126315,0,0,1
127599,0,0,1
128468,0,0,1
129075,0,0,1
129881,0,0,1
130475,0,0,1
131090,0,0,1
131672,0,0,1
133469,0,0,1
134372,0,0,1
135653,0,0,1
136338,0,0,1
136998,0,0,1
137770,0,0,1
139307,0,0,1
139864,0,0,1
140431,0,0,1
141055,0,0,1
141843,0,0,1
142678,0,0,1
143287,0,0,1
143885,0,0,1
144580,0,0,1
146372,0,0,1
147295,0,0,1
148004,0,0,1
148603,0,0,1
149389,0,0,1
150172,0,0,1
150926,0,0,1
151785,0,0,1
153186,0,0,1
154003,0,0,1
155055,0,0,1
156308,0,0,1
157571,0,0,1
158631,0,0,1
159572,0,0,1
160368,0,0,1
161056,0,0,1
161973,0,0,1
162629,0,0,1
163473,0,0,1
165261,0,0,1
166954,0,0,1
167875,0,0,1
168763,0,0,1
169436,0,0,1
170272,0,0,1
171796,0,0,1
173191,0,0,1
174171,0,0,1
175318,0,0,1
176287,0,0,1
177117,0,0,1
177847,0,0,1
178388,0,0,1
180595,0,0,1
180769,0,1,0
181771,0,0,1
182905,0,0,1
183511,0,0,1
183590,0,1,0
