#{"t_start": 1775138205.3844721, "env_id": "AstroExploration-v0"}
r,l,t
-85.966622,487,0.590255
-83.470287,541,1.210746
-74.116351,507,1.985623
-77.589912,569,2.454377
-55.852871,532,2.773675
-76.950137,514,3.229894
-78.759585,512,4.509868
-81.777474,490,5.684789
-86.749189,551,7.136645
-76.207214,581,14.40311
-83.54691,506,15.932761
-77.457367,520,17.328769
-83.471311,553,19.054527
-86.127658,476,20.379922
-60.796389,568,22.029644
-77.948858,539,23.552279
-88.015481,528,25.110189
-67.610419,561,26.698217
-77.917922,570,70.322321
-76.159211,497,71.885534
-69.325854,620,74.352345
-75.700129,562,75.939986
-83.319914,475,77.307389
-87.808314,544,78.838428
-83.099059,499,80.336782
-83.217301,520,81.850042
-80.192147,540,83.434404
-85.942624,479,84.787405
-83.395868,560,91.736571
-85.67317,541,93.31963
-87.425191,479,94.710622
-81.296396,518,96.243338
-89.603337,492,97.724712
-83.830911,1033,100.818999
-84.078226,546,102.393514
-86.449348,490,103.831215
-86.832929,506,117.091149
-75.219876,708,119.884977
-86.181753,553,121.643128
-86.805237,473,123.163332
-87.893993,474,125.313374
-86.238951,539,126.97551
-81.645448,503,128.528144
-83.302296,565,130.265297
-79.326963,523,131.947573
-89.597226,503,133.501284
-85.77661,496,141.370779
-89.415316,498,142.882383
-89.232704,619,144.804134
-85.974221,532,146.426485
-89.475709,501,147.940901
-88.784484,524,149.557358
-76.837008,582,151.381675
-89.221958,532,152.989173
-84.714842,530,154.589263
-86.043838,498,167.720765
-85.1708,555,169.52125
-88.734044,482,170.941093
-79.335504,585,172.72082
-84.262054,889,175.433171
-80.457718,554,177.245745
-88.177035,601,179.134699
-82.206197,528,180.741691
-89.221856,474,182.208007
-83.62228,556,195.608484
-83.412112,638,198.007474
-86.704955,508,199.915733
-86.490133,626,201.881741
-82.425624,793,204.419801
-81.884017,534,206.067307
-91.610632,544,207.815663
-85.5545,732,210.104068
-70.326863,904,227.95477
-74.208905,1141,231.529967
-85.513702,565,233.265702
-87.8938,492,234.763855
-87.153079,581,236.638677
-86.660694,495,238.163024
-82.084722,1194,245.949936
-85.961862,584,247.950105
-87.701035,510,249.618348
-86.820022,518,251.166292
-87.291447,538,252.817643
-89.093634,524,254.443136
-80.579577,528,256.16522
-79.591797,595,258.16607
-74.608709,520,260.24106
-83.496361,595,274.021272
-56.613494,551,276.630037
-85.232729,560,278.59216
-88.165372,668,280.807361
-90.480293,633,282.948753
-75.930438,658,285.243274
-81.942832,611,287.309641
-73.389237,643,289.511478
-83.205799,578,291.564258
-67.136269,797,310.925204
-27.145158,721,313.371288
-83.17256,954,316.567474
-57.031975,577,318.50771
-74.65121,717,321.186799
-81.461112,933,324.344008
-78.434328,579,338.87529
-70.999028,589,341.094365
-77.681614,616,343.199354
-83.18905,820,345.938702
-84.093684,648,348.112398
-49.202984,900,351.108117
-81.881041,713,353.496361
-73.570448,809,379.578174
-88.686878,942,382.868882
-87.080262,506,384.829566
-83.491286,541,387.492271
-84.257797,524,389.25015
-46.092808,650,391.475344
-77.779272,674,393.7517
-63.012,562,395.724914
-76.667342,822,409.812422
-76.150102,886,412.71046
-86.736356,531,414.434255
-77.769301,671,416.907015
-85.055419,491,418.510654
-83.295369,705,420.942372
-80.477355,619,423.108325
-74.074114,1524,433.909144
-85.947578,517,435.608529
-79.902803,977,439.090731
-64.25919,559,440.977151
-88.953991,602,443.177117
-82.894448,538,444.945427
-84.068219,672,447.195746
-85.153115,589,459.125937
-69.141158,579,461.172484
-81.225948,990,464.573619
-80.232063,498,466.249505
-90.114876,554,468.134989
-87.514037,601,470.204897
-83.68739,573,472.199703
-76.247234,600,474.17006
-50.581629,561,482.680728
-65.41437,593,484.812061
-69.356587,563,486.740546
-79.274767,579,488.708787
-59.867267,749,491.278735
-78.294253,661,493.597224
-75.855697,620,495.725921
-88.458626,479,497.411864
-78.255344,1522,509.295359
-71.963706,666,511.631258
-45.067796,764,514.236969
-84.916983,674,516.52056
-73.109191,587,518.484193
-85.985012,686,520.859504
-86.69569,891,530.295632
-83.773635,562,532.206043
-65.002845,847,535.058973
-64.254962,704,537.510342
-87.645532,475,539.168072
-89.003051,726,541.649235
-88.689623,835,544.517008
-79.633445,675,554.845127
-67.049319,635,557.057835
-67.585584,948,560.313561
-84.881218,616,562.459898
-79.30663,1443,567.50655
-86.260812,709,569.993688
-87.283705,972,576.294637
-81.290916,758,578.949892
-86.158469,475,580.646187
-87.387103,826,583.513665
-54.371415,1277,587.956379
-56.474813,745,590.580565
-81.045443,691,601.765082
-66.474171,1086,605.671868
-83.394195,1169,609.848355
-58.111343,897,612.996916
-67.693751,880,616.149994
-87.988539,784,629.591168
-86.925449,836,632.988548
-62.865648,1481,638.282693
-79.849941,617,640.579443
-75.856282,563,642.528001
-72.405858,838,645.337496
-38.945836,1095,655.095291
-73.323053,941,658.753379
-78.085487,970,662.251944
-88.269438,630,664.547221
-85.79023,683,666.982003
-85.831319,1166,671.210423
-87.51167,603,679.057912
-83.872896,748,681.826158
-83.581816,1284,686.583498
-84.969234,869,689.855974
-84.40599,607,692.113605
-85.186703,806,695.33194
-88.723047,594,703.932024
-84.299773,615,706.213821
-88.356677,582,708.316975
-81.112809,1797,714.767992
-73.297861,903,717.994731
-85.96606,1281,733.052635
-71.562151,685,735.522098
-80.356149,660,737.931631
-65.782829,772,740.690552
-81.065468,1537,746.193446
-73.990422,557,748.159104
-87.062097,567,755.601868
-85.120242,624,757.820744
-81.31656,788,760.713593
-87.209353,835,763.691184
-21.118215,609,765.834298
-66.646337,598,767.95319
-59.964648,695,770.668481
-67.02115,1792,787.492877
-53.814939,923,790.822723
-79.339995,709,793.308312
-81.405438,599,795.52862
-77.139355,786,798.375959
-54.860248,783,809.204384
-88.563311,754,812.036401
-81.646795,859,815.229754
-75.931586,1401,820.354209
-80.896446,817,823.346558
-75.595849,1052,834.842552
-74.41438,1253,840.192489
-21.915688,1263,844.816944
-62.376632,1060,848.584415
-49.07089,941,852.004038
-50.644184,796,859.971579
-83.738759,688,862.516228
-83.568597,917,865.932708
-83.272385,656,868.405351
-77.417404,844,871.575485
-86.590526,1788,887.873013
-89.687492,1693,894.217489
-55.618923,921,897.656456
-70.002509,888,900.985236
-62.230704,673,903.476167
-85.231895,836,913.207473
-7.119726,1524,918.840131
-70.460748,1395,924.143398
-85.833587,980,927.759189
-86.162268,1147,950.996369
-41.077793,969,954.677262
-82.478824,830,958.088502
-85.278771,730,960.854019
-85.879404,541,962.883711
-58.845682,2207,983.524837
-65.094975,174,984.227574
-55.286026,1002,987.967216
-35.977155,1134,992.173346
-77.886356,606,994.36795
-85.914631,79,994.673817
-85.440085,1776,1013.430924
-57.095186,814,1016.562415
-87.507315,807,1019.612823
-89.189135,1299,1024.834754
-82.124432,925,1028.292595
-89.84189,907,1037.715304
-80.863137,1012,1042.15809
-91.778009,771,1045.231803
-61.145727,1360,1050.415427
-88.765876,1344,1055.447699
-80.275752,1226,1089.171793
-83.434244,809,1092.913254
-88.820447,2055,1100.729715
-65.659475,787,1103.693617
-88.38333,913,1120.965439
-91.462004,727,1123.754178
-79.654636,859,1127.110106
-36.205272,3171,1144.214226
-79.410317,682,1146.909936
-84.492308,906,1150.371705
24.699647,2020,1158.013883
-55.637267,1485,1199.510553
-87.707278,845,1203.019803
-62.357939,863,1206.897502
-73.372619,823,1210.020471
-91.548055,531,1212.062718
-52.338962,1892,1229.947229
-69.728392,518,1232.232757
-85.499093,904,1235.690225
-81.06703,1039,1239.706492
6.847425,1424,1245.117578
-85.390209,524,1247.168423
-82.480799,932,1263.951816
-85.529437,1043,1267.967281
-67.08308,727,1270.733079
-57.212516,734,1273.634538
-79.082425,778,1276.695088
-57.809388,312,1277.863918
-61.856643,661,1280.427729
-39.498858,1060,1298.648592
-51.951954,1207,1303.314917
-78.333953,812,1306.88011
-82.121336,945,1310.580232
-4.445863,2001,1339.508149
-91.352094,849,1342.904178
-85.439459,837,1346.21788
-92.179154,565,1348.459232
-87.839057,696,1351.549294
-63.609514,965,1355.284309
-84.834708,1198,1382.443295
-87.556753,756,1385.527689
-82.02282,934,1389.46221
-88.543379,447,1391.304281
-87.978828,734,1394.177359
-85.330217,87,1394.527853
-82.846977,839,1397.987744
-12.948532,2497,1439.311732
-51.89985,1464,1445.103296
-88.646571,590,1447.411142
-49.405604,1832,1464.634563
-65.647057,1267,1469.72662
-68.07667,1316,1474.988202
-63.226918,1104,1479.287671
-80.521015,943,1489.08592
-77.848642,1100,1493.458102
-61.400502,824,1496.722407
-50.582063,903,1500.27241
-42.619831,700,1503.13894
-67.540122,1979,1521.827794
-74.143783,714,1524.657552
-72.312787,676,1527.40068
-42.709877,1708,1534.443266
-70.296929,1112,1554.497583
-83.584025,1506,1560.761126
-42.580509,820,1564.035458
-41.834865,747,1567.442302
-0.69569,1957,1584.068172
-75.673882,915,1588.381519
-80.627517,1428,1594.419861
-82.640837,1175,1599.277779
-90.135862,904,1602.99879
-89.034704,1061,1613.347507
-64.258332,1790,1620.604903
-80.995383,843,1624.196527
-85.24946,583,1626.619707
-76.506241,1870,1640.923258
-47.046328,1517,1647.074216
-86.887935,1025,1651.332382
-78.716596,947,1655.161838
-74.475625,812,1671.682615
-85.530493,1008,1675.930459
-58.043821,1265,1681.150615
-89.024603,591,1683.526572
-48.655735,948,1687.3904
-76.189102,759,1690.500306
-60.213514,958,1710.236391
-70.830737,994,1714.37304
-78.779692,733,1717.421293
-86.45604,1427,1723.393878
-52.306922,1623,1738.18509
-80.18403,916,1742.095824
-73.118278,1238,1747.736503
-49.787414,903,1751.627017
-86.325794,788,1755.102187
-69.242799,783,1774.98968
-75.803128,831,1779.019707
-9.719122,1190,1784.098788
-66.689232,1273,1789.708917
-68.546249,757,1793.00591
-80.838183,730,1802.92212
-68.690378,818,1807.16103
-87.483036,680,1810.102548
-78.232442,1328,1815.933083
-67.637398,1225,1821.167098
-67.24663,178,1821.950736
-80.588244,136,1822.545136
-76.789651,730,1848.769629
-83.728876,1489,1855.52754
-81.157641,948,1859.761708
-84.558169,1122,1864.535938
-61.745565,1349,1874.25519
-70.763291,1062,1879.853757
-35.674799,1811,1887.711124
-77.388004,793,1891.189697
-89.154379,943,1895.360789
-87.329722,1056,1929.317079
-93.267836,874,1933.184082
-87.641253,1136,1938.181554
-5.004607,1718,1945.699764
-80.528883,726,1953.09312
-93.525441,503,1955.863985
-81.90725,961,1960.139508
-94.998819,696,1963.212833
-75.180622,811,1966.753458
-94.762229,888,1970.751422
-85.28869,1773,1983.289396
-86.629758,1063,1987.949016
-92.809942,848,1991.628521
-93.504912,1108,1996.974905
-80.39356,763,2001.07836
-72.504089,853,2011.306917
-91.478132,906,2015.183801
-92.296904,1204,2020.28161
-73.595496,1320,2025.938967
-92.292926,893,2029.792209
-55.03443,1450,2048.41996
-47.613522,823,2051.945805
-80.310984,1197,2057.212016
-89.296906,626,2060.239396
-65.925741,1166,2075.937458
-89.226114,682,2079.778069
-17.15381,1131,2085.300247
-45.278305,1201,2090.499376
17.400973,2389,2108.999082
-18.995675,817,2112.632015
-84.696913,712,2115.779358
-45.825347,1845,2124.073305
-92.916385,959,2128.223658
-89.595405,989,2140.381292
-81.928121,892,2144.325103
-40.074878,1557,2151.165294
-89.564905,1093,2156.004324
-90.616029,899,2165.718131
-78.567163,725,2169.282484
-91.112141,846,2172.989661
82.214477,2417,2183.519105
-68.332239,1259,2195.616032
-70.55608,860,2199.512325
-89.619018,1826,2207.535669
-32.000911,1408,2213.63176
-84.664788,777,2234.102946
-70.149531,1307,2240.098263
-69.120625,1272,2245.59563
-65.813239,581,2248.124712
-90.585535,1277,2253.714277
-94.052326,999,2315.473708
-89.499635,1268,2320.90491
-83.869721,1234,2326.236403
-87.730741,538,2328.55465
-92.755872,781,2331.917572
-80.21831,589,2356.828554
-70.246325,1063,2362.017664
-92.360956,865,2365.707318
-92.792445,736,2368.96883
-92.682352,1067,2373.6185
-84.165521,1122,2385.330787
-43.466899,1477,2392.561205
-52.805703,1063,2397.550281
-71.100539,1331,2403.62111
-55.463535,1459,2415.96546
-86.889042,928,2420.419829
-92.172245,830,2424.106175
-47.967405,1315,2429.768685
-90.726277,486,2431.949188
-89.110359,1738,2448.333002
-88.964776,913,2452.414489
-94.415722,648,2455.277986
-77.948908,1161,2460.742073
-84.373129,1041,2465.498069
-93.22781,630,2477.717401
-78.122573,1226,2483.983641
-92.312384,898,2487.994564
-87.206598,922,2492.18288
-76.916937,1064,2497.116805
-54.004364,1103,2513.713271
-88.279608,834,2517.830609
-90.880662,896,2521.873361
-85.452434,935,2526.07172
-90.106885,1312,2532.121309
-68.297737,1466,2556.95451
-89.723193,1414,2563.395184
-91.167235,752,2566.786509
-93.799112,435,2568.755051
-91.469331,998,2573.21604
-92.120601,901,2583.78393
-93.544944,752,2587.614199
-84.718617,674,2590.592962
-88.660874,727,2593.853642
-89.87824,1419,2600.202155
-53.846218,1540,2616.955559
-80.090285,1025,2621.907884
-84.978027,862,2625.796854
-91.02743,1075,2630.60789
-91.154854,1345,2636.651576
-59.336848,690,2648.308331
-74.675728,905,2652.683973
-76.613068,911,2656.681834
-95.693506,640,2659.54122
-93.652748,910,2663.520138
-57.400119,1114,2668.442874
-86.290183,986,2684.090019
-91.895764,75,2684.449251
-64.118328,1037,2689.007685
-86.670778,703,2692.102113
-88.798945,1554,2698.892945
-87.942691,1550,2714.864178
-69.448292,1395,2721.035279
-52.972022,2137,2730.302329
34.288997,1444,2746.500676
-87.732196,1144,2751.567132
-91.935972,844,2755.20761
-50.046953,1281,2760.983436
-27.161678,1010,2765.399254
-86.096417,735,2777.388858
-88.451829,977,2781.684339
-52.805634,820,2785.416221
-68.277941,809,2788.951131
-95.131061,871,2792.83851
-83.847495,942,2807.370291
-93.977633,821,2811.584946
-75.330191,2459,2822.430407
-94.997156,1574,2829.602419
-94.746578,890,2846.048067
-93.656305,1125,2851.188132
-70.327111,1069,2856.065785
-94.136891,908,2860.198982
-89.741645,677,2863.395875
-22.227609,688,2875.400186
-92.660989,757,2879.22529
-77.165235,1566,2886.425524
-93.833866,1032,2891.075845
-95.618114,961,2895.371892
-81.185408,1254,2910.163028
-59.299223,1165,2915.534221
-83.00137,697,2918.726255
-80.526872,1846,2927.166407
-63.843578,1001,2936.963144
-18.48334,1249,2942.496933
-72.506382,932,2946.672081
-50.700012,2629,2963.248855
19.667192,2327,2975.576741
-65.119966,705,2979.225765
-92.718327,1529,2986.298476
-39.270588,785,3017.12241
-88.6839,860,3020.981924
-92.946969,757,3024.917398
-90.486144,751,3028.274885
-69.315287,1166,3033.77327
-90.805392,1024,3045.39356
-90.393063,801,3049.278327
-91.121215,1675,3056.835588
-93.043177,1346,3062.933229
-10.087023,1821,3078.687509
-92.185679,1343,3084.681445
-44.759154,1220,3090.861056
-50.922986,923,3095.457432
-81.387607,1057,3113.772624
-48.432754,1227,3119.437463
-91.34508,940,3123.609297
-89.43376,762,3127.049381
-90.658176,824,3130.884075
-82.483767,1248,3155.00126
-87.181074,1054,3159.7482
-93.9202,688,3162.787226
-54.00664,936,3166.928704
-64.486338,916,3171.001848
