timesteps,success,collision,out_of_bounds
487,0,0,1
1028,0,0,1
1535,0,0,1
2104,0,0,1
2636,0,0,1
3155,0,0,1
3674,0,0,1
4190,0,0,1
4847,0,0,1
5334,0,0,1
5816,0,0,1
6316,0,0,1
6874,0,0,1
7349,0,0,1
7910,0,0,1
8431,0,0,1
8923,0,0,1
9442,0,0,1
9933,0,0,1
10657,0,0,1
11258,0,0,1
11798,0,0,1
12266,0,0,1
12806,0,0,1
13341,0,0,1
14018,0,0,1
14599,0,0,1
15148,0,0,1
15720,0,0,1
16365,0,0,1
16840,0,0,1
17428,0,0,1
18021,0,0,1
19108,0,0,1
19664,0,0,1
20459,0,0,1
21094,0,0,1
21663,0,0,1
22133,0,0,1
22712,0,0,1
23217,0,0,1
23686,0,0,1
24216,0,0,1
24709,0,0,1
25314,0,0,1
25825,0,0,1
26336,0,0,1
26822,0,0,1
27341,0,0,1
27922,0,0,1
28519,0,0,1
29189,0,0,1
29733,0,0,1
30323,0,0,1
31159,0,0,1
31679,0,0,1
32197,0,0,1
32840,0,0,1
33402,0,0,1
33880,0,0,1
34343,0,0,1
35075,0,0,1
36122,0,0,1
36647,0,0,1
37170,0,0,1
37847,0,0,1
38421,0,0,1
38912,0,0,1
39488,0,0,1
40080,0,0,1
40566,0,0,1
41048,0,0,1
41611,0,0,1
42104,0,0,1
42670,0,0,1
43187,0,0,1
43688,0,0,1
44254,0,0,1
44844,0,0,1
45350,0,0,1
46100,0,0,1
46642,0,0,1
47352,0,0,1
47849,0,0,1
48380,0,0,1
48974,0,0,1
49535,0,0,1
50099,0,0,1
50592,0,0,1
51103,0,0,1
51603,0,0,1
52181,0,0,1
53005,0,0,1
53513,0,0,1
54047,0,0,1
54665,0,0,1
55190,0,0,1
55735,0,0,1
56475,0,0,1
57055,0,0,1
57967,0,0,1
58470,0,0,1
58958,0,0,1
59548,0,0,1
60267,0,0,1
60788,0,0,1
61674,0,0,1
62184,0,0,1
62780,0,0,1
63313,0,0,1
63954,0,0,1
64572,0,0,1
65135,0,0,1
66144,0,0,1
66689,0,0,1
67479,0,0,1
68152,0,0,1
68817,0,0,1
69468,0,0,1
69983,0,0,1
70533,0,0,1
71227,0,0,1
72061,0,0,1
72643,0,0,1
73213,0,0,1
73825,0,0,1
74462,0,0,1
75004,0,0,1
75569,0,0,1
76275,0,0,1
76809,0,0,1
77535,0,0,1
78389,0,0,1
78991,0,0,1
79630,0,0,1
80726,0,0,1
82132,0,0,1
82692,0,0,1
83420,0,0,1
84392,0,0,1
85319,0,0,1
86409,0,0,1
87063,0,0,1
87694,0,0,1
88842,0,0,1
89554,0,0,1
90164,0,0,1
91011,0,0,1
92561,0,0,1
93323,0,0,1
95020,0,0,1
95811,0,0,1
96982,0,0,1
97650,0,0,1
98321,0,0,1
98864,0,0,1
99618,0,0,1
100221,0,0,1
100839,0,0,1
101545,0,0,1
102388,0,0,1
103375,0,0,1
104012,0,0,1
105081,0,0,1
105847,0,0,1
106780,0,0,1
108338,0,0,1
109381,0,0,1
110468,0,0,1
111319,0,0,1
111963,0,0,1
112960,0,0,1
113610,0,0,1
114164,0,0,1
114934,0,0,1
115538,0,0,1
116853,0,0,1
117539,0,0,1
118071,0,0,1
119147,0,0,1
119727,0,0,1
120473,0,0,1
121350,0,0,1
121871,0,0,1
122518,0,0,1
123122,0,0,1
123660,0,0,1
124612,0,0,1
125673,0,0,1
126415,0,0,1
127284,0,0,1
128214,0,0,1
128667,0,0,1
129572,0,0,1
131350,0,0,1
131940,0,0,1
132479,0,0,1
133198,0,0,1
134078,0,0,1
134818,0,0,1
135378,0,0,1
135979,0,0,1
136645,0,0,1
137573,0,0,1
138343,0,0,1
139343,0,0,1
140005,0,0,1
141060,0,0,1
141855,0,0,1
142451,0,0,1
143209,0,0,1
144790,0,0,1
146028,0,0,1
146765,0,0,1
147503,0,0,1
148216,0,0,1
149277,0,0,1
150031,0,0,1
150649,0,0,1
151322,0,0,1
152992,0,0,1
153559,0,0,1
154341,0,0,1
155300,0,0,1
156908,0,0,1
157560,0,0,1
158229,0,0,1
158932,0,0,1
159769,0,0,1
160768,0,0,1
161316,0,0,1
162500,0,0,1
163021,0,0,1
163721,0,0,1
164538,0,0,1
165321,0,0,1
166044,0,0,1
166858,0,0,1
168033,0,0,1
169040,0,0,1
169686,0,0,1
170461,0,0,1
171171,0,0,1
172449,0,0,1
173523,0,0,1
174714,0,0,1
175816,0,0,1
177732,0,0,1
179817,0,0,1
180799,0,0,1
181668,0,0,1
182775,0,0,1
183774,0,0,1
