#{"t_start": 1775161074.3318264, "env_id": "AstroExploration-v0"}
r,l,t
-78.555566,487,0.467438
-74.109481,541,0.782023
-61.367076,507,1.048956
-65.658469,569,1.35744
-55.736346,532,1.882541
-64.162679,519,2.793183
-62.545122,519,5.473575
-60.476534,516,8.971957
-68.634884,657,11.738133
-74.072125,487,30.122338
-82.184881,482,32.271818
-81.443791,500,34.352678
-81.98745,558,36.504915
-83.85478,475,38.251755
-69.242831,561,40.231925
-80.180455,521,41.978291
-85.406215,492,43.523274
-80.053191,519,45.168189
-80.27457,491,46.80984
-82.01969,724,55.040197
-77.13345,601,57.457663
-66.460349,540,59.272838
-83.792203,468,60.748296
-85.632906,540,62.524481
-76.152937,535,64.356335
-78.634598,677,66.791054
-58.326277,581,68.83623
-75.06596,549,85.284627
-73.30738,572,89.163767
-77.684479,645,92.557185
-75.970049,475,94.568111
-82.915141,588,96.869562
-72.102819,593,99.299411
-78.578402,1087,103.64699
-72.871468,556,106.095176
-77.085266,795,125.276998
-70.902557,635,128.054748
-64.450483,569,130.745892
-83.013012,470,132.623361
-71.345516,579,134.605136
-81.159292,505,136.420655
-78.518899,469,138.078237
-77.397519,530,139.917442
-74.565537,493,141.637099
-80.483498,605,157.264688
-78.087708,511,159.743238
-79.452819,511,162.669846
-86.032137,486,164.50097
-82.631387,519,166.351281
-58.087674,581,168.368587
-73.940369,597,171.007921
-85.662658,670,173.425125
-68.280806,544,175.402932
-83.044683,590,185.891298
-83.581832,836,188.864578
-76.512154,520,190.736254
-83.361889,518,192.566533
-58.20283,643,194.829741
-75.518695,562,196.863504
-81.501278,478,198.89528
-82.387763,463,200.6689
-84.75985,732,211.830257
-83.994992,1047,215.562867
-83.410649,525,217.484031
-66.550576,523,220.420356
-47.999477,677,223.291924
-81.8925,574,226.51451
-86.260505,491,229.186223
-80.825593,576,232.502386
-85.40247,592,243.250314
-85.224943,486,245.390496
-82.808835,482,247.864273
-83.954399,563,250.336836
-81.809429,493,252.255382
-74.105018,566,254.473997
-81.418678,517,256.366371
-76.615716,501,258.19921
-74.759661,566,260.288384
-83.334274,590,262.464232
-82.355591,506,275.729956
-70.22839,750,278.521563
-82.799978,542,280.589969
-77.440815,710,283.238535
-82.980778,497,285.106603
-66.658328,531,287.073127
-77.757406,594,289.272268
-81.353332,561,291.465781
-67.948299,564,301.749383
-75.5967,493,303.608036
-81.771496,511,305.595553
-82.727375,500,307.672672
-58.908721,578,309.955293
-78.773093,824,313.620894
-78.948919,508,315.868481
-70.386017,534,318.327053
-79.866528,618,321.997844
-70.661635,525,336.578746
-69.411586,545,338.667377
-77.229906,740,341.914672
-81.884537,580,345.73781
-79.644505,912,349.390966
-78.291363,503,351.292032
-77.083642,488,353.176151
-76.340914,590,355.472572
-46.352661,719,368.838135
-79.820681,521,370.996601
-80.352678,886,374.535472
-82.555259,510,376.534453
-78.289851,596,378.908295
-84.314634,533,381.00598
-67.603987,641,383.50795
-73.72276,618,387.263494
-75.291871,563,407.998788
-68.560539,1009,413.358123
