timesteps,success,collision,out_of_bounds
514,0,0,1
1065,0,0,1
1619,0,0,1
2167,0,0,1
2694,0,0,1
3315,0,0,1
3857,0,0,1
4378,0,0,1
4942,0,0,1
5541,0,0,1
6051,0,0,1
6543,0,0,1
7446,0,0,1
8188,0,0,1
9112,0,0,1
9602,0,0,1
9604,0,1,0
10300,0,0,1
11054,0,0,1
11846,0,0,1
13505,0,0,1
13999,0,0,1
14672,0,0,1
15189,0,0,1
15847,0,0,1
16514,0,0,1
17642,0,0,1
18380,0,0,1
18933,0,0,1
19378,0,0,1
19855,0,0,1
21447,0,0,1
21954,0,0,1
22456,0,0,1
22935,0,0,1
23627,0,0,1
24155,0,0,1
25022,0,0,1
25518,0,0,1
26015,0,0,1
27119,0,0,1
27832,0,0,1
28454,0,0,1
29255,0,0,1
30190,0,0,1
32782,0,0,1
33762,0,0,1
34451,0,0,1
35123,0,0,1
35756,0,0,1
36417,0,0,1
36985,0,0,1
37978,0,0,1
38812,0,0,1
39658,0,0,1
40761,0,0,1
41870,0,0,1
42996,0,0,1
43970,0,0,1
44640,0,0,1
45500,0,0,1
46663,0,0,1
47435,0,0,1
48157,0,0,1
49159,0,0,1
50708,0,0,1
51455,0,0,1
53411,0,0,1
54697,0,0,1
56006,0,0,1
57805,0,0,1
58868,0,0,1
60160,0,0,1
60854,0,0,1
61533,0,0,1
62769,0,0,1
63717,0,0,1
64583,0,0,1
65636,0,0,1
67282,0,0,1
68165,0,0,1
69260,0,0,1
70022,0,0,1
70857,0,0,1
71730,0,0,1
72445,0,0,1
73361,0,0,1
74595,0,0,1
75561,0,0,1
76329,0,0,1
77030,0,0,1
77872,0,0,1
78530,0,0,1
79297,0,0,1
80578,0,0,1
81418,0,0,1
81419,0,1,0
82552,0,0,1
83464,0,0,1
84825,0,0,1
85679,0,0,1
86647,0,0,1
87526,0,0,1
88602,0,0,1
89518,0,0,1
90896,0,0,1
91724,0,0,1
92682,0,0,1
93359,0,0,1
94375,0,0,1
95458,0,0,1
96840,0,0,1
97771,0,0,1
99366,0,0,1
