#{"t_start": 1775195292.9352772, "env_id": "AstroExploration-v0"}
r,l,t
-76.501374,514,11.603906
-89.519329,551,16.144945
-70.330823,554,20.663297
-97.206976,548,36.144786
-98.931944,527,40.508336
-67.887247,621,45.428026
-86.112,542,50.039842
-63.826642,521,66.747897
-96.441818,564,70.991154
-53.871025,599,101.695514
-92.494498,510,105.671617
-99.085229,492,118.492912
289.997728,903,126.014915
87.034621,742,131.677458
282.766621,924,147.571264
-98.921843,490,151.203125
-99.39495,2,151.218043
11.896384,696,180.790347
96.5235,754,186.607528
112.298896,792,193.094524
1199.679642,1659,215.137299
-97.77228,494,218.897596
219.368435,673,238.050015
-37.074374,517,266.675662
-11.628939,658,273.79471
-19.378854,667,290.572292
577.846358,1128,298.615119
159.16609,738,303.832218
-26.223356,553,317.97096
-72.496272,445,321.09178
-30.682132,477,324.156492
696.161768,1592,354.640776
-52.742113,507,357.983312
-85.217754,502,361.270113
-30.973473,479,371.974949
109.914503,692,376.356586
-44.22383,528,379.573597
239.255012,867,411.813567
-48.059807,496,415.207169
-34.093197,497,418.391039
292.86108,1104,432.750868
104.411669,713,437.418464
153.418808,622,441.630866
237.608451,801,454.53629
257.995672,935,473.456107
1451.818816,2592,512.418666
378.468362,980,519.372613
147.246669,689,524.09434
45.39147,672,560.467559
75.152404,633,564.505748
174.952065,661,568.710735
92.592343,568,578.398503
245.692232,993,582.771751
283.552515,834,587.628239
259.663496,846,599.005415
342.363389,1103,615.41087
428.453039,1109,644.075128
401.254862,1126,663.188509
369.991708,974,688.480476
142.468447,670,695.782293
228.062847,860,731.279333
396.293878,1163,742.520018
218.153963,772,758.497518
207.88132,722,765.089318
451.192673,1002,785.661475
846.357511,1549,841.567121
225.802849,747,861.93162
1000.523215,1956,890.882128
477.437616,1286,904.198657
456.876519,1309,949.957557
1136.919368,1799,965.361566
267.487073,1063,970.853688
382.343075,1292,1041.674102
78.807624,694,1051.275007
54.789098,679,1068.712997
493.26364,1236,1080.265621
377.197607,948,1099.925745
202.970694,866,1107.351382
382.700259,1053,1192.031888
624.704785,1646,1207.996799
284.275465,883,1225.8583
349.262461,1095,1236.826772
122.412146,762,1329.64901
260.393534,835,1337.371739
241.711673,873,1353.106149
76.658727,715,1359.609044
272.795482,916,1368.13133
403.34113,1234,1388.323859
327.882977,966,1429.560067
203.872818,768,1445.142244
68.936619,701,1451.306029
188.612726,842,1467.951532
151.404373,658,1473.511754
185.434191,767,1480.331153
548.553093,1281,1532.843679
232.819326,840,1541.779041
-99.528918,1,1541.789922
531.638421,1133,1563.900311
332.551692,912,1570.989178
435.858199,1361,1588.210824
233.088376,854,1621.887668
238.126784,968,1642.391711
221.452776,879,1650.752538
640.775759,1076,1668.983143
221.229774,916,1678.037791
503.147296,1378,1792.840686
172.742054,828,1800.478243
349.279005,958,1818.977432
26.106513,677,1824.9275
354.933632,1016,1842.565025
303.374032,1083,1895.150744
544.05396,1382,1919.503265
323.694838,931,1928.866264
583.317743,1595,1954.555799
