timesteps,success,collision,out_of_bounds
513,0,0,1
1060,0,0,1
1607,0,0,1
2153,0,0,1
2670,0,0,1
3263,0,0,1
3882,0,0,1
4475,0,0,1
5150,0,0,1
5842,0,0,1
6335,0,0,1
7009,0,0,1
7704,0,0,1
8192,0,0,1
8723,0,0,1
9279,0,0,1
9817,0,0,1
11576,0,0,1
12173,0,0,1
12821,0,0,1
13576,0,0,1
14242,0,0,1
14878,0,0,1
15421,0,0,1
15984,0,0,1
16510,0,0,1
17116,0,0,1
17986,0,0,1
18506,0,0,1
19029,0,0,1
19563,0,0,1
20110,0,0,1
20789,0,0,1
21363,0,0,1
22048,0,0,1
22694,0,0,1
23266,0,0,1
23901,0,0,1
24493,0,0,1
25004,0,0,1
26153,0,0,1
26758,0,0,1
27631,0,0,1
28271,0,0,1
29088,0,0,1
29726,0,0,1
30697,0,0,1
31292,0,0,1
31869,0,0,1
32468,0,0,1
33284,0,0,1
34418,0,0,1
35123,0,0,1
35964,0,0,1
36645,0,0,1
37354,0,0,1
37967,0,0,1
39255,0,0,1
40074,0,0,1
40554,0,0,1
41335,0,0,1
42222,0,0,1
42882,0,0,1
43431,0,0,1
44228,0,0,1
45072,0,0,1
45793,0,0,1
46541,0,0,1
47324,0,0,1
47921,0,0,1
49019,0,0,1
49580,0,0,1
50290,0,0,1
51008,0,0,1
51896,0,0,1
53316,0,0,1
54277,0,0,1
55321,0,0,1
55929,0,0,1
56485,0,0,1
57005,0,0,1
57754,0,0,1
58310,0,0,1
58835,0,0,1
59638,0,0,1
60648,0,0,1
61604,0,0,1
62161,0,0,1
64513,0,0,1
65053,0,0,1
65607,0,0,1
66208,0,0,1
67564,0,0,1
68085,0,0,1
68725,0,0,1
69318,0,0,1
69875,0,0,1
70493,0,0,1
71331,0,0,1
71853,0,0,1
72687,0,0,1
73206,0,0,1
73753,0,0,1
75033,0,0,1
75738,0,0,1
76474,0,0,1
76989,0,0,1
77597,0,0,1
78162,0,0,1
78699,0,0,1
79283,0,0,1
79859,0,0,1
80587,0,0,1
81388,0,0,1
82060,0,0,1
82577,0,0,1
83306,0,0,1
84029,0,0,1
84641,0,0,1
85304,0,0,1
85993,0,0,1
86891,0,0,1
87441,0,0,1
88819,0,0,1
90043,0,0,1
90837,0,0,1
91409,0,0,1
92189,0,0,1
92726,0,0,1
93328,0,0,1
93837,0,0,1
94392,0,0,1
95176,0,0,1
95750,0,0,1
97147,0,0,1
98368,0,0,1
98974,0,0,1
99781,0,0,1
