#{"t_start": 1775197387.1467075, "env_id": "AstroExploration-v0"}
r,l,t
-92.704437,513,7.631499
-84.659358,547,13.170851
-68.191949,547,18.066098
-94.521749,546,35.745656
-52.59035,517,41.321906
-42.124354,593,46.664915
15.046401,619,53.141825
22.886896,593,71.725952
82.834914,675,170.020707
192.684363,692,175.444557
-82.623891,493,188.071214
72.344466,674,193.025523
85.376214,695,198.224231
-89.71911,488,201.269449
-85.651478,531,210.516084
35.296767,556,214.194848
12.6143,538,218.166543
841.214864,1759,264.522397
38.623257,597,267.814315
36.122682,648,278.065446
164.959305,755,283.751527
134.43973,666,288.206927
79.264602,636,297.73359
-95.640944,543,315.197477
-96.872882,563,319.165969
-82.716331,526,329.900959
51.997651,606,334.33349
215.890243,870,341.500581
-97.771748,520,353.239923
-58.645356,523,356.986651
-20.282937,534,361.198518
-55.4011,547,409.214673
162.270436,679,425.602797
-54.304417,574,429.530731
62.554015,685,434.458597
98.82734,646,445.191032
-17.066281,572,449.128417
128.827965,635,455.366892
92.085752,592,460.898349
45.047219,511,511.628131
544.173272,1149,518.672152
103.087231,605,528.249228
341.691599,873,532.830347
107.117176,640,536.106541
353.644858,817,547.157214
79.398713,638,550.246125
438.498806,971,579.964116
132.567757,595,589.088398
-22.367374,577,592.249226
-27.726183,599,595.139148
157.803391,816,602.958064
440.284178,1134,608.936209
218.827613,705,713.998242
246.503133,841,717.978351
1.348686,681,721.209455
158.213977,709,730.029725
108.522912,613,733.416882
1892.424723,1288,744.27954
294.19549,819,775.369393
-7.035525,480,777.705711
169.495615,781,785.983776
262.761052,887,790.256215
145.045145,660,793.485602
41.790777,549,800.661135
220.419748,797,804.4733
246.804498,844,829.503356
205.680203,721,832.908746
163.629919,748,836.46951
257.467234,783,845.159334
103.033242,597,848.057304
468.183534,1098,853.378225
127.266158,561,860.552446
189.312291,710,928.013874
271.009024,718,931.404648
257.549809,888,940.281629
788.683203,1420,951.918101
271.983389,961,956.639304
211.378664,1044,1054.770098
157.29614,608,1057.776522
-23.777582,556,1060.674452
-47.039167,520,1063.121371
182.477039,749,1071.229723
-27.870455,556,1073.9261
9.88445,525,1076.386568
322.95171,803,1084.786114
773.740848,1010,1127.729413
430.913406,956,1140.019384
6.89746,557,1142.799266
1682.470241,2352,1159.098547
-39.177462,540,1197.887938
120.983721,554,1205.321018
71.412021,601,1208.287439
492.67545,1356,1215.26532
-66.915778,521,1222.832727
-68.112865,640,1225.951128
82.213823,593,1228.782487
150.577376,557,1236.024781
138.979785,618,1301.18353
110.470532,838,1305.200634
25.445106,522,1312.305552
185.230529,834,1316.359208
-21.629104,519,1318.811397
20.901938,547,1326.17881
269.029833,1280,1364.413607
220.842456,705,1367.8159
169.588811,736,1376.01677
-34.796719,515,1378.449075
-4.754896,608,1381.382581
87.653946,565,1388.624226
15.502218,537,1394.34229
-31.053514,584,1398.719312
66.9448,576,1401.603567
171.12691,728,1489.262093
220.438113,801,1496.307716
99.04732,672,1512.441824
-3.779328,517,1517.07318
142.260335,729,1522.672719
124.311551,723,1535.458631
133.962195,612,1539.665322
125.445587,663,1630.960988
139.689725,689,1634.023975
397.724594,898,1642.274812
73.053686,550,1644.653428
649.296621,1378,1655.116635
457.534322,1224,1813.048471
223.108603,794,1820.884865
100.552722,572,1823.460613
174.792662,780,1831.245151
-25.943105,537,1833.631761
119.830109,602,1836.337233
114.766946,509,1838.78302
82.761043,555,1845.539171
300.131397,784,1879.73454
198.544104,574,1882.338938
452.021521,1397,1892.756033
767.52073,1221,1903.059517
109.640328,606,1905.714344
209.358197,807,1909.302274
