timesteps,success,collision,out_of_bounds
565,0,0,1
1026,0,0,1
1527,0,0,1
2105,0,0,1
2665,0,0,1
3276,0,0,1
3810,0,0,1
5028,0,0,1
5565,0,0,1
6102,0,0,1
6782,0,0,1
7459,0,0,1
8077,0,0,1
8735,0,0,1
9336,0,0,1
9955,0,0,1
10498,0,0,1
11246,0,0,1
11917,0,0,1
12513,0,0,1
13241,0,0,1
14689,0,0,1
15413,0,0,1
16276,0,0,1
17268,0,0,1
17977,0,0,1
18712,0,0,1
19442,0,0,1
21176,0,0,1
21929,0,0,1
22823,0,0,1
23804,0,0,1
24546,0,0,1
25468,0,0,1
26640,0,0,1
27349,0,0,1
28157,0,0,1
29051,0,0,1
29908,0,0,1
31167,0,0,1
33690,0,0,1
34767,0,0,1
35864,0,0,1
36917,0,0,1
37597,0,0,1
38551,0,0,1
39347,0,0,1
40208,0,0,1
41397,0,0,1
42202,0,0,1
44009,0,0,1
45152,0,0,1
46126,0,0,1
47065,0,0,1
47951,0,0,1
48516,0,0,1
49609,0,0,1
51179,0,0,1
51983,0,0,1
53667,0,0,1
54452,0,0,1
55126,0,0,1
56238,0,0,1
56912,0,0,1
57746,0,0,1
58477,0,0,1
59559,0,0,1
60679,0,0,1
61625,0,0,1
62359,0,0,1
63265,0,0,1
63826,0,0,1
64777,0,0,1
65810,0,0,1
66865,0,0,1
67719,0,0,1
69728,0,0,1
70351,0,0,1
71089,0,0,1
71820,0,0,1
72579,0,0,1
73637,0,0,1
74825,0,0,1
76383,0,0,1
77110,0,0,1
77766,0,0,1
78454,0,0,1
79862,0,0,1
80536,0,0,1
81516,0,0,1
82392,0,0,1
83157,0,0,1
84086,0,0,1
84906,0,0,1
85650,0,0,1
86400,0,0,1
87056,0,0,1
87626,0,0,1
88341,0,0,1
89062,0,0,1
89718,0,0,1
90393,0,0,1
91210,0,0,1
91846,0,0,1
92333,0,0,1
93503,0,0,1
94098,0,0,1
95087,0,0,1
95782,0,0,1
96607,0,0,1
97120,0,0,1
98117,0,0,1
99317,0,0,1
100153,0,0,1
