#{"t_start": 1775209301.8016348, "env_id": "AstroExploration-v0"}
r,l,t
-10.687312,565,2.886703
-100.016518,461,5.099785
-89.848741,501,7.446061
77.266237,578,14.741391
64.130664,560,17.345088
177.580288,611,20.23638
-66.623863,534,22.679576
584.882485,1218,44.799518
-59.864105,537,47.452003
-60.392925,537,49.97223
35.395336,680,58.261969
294.432415,677,61.381722
32.830693,618,64.239653
30.122815,658,72.133168
20.762826,601,74.916071
22.695402,619,77.791403
-4.522501,543,94.891582
235.154131,748,98.340654
183.323845,671,101.365683
57.246333,596,108.821543
155.829855,728,112.128466
784.453468,1448,123.791407
127.842688,724,139.972566
287.655514,863,144.03956
427.352228,992,153.56905
200.904146,709,156.895922
157.594663,735,165.26671
172.904084,730,168.639505
849.680995,1734,189.736449
160.791899,753,193.24821
241.551191,894,202.533582
316.625068,981,207.045353
277.162568,742,210.406899
249.366892,922,232.863471
378.711056,1172,243.124853
54.420081,709,246.43536
129.563862,808,250.243437
390.713406,894,262.852443
192.454504,857,267.188277
551.51241,1259,290.705691
1504.473626,2523,308.61938
585.480319,1077,313.742684
296.969676,1097,334.463171
671.130396,1053,344.530568
111.060936,680,347.684631
381.106761,954,351.962784
129.393324,796,360.858279
191.913033,861,377.201846
739.824568,1189,388.315194
289.518003,805,393.568109
926.374879,1807,407.194998
359.445414,1143,447.633436
276.275021,974,452.444879
225.758347,939,456.756076
317.874478,886,465.598022
18.689157,565,468.229935
344.879369,1093,478.218521
771.91723,1570,519.311237
113.580945,804,527.683111
668.982631,1684,540.048096
262.381436,785,543.534307
92.793388,674,681.450317
419.419324,1112,691.772547
68.560817,674,694.900874
136.320936,834,703.587593
154.985035,731,706.888381
365.837396,1082,716.768258
271.969693,1120,730.021147
489.933447,946,739.553232
164.25431,734,742.957232
223.008596,906,747.107314
118.068991,561,755.346443
399.989143,951,761.59299
553.573606,1033,836.043194
308.031611,1055,841.268908
217.103609,854,850.026342
976.265441,2009,864.360791
56.633663,623,880.022384
240.36271,738,883.548172
147.879341,731,891.698491
52.737696,759,895.184964
279.035424,1058,900.050493
507.924855,1188,910.590244
684.340543,1558,941.159188
216.15764,727,944.418298
117.60343,656,947.481275
223.643235,688,955.293807
508.484542,1408,961.873695
86.237294,674,978.374985
421.024524,980,983.071674
342.25834,876,992.124793
119.092217,765,995.664159
272.84662,929,1004.819553
190.838408,820,1008.584515
122.53035,744,1034.329646
134.320209,750,1042.99567
223.432317,656,1046.160192
22.580183,570,1049.44419
222.554205,715,1059.227409
262.998335,721,1062.584993
91.655897,656,1065.572033
163.654732,675,1084.35814
402.082171,817,1088.179908
41.765912,636,1091.165062
26.985183,487,1098.476511
466.73668,1170,1106.741746
138.641352,595,1110.26112
328.585236,989,1166.267282
30.782473,695,1170.526899
219.585274,825,1180.601664
-31.791047,513,1183.312119
471.995089,997,1188.819869
320.915738,1200,1200.940114
181.669483,836,1214.464179
