timesteps,success,collision,out_of_bounds
515,0,0,1
1068,0,0,1
1616,0,0,1
2156,0,0,1
2677,0,0,1
3227,0,0,1
3748,0,0,1
4288,0,0,1
4878,0,0,1
5583,0,0,1
6200,0,0,1
6874,0,0,1
8168,0,0,1
8995,0,0,1
9935,0,0,1
10719,0,0,1
11506,0,0,1
12084,0,0,1
12780,0,0,1
13485,0,0,1
14064,0,0,1
14838,0,0,1
15609,0,0,1
16438,0,0,1
17209,0,0,1
17770,0,0,1
18575,0,0,1
19265,0,0,1
20657,0,0,1
21340,0,0,1
22054,0,0,1
22722,0,0,1
23705,0,0,1
24563,0,0,1
25297,0,0,1
26247,0,0,1
27193,0,0,1
28308,0,0,1
29904,0,0,1
31051,0,0,1
31671,0,0,1
32240,0,0,1
32774,0,0,1
33748,0,0,1
34597,0,0,1
35196,0,0,1
35758,0,0,1
36349,0,0,1
38057,0,0,1
39213,0,0,1
39903,0,0,1
40511,0,0,1
41193,0,0,1
41760,0,0,1
42374,0,0,1
42966,0,0,1
44019,0,0,1
44630,0,0,1
45257,0,0,1
45909,0,0,1
46732,0,0,1
47402,0,0,1
48107,0,0,1
48861,0,0,1
49884,0,0,1
50917,0,0,1
52101,0,0,1
53027,0,0,1
53785,0,0,1
55127,0,0,1
55881,0,0,1
56436,0,0,1
57517,0,0,1
58500,0,0,1
59475,0,0,1
60375,0,0,1
61403,0,0,1
62427,0,0,1
63237,0,0,1
64200,0,0,1
65098,0,0,1
65856,0,0,1
66666,0,0,1
67306,0,0,1
68099,0,0,1
69373,0,0,1
70484,0,0,1
71404,0,0,1
72276,0,0,1
72937,0,0,1
74108,0,0,1
74745,0,0,1
75548,0,0,1
76630,0,0,1
77481,0,0,1
78858,0,0,1
79770,0,0,1
80941,0,0,1
81897,0,0,1
83066,0,0,1
84181,0,0,1
84889,0,0,1
85612,0,0,1
87171,0,0,1
87868,0,0,1
88996,0,0,1
90202,0,0,1
91468,0,0,1
92243,0,0,1
93216,0,0,1
94343,0,0,1
95893,0,0,1
97157,0,0,1
97952,0,0,1
99395,0,0,1
100152,0,0,1
101012,0,0,1
101992,0,0,1
