#{"t_start": 1775206978.6004322, "env_id": "AstroExploration-v0"}
r,l,t
-56.664048,515,2.687633
-11.217343,553,5.259625
17.716022,548,7.738068
-10.350883,540,10.195902
-28.011865,521,12.562427
-11.163166,550,15.111006
40.886287,521,17.481684
20.427432,540,22.614664
-22.002931,590,25.286719
87.657719,705,43.621314
37.330452,617,46.613317
70.904937,674,49.863855
501.949468,1294,55.76944
285.673012,827,62.352424
324.812242,940,67.078065
282.019796,784,91.391227
150.507642,787,94.974312
56.149306,578,97.600318
89.180545,696,103.476735
41.52259,705,106.694175
-30.531739,579,109.339234
176.290435,774,112.936546
320.562784,771,123.918882
169.017462,829,130.507174
266.581319,771,134.019407
-5.657983,561,136.586241
245.188132,805,140.27867
203.888736,690,143.424011
617.412797,1392,202.295356
94.993636,683,205.379175
78.331199,714,208.580496
80.866136,668,211.569952
237.149688,983,216.008685
183.922852,858,219.794471
132.581025,734,247.712463
253.025872,950,251.959408
435.734394,946,256.202944
368.344485,1115,261.216623
984.781872,1596,271.051223
459.090585,1147,370.577382
53.095501,620,373.379887
27.733784,569,375.90686
-31.751671,534,381.118505
242.836889,974,385.898101
252.339138,849,389.759524
-2.432085,599,402.159436
87.694041,562,404.675449
62.977131,591,407.345988
802.186141,1708,417.617724
274.805555,1156,422.904456
267.340522,690,425.97893
4.893168,608,441.393986
262.085886,682,447.052062
79.343458,567,449.564896
91.976382,614,452.251334
58.24667,592,454.795866
453.035534,1053,459.610132
203.559367,611,462.245692
1072.211798,627,477.340712
48.229675,652,480.274053
238.997827,823,484.17986
199.008493,670,487.245776
43.157542,705,490.470945
92.114689,754,493.952494
535.624352,1023,501.327061
546.618586,1033,540.722489
540.972085,1184,546.203851
195.65524,926,550.174276
160.198988,758,556.000643
651.132183,1342,570.257524
172.347857,754,573.577903
-8.648692,555,576.036727
393.465678,1081,583.380357
336.134132,983,587.686626
291.859084,975,592.038682
231.976278,900,633.812994
331.86306,1028,638.531692
360.469361,1024,645.884059
283.565699,810,649.472699
313.097754,963,653.665448
256.714357,898,671.534005
258.13975,758,677.61061
191.904511,810,681.214395
19.263205,640,684.265522
108.126161,793,687.770602
679.938844,1274,693.548801
337.230336,1111,713.415257
266.320645,920,717.554836
250.233559,872,721.349229
71.195366,661,724.440694
371.322878,1171,732.236129
141.834512,637,735.073378
147.378265,803,766.450339
501.109458,1082,771.300477
200.834523,851,775.103861
548.902685,1377,784.167631
268.023091,912,788.341717
588.241477,1171,821.819325
453.952253,956,826.081708
530.107318,1169,834.34651
451.358809,1115,839.233341
203.659691,708,842.501134
100.580739,723,885.004014
570.450814,1559,894.726482
137.981963,697,897.887287
536.841525,1128,903.134476
581.478351,1206,947.665444
483.920193,1266,953.504726
193.241016,775,957.029525
366.712628,973,961.477075
414.262395,1127,969.469485
654.852554,1550,1106.385388
398.817547,1264,1112.076847
258.633848,795,1115.70349
523.601361,1443,1124.952794
158.526285,757,1262.56553
199.323728,860,1266.481354
332.761863,980,1270.916811
