timesteps,success,collision,out_of_bounds
514,0,0,1
1065,0,0,1
1619,0,0,1
2165,0,0,1
2855,0,0,1
3506,0,0,1
4059,0,0,1
4743,0,0,1
5299,0,0,1
6267,0,0,1
6860,0,0,1
7696,0,0,1
8341,0,0,1
9259,0,0,1
10379,0,0,1
11257,0,0,1
12052,0,0,1
13517,0,0,1
14071,0,0,1
15899,0,0,1
17893,0,0,1
18524,0,0,1
19581,0,0,1
20476,0,0,1
21725,0,0,1
22918,0,0,1
23963,0,0,1
24834,0,0,1
25852,0,0,1
26667,0,0,1
27364,0,0,1
28046,0,0,1
28679,0,0,1
31013,0,0,1
31804,0,0,1
32502,0,0,1
33215,0,0,1
34102,0,0,1
35006,0,0,1
35783,0,0,1
36983,0,0,1
37907,0,0,1
39437,0,0,1
40361,0,0,1
41145,0,0,1
41964,0,0,1
42663,0,0,1
43339,0,0,1
44320,0,0,1
44959,0,0,1
45781,0,0,1
47115,0,0,1
47918,0,0,1
49368,0,0,1
50361,0,0,1
51244,0,0,1
52244,0,0,1
53380,0,0,1
54340,0,0,1
55369,0,0,1
56318,0,0,1
57260,0,0,1
58428,0,0,1
59228,0,0,1
60289,0,0,1
61360,0,0,1
62184,0,0,1
63234,0,0,1
63946,0,0,1
64718,0,0,1
65758,0,0,1
67187,0,0,1
67999,0,0,1
69083,0,0,1
69964,0,0,1
71118,0,0,1
71904,0,0,1
72730,0,0,1
74145,0,0,1
75094,0,0,1
76182,0,0,1
77053,0,0,1
78040,0,0,1
79178,0,0,1
79926,0,0,1
80914,0,0,1
82051,0,0,1
82999,0,0,1
83962,0,0,1
84568,0,0,1
85487,0,0,1
86265,0,0,1
87259,0,0,1
89200,0,0,1
90131,0,0,1
91344,0,0,1
92311,0,0,1
93217,0,0,1
94165,0,0,1
95180,0,0,1
96038,0,0,1
97570,0,0,1
98809,0,0,1
99565,0,0,1
