timesteps,success,collision,out_of_bounds
515,0,0,1
1068,0,0,1
1616,0,0,1
2158,0,0,1
2730,0,0,1
3332,0,0,1
3875,0,0,1
4437,0,0,1
5020,0,0,1
5830,0,0,1
6343,0,0,1
6927,0,0,1
7551,0,0,1
8132,0,0,1
8646,0,0,1
9174,0,0,1
9752,0,0,1
10582,0,0,1
12146,0,0,1
12796,0,0,1
13674,0,0,1
14728,0,0,1
15918,0,0,1
16780,0,0,1
17664,0,0,1
18184,0,0,1
19317,0,0,1
19874,0,0,1
20886,0,0,1
21357,0,0,1
22020,0,0,1
22616,0,0,1
23100,0,0,1
24360,0,0,1
25000,0,0,1
25889,0,0,1
26578,0,0,1
27284,0,0,1
28085,0,0,1
29291,0,0,1
29982,0,0,1
30763,0,0,1
31791,0,0,1
32324,0,0,1
33649,0,0,1
35008,0,0,1
36386,0,0,1
37275,0,0,1
38538,0,0,1
39623,0,0,1
40572,0,0,1
41631,0,0,1
42801,0,0,1
43559,0,0,1
45790,0,0,1
46965,0,0,1
47681,0,0,1
48715,0,0,1
49939,0,0,1
50681,0,0,1
51552,0,0,1
53080,0,0,1
54036,0,0,1
55016,0,0,1
56104,0,0,1
56798,0,0,1
57867,0,0,1
58904,0,0,1
59953,0,0,1
60920,0,0,1
61778,0,0,1
62799,0,0,1
63813,0,0,1
65028,0,0,1
65808,0,0,1
66589,0,0,1
67639,0,0,1
68785,0,0,1
69839,0,0,1
70946,0,0,1
72042,0,0,1
72780,0,0,1
73557,0,0,1
73955,0,0,1
74830,0,0,1
75820,0,0,1
76417,0,0,1
77698,0,0,1
78987,0,0,1
80116,0,0,1
81567,0,0,1
82223,0,0,1
82810,0,0,1
83451,0,0,1
84302,0,0,1
85633,0,0,1
86599,0,0,1
87630,0,0,1
88498,0,0,1
90117,0,0,1
91062,0,0,1
91930,0,0,1
93537,0,0,1
94661,0,0,1
95373,0,0,1
96425,0,0,1
97700,0,0,1
98812,0,0,1
99765,0,0,1
