timesteps,success,collision,out_of_bounds
565,0,0,1
1027,0,0,1
1530,0,0,1
2115,0,0,1
2619,0,0,1
3253,0,0,1
3778,0,0,1
4353,0,0,1
4889,0,0,1
5444,0,0,1
6104,0,0,1
6680,0,0,1
7229,0,0,1
7844,0,0,1
8380,0,0,1
8931,0,0,1
9459,0,0,1
10394,0,0,1
11025,0,0,1
11620,0,0,1
12191,0,0,1
12725,0,0,1
13361,0,0,1
13943,0,0,1
14680,0,0,1
15310,0,0,1
15875,0,0,1
16447,0,0,1
16933,0,0,1
17699,0,0,1
18427,0,0,1
19111,0,0,1
19628,0,0,1
20368,0,0,1
21885,0,0,1
22582,0,0,1
23577,0,0,1
24271,0,0,1
24865,0,0,1
25822,0,0,1
26391,0,0,1
26962,0,0,1
27740,0,0,1
30137,0,0,1
30684,0,0,1
31778,0,0,1
32916,0,0,1
34313,0,0,1
35465,0,0,1
35998,0,0,1
36734,0,0,1
38915,0,0,1
39833,0,0,1
40530,0,0,1
41435,0,0,1
42000,0,0,1
42732,0,0,1
43246,0,0,1
44104,0,0,1
44795,0,0,1
45533,0,0,1
46070,0,0,1
46793,0,0,1
47260,0,0,1
47869,0,0,1
48458,0,0,1
49159,0,0,1
49792,0,0,1
50426,0,0,1
51067,0,0,1
51933,0,0,1
52596,0,0,1
53201,0,0,1
54430,0,0,1
55135,0,0,1
55954,0,0,1
56689,0,0,1
57373,0,0,1
58101,0,0,1
59154,0,0,1
59825,0,0,1
61248,0,0,1
61982,0,0,1
62534,0,0,1
64065,0,0,1
64699,0,0,1
65335,0,0,1
66627,0,0,1
67307,0,0,1
68004,0,0,1
69233,0,0,1
70378,0,0,1
70935,0,0,1
72418,0,0,1
72974,0,0,1
74311,0,0,1
74989,0,0,1
75681,0,0,1
76854,0,0,1
78134,0,0,1
78745,0,0,1
79561,0,0,1
80147,0,0,1
80917,0,0,1
81573,0,0,1
82273,0,0,1
83070,0,0,1
83854,0,0,1
84592,0,0,1
85293,0,0,1
85869,0,0,1
86541,0,0,1
87173,0,0,1
88022,0,0,1
88646,0,0,1
90107,0,0,1
90667,0,0,1
91355,0,0,1
92108,0,0,1
93159,0,0,1
94373,0,0,1
95258,0,0,1
96721,0,0,1
97317,0,0,1
98206,0,0,1
98817,0,0,1
100088,0,0,1
