timesteps,success,collision,out_of_bounds
642,0,0,1
1209,0,0,1
1948,0,0,1
2456,0,0,1
2974,0,0,1
3550,0,0,1
4103,0,0,1
4682,0,0,1
5298,0,0,1
6457,0,0,1
7094,0,0,1
7571,0,0,1
8233,0,0,1
8974,0,0,1
9746,0,0,1
10481,0,0,1
11182,0,0,1
11796,0,0,1
12302,0,0,1
13177,0,0,1
13925,0,0,1
14901,0,0,1
17405,0,0,1
18333,0,0,1
19744,0,0,1
20440,0,0,1
21134,0,0,1
21881,0,0,1
22766,0,0,1
23387,0,0,1
24001,0,0,1
24724,0,0,1
25327,0,0,1
25800,0,0,1
26490,0,0,1
27005,0,0,1
27608,0,0,1
28151,0,0,1
29034,0,0,1
29711,0,0,1
30314,0,0,1
31089,0,0,1
31747,0,0,1
32728,0,0,1
33908,0,0,1
34820,0,0,1
35544,0,0,1
36690,0,0,1
37618,0,0,1
38297,0,0,1
38970,0,0,1
39793,0,0,1
40364,0,0,1
41114,0,0,1
41776,0,0,1
43066,0,0,1
43577,0,0,1
44637,0,0,1
45981,0,0,1
46624,0,0,1
47526,0,0,1
48295,0,0,1
49245,0,0,1
50574,0,0,1
51595,0,0,1
52526,0,0,1
53706,0,0,1
54791,0,0,1
55838,0,0,1
56631,0,0,1
57722,0,0,1
58755,0,0,1
59359,0,0,1
60103,0,0,1
60745,0,0,1
61263,0,0,1
62243,0,0,1
62806,0,0,1
63565,0,0,1
64647,0,0,1
65688,0,0,1
66587,0,0,1
67858,0,0,1
68825,0,0,1
69494,0,0,1
70755,0,0,1
71686,0,0,1
72574,0,0,1
73730,0,0,1
74482,0,0,1
75452,0,0,1
75542,0,1,0
76330,0,0,1
76919,0,0,1
78154,0,0,1
78561,0,0,1
79336,0,0,1
80201,0,0,1
81680,0,0,1
82619,0,0,1
84561,0,0,1
85419,0,0,1
86139,0,0,1
87153,0,0,1
88152,0,0,1
89209,0,0,1
89939,0,0,1
90915,0,0,1
91713,0,0,1
93066,0,0,1
94178,0,0,1
95424,0,0,1
96294,0,0,1
97077,0,0,1
98141,0,0,1
99311,0,0,1
99985,0,0,1
