timesteps,success,collision,out_of_bounds
514,0,0,1
1065,0,0,1
1619,0,0,1
2167,0,0,1
2684,0,0,1
3316,0,0,1
3858,0,0,1
4370,0,0,1
5007,0,0,1
5824,0,0,1
6334,0,0,1
7003,0,0,1
7586,0,0,1
8069,0,0,1
8764,0,0,1
9303,0,0,1
9862,0,0,1
10724,0,0,1
11300,0,0,1
11846,0,0,1
12715,0,0,1
13247,0,0,1
14574,0,0,1
15086,0,0,1
15644,0,0,1
16213,0,0,1
16851,0,0,1
17387,0,0,1
17896,0,0,1
18448,0,0,1
18992,0,0,1
19528,0,0,1
20325,0,0,1
21064,0,0,1
21674,0,0,1
22244,0,0,1
22841,0,0,1
23421,0,0,1
23964,0,0,1
24566,0,0,1
25163,0,0,1
25714,0,0,1
26326,0,0,1
26997,0,0,1
27812,0,0,1
29081,0,0,1
29982,0,0,1
30842,0,0,1
31480,0,0,1
32182,0,0,1
33033,0,0,1
33649,0,0,1
34452,0,0,1
35518,0,0,1
36184,0,0,1
36834,0,0,1
37606,0,0,1
38592,0,0,1
39818,0,0,1
40476,0,0,1
42266,0,0,1
42907,0,0,1
43801,0,0,1
44409,0,0,1
45959,0,0,1
46642,0,0,1
47245,0,0,1
48062,0,0,1
48852,0,0,1
50016,0,0,1
51301,0,0,1
51935,0,0,1
52613,0,0,1
53359,0,0,1
54217,0,0,1
54941,0,0,1
55615,0,0,1
56482,0,0,1
57271,0,0,1
57871,0,0,1
59112,0,0,1
60190,0,0,1
60937,0,0,1
61694,0,0,1
62798,0,0,1
62887,0,1,0
63432,0,0,1
64330,0,0,1
65829,0,0,1
66928,0,0,1
67813,0,0,1
69035,0,0,1
69973,0,0,1
70773,0,0,1
71536,0,0,1
72636,0,0,1
73417,0,0,1
74406,0,0,1
75477,0,0,1
76327,0,0,1
79626,0,0,1
80831,0,0,1
81632,0,0,1
82577,0,0,1
84782,0,0,1
86041,0,0,1
86824,0,0,1
88243,0,0,1
89061,0,0,1
89938,0,0,1
91160,0,0,1
92411,0,0,1
93518,0,0,1
95502,0,0,1
96614,0,0,1
97308,0,0,1
98362,0,0,1
100177,0,0,1
