timesteps,success,collision,out_of_bounds
514,0,0,1
1065,0,0,1
1619,0,0,1
2167,0,0,1
2727,0,0,1
3342,0,0,1
3855,0,0,1
4375,0,0,1
4930,0,0,1
5621,0,0,1
6130,0,0,1
6667,0,0,1
7190,0,0,1
7680,0,0,1
8154,0,0,1
8750,0,0,1
9376,0,0,1
9912,0,0,1
10530,0,0,1
11882,0,0,1
12493,0,0,1
13243,0,0,1
13883,0,0,1
14452,0,0,1
15229,0,0,1
15870,0,0,1
16524,0,0,1
17848,0,0,1
18666,0,0,1
19232,0,0,1
19827,0,0,1
20419,0,0,1
21298,0,0,1
22089,0,0,1
22759,0,0,1
23571,0,0,1
24132,0,0,1
26361,0,0,1
26966,0,0,1
27569,0,0,1
28062,0,0,1
28856,0,0,1
29733,0,0,1
30325,0,0,1
30955,0,0,1
31689,0,0,1
32595,0,0,1
33254,0,0,1
34159,0,0,1
35416,0,0,1
36232,0,0,1
36910,0,0,1
37614,0,0,1
38296,0,0,1
39043,0,0,1
40067,0,0,1
40810,0,0,1
41518,0,0,1
42541,0,0,1
44017,0,0,1
44804,0,0,1
45585,0,0,1
46543,0,0,1
47711,0,0,1
48264,0,0,1
48817,0,0,1
49423,0,0,1
50108,0,0,1
50719,0,0,1
51422,0,0,1
52459,0,0,1
52973,0,0,1
53704,0,0,1
54294,0,0,1
54999,0,0,1
55773,0,0,1
56285,0,0,1
57732,0,0,1
58239,0,0,1
59099,0,0,1
59778,0,0,1
61123,0,0,1
62057,0,0,1
62746,0,0,1
63477,0,0,1
64296,0,0,1
64989,0,0,1
65792,0,0,1
66937,0,0,1
67759,0,0,1
68283,0,0,1
69080,0,0,1
71028,0,0,1
73433,0,0,1
74347,0,0,1
75514,0,0,1
77241,0,0,1
78786,0,0,1
79659,0,0,1
81095,0,0,1
82385,0,0,1
86030,0,0,1
88676,0,0,1
90468,0,0,1
91722,0,0,1
93850,0,0,1
96096,0,0,1
97636,0,0,1
98797,0,0,1
