#{"t_start": 1775202972.740734, "env_id": "AstroExploration-v0"}
r,l,t
-84.309612,514,3.846422
-85.023928,551,6.670404
-69.851223,554,9.87026
-95.725418,548,16.936443
-88.410075,560,19.423139
-86.905286,615,22.234302
-96.837599,513,24.547281
-53.65643,520,29.488161
-70.968222,555,32.779741
42.072866,691,53.611828
-56.511199,509,56.588711
22.46381,537,63.115381
-89.677782,523,66.04884
-75.377508,490,69.479562
-91.738254,474,75.633989
-67.387496,596,86.015249
109.886607,626,92.486794
7.525338,536,98.802485
112.674692,618,209.245791
648.153132,1352,221.906244
49.101125,611,237.128296
232.578391,750,244.456354
77.69432,640,250.890671
21.995792,569,258.06899
144.680132,777,284.971705
16.258106,641,289.753208
58.871159,654,301.133446
405.921863,1324,309.590616
139.748481,818,324.40693
-26.387037,566,328.635752
-31.745237,595,331.628314
56.854964,592,358.331285
319.538331,879,373.353172
158.476433,791,380.588972
4.415784,670,392.28427
218.493119,812,398.001045
3.689796,561,401.643758
1163.262876,2229,440.082846
3.889364,605,447.020726
105.806176,603,450.690065
-51.748996,493,453.31485
420.170142,794,460.288958
345.560612,877,464.836188
12.062104,592,480.242323
146.343268,630,486.193472
181.123019,734,489.962027
268.194107,906,494.688129
183.665849,659,501.27882
248.441035,905,505.923401
397.677295,1257,527.442477
182.789789,816,533.767046
230.865683,678,543.844842
172.851353,704,549.002676
213.060968,682,553.659024
222.972784,747,563.507835
330.437652,1024,594.204071
160.434607,743,598.332545
148.531207,708,607.190165
371.481522,1023,612.546667
410.608031,1476,623.826898
178.862981,787,629.626941
157.508254,781,674.883867
308.878076,958,681.720463
334.751408,1168,696.33205
-11.379589,553,701.858387
50.411296,553,706.601562
141.183072,606,714.522414
179.429538,685,741.069382
6.773884,611,744.294664
269.127026,703,756.701519
317.854159,1037,765.368603
35.721291,514,769.288872
147.198351,731,778.439926
60.751009,590,783.32965
160.563314,705,789.153502
134.301718,774,818.518734
-46.364392,512,823.231194
405.653693,1447,842.47526
-11.534319,507,846.517372
310.996103,860,860.127962
115.865855,679,873.797522
680.359894,1345,912.470532
227.496579,934,929.168755
117.61984,689,936.814037
267.585323,731,944.921153
295.689051,819,961.023061
158.818879,693,969.179191
212.811924,803,1004.432377
497.940265,1145,1017.640828
255.63097,822,1033.965213
-39.157659,524,1040.42115
238.725444,797,1049.759919
833.755026,1948,1101.075587
1078.468081,2405,1136.447856
263.764832,914,1153.320077
386.797435,1167,1188.365579
679.074526,1727,1215.881882
578.586607,1545,1240.400529
224.782203,873,1250.51184
517.355586,1436,1294.848549
521.78542,1290,1316.769624
1668.990118,3645,1390.768833
942.887712,2646,1429.475319
659.810522,1792,1475.139014
366.256304,1254,1488.971972
850.644698,2128,1519.973421
742.617639,2246,1572.630335
436.10029,1540,1598.327057
369.363133,1161,1619.173874
