episode,reward,episode_length
1,186.5881083061135,726
2,-35.72100032084796,553
3,164.7344880998999,745
4,207.20233362285225,782
5,-3.2426663817260817,564
6,-17.581649683875924,497
7,-41.24619702771028,513
8,28.385349486379596,596
9,78.49850687831344,572
10,55.521741626391446,606
11,115.98988717276264,604
12,-14.406196931488395,593
13,218.9635828840526,670
14,171.7616349808504,717
15,21.784368121587406,624
16,173.7632718071284,790
17,510.8229694060633,1320
18,64.97526443963856,620
19,108.78232402881432,648
20,-37.4124976404471,522
21,285.289937026487,834
22,274.30124097800046,869
23,469.3831878835572,1113
24,403.92644059368865,1052
25,202.41213579943357,692
26,84.37220520024533,699
27,98.81747089567982,673
28,258.90040475287054,927
29,196.71730937807163,714
30,97.39040970371526,715
31,260.675089948483,809
32,9.513946243275527,602
33,69.60677155381164,627
34,528.1948102209966,1130
35,323.7165221795051,892
36,56.26901379593136,641
37,46.24968822023784,652
38,135.2286433253933,686
39,429.67244047832753,1115
40,295.2561460815102,994
41,431.29476231045885,1245
42,145.32927189794478,623
43,87.32423037023095,585
44,244.00187660977488,768
45,50.20188527810237,623
46,46.39519889721602,612
47,22.290163069722453,584
48,108.12759761553987,769
49,407.15930514224704,1023
50,267.9027980043526,878
51,883.441698619199,2067
52,460.6095128916279,1366
53,20.25611870360548,639
54,154.13165324819758,757
55,545.2155898009573,1270
56,64.77610648487273,642
57,227.71451625478508,820
58,173.61353153959786,683
59,449.8189225015119,1306
60,225.50297158674186,909
61,166.3291955379682,682
62,233.33412035460046,824
63,347.0704448208564,1016
64,268.9039723663141,975
65,106.75797488188036,769
66,247.73706517407814,852
67,235.62722074114524,901
68,780.1242609729754,1772
69,169.07419347021056,820
70,208.29163233707146,818
71,83.7552434150952,731
72,353.99908803255505,877
73,1.8846973128673454,618
74,33.021743014382565,668
75,-13.873783557856072,538
76,198.003546404438,813
77,148.84895008851618,695
78,183.4979563706804,840
79,63.29251896886599,670
80,44.70447882735287,691
81,126.66264781831651,747
82,191.9429395302934,782
83,81.65207236748947,663
84,127.17415271785376,787
85,-62.87989208344251,470
86,-87.04556173825524,537
87,3.323984522372726,629
88,110.83818177356223,720
89,208.14698235977042,834
90,30.423261368234666,594
91,490.2926083817833,1340
92,105.7730489393341,714
93,189.44548205454234,918
94,49.58435209103956,648
95,160.61706864327982,722
96,119.18582332891303,663
97,530.0515438639923,1283
98,282.6908833964151,846
99,188.8199222202758,897
100,82.54969982013696,667
101,326.0926710695338,958
102,516.930377346829,1289
103,245.01035926526637,870
104,143.3900084461577,626
105,147.26978080002738,679
106,110.00509527103048,671
107,557.80809224989,1336
108,147.02464644559265,693
109,513.862148562745,1342
110,281.8235869896156,891
111,300.5196755975322,932
112,425.96619005808657,1136
113,210.56668681253424,837
114,221.15947449108918,843
115,220.40369552214153,894
116,271.62820672580835,978
117,403.7841748264291,1154
118,353.3155383195684,1020
119,193.49312924848618,909
120,196.20159796819058,781
121,268.6825744139651,930
122,268.5393677264258,948
123,266.35421939230923,910
124,477.85239581018527,1216
125,263.37322884239904,1097
126,242.76297399560738,786
127,294.6958219192086,923
128,530.3285076244621,1422
129,355.9195986049897,1141
130,200.18569433882624,837
131,192.48821651316214,756
132,377.75247978074935,1061
133,224.50729540138764,821
134,259.30814049857895,986
135,142.549402548464,739
136,229.19475623904353,863
137,1075.0533918619515,2829
138,620.0052891952655,1932
139,323.8157862134435,1084
140,272.8960387805863,867
141,189.36980762042714,956
142,116.1133401506769,720
143,504.3416173791893,1287
144,587.2448687050206,1375
145,40.711552647411395,772
146,328.4454928123768,996
147,266.79192495808115,883
148,184.67306890632182,791
149,190.06753183098456,791
150,312.4105043657269,955
151,365.90060983147157,1152
152,271.1932660759328,1027
153,160.36786211326455,834
154,426.84586759425133,1169
155,229.5758487328641,835
156,156.27711347850928,840
157,261.8438635597531,821
158,109.9210012387679,949
159,415.31328148051443,1201
160,372.20158955212867,985
161,166.7220487678789,710
162,235.88241402104782,940
163,235.83357048750358,891
164,113.36363077807178,872
165,622.9416376424167,1466
166,370.1029053887959,883
167,322.7678713821126,933
168,200.1320104810029,920
169,316.64128559243215,1168
170,212.3853132721404,806
171,212.31607117428834,863
172,213.14443053143927,861
173,427.22685618540925,1111
174,250.5271316259289,1028
175,364.07501019077534,975
176,249.1931622945234,1016
177,301.79551873171135,953
178,372.22377499448976,1284
179,313.19201221406666,1015
180,202.87284293855822,824
181,310.90262007578997,1110
182,601.9611470836201,1458
183,341.0897259150404,984
184,387.4450492002046,1070
185,540.5469955128347,1364
186,223.19865672773545,929
187,138.611694855534,878
188,273.9176488730636,1007
189,169.92074131367215,1114
190,217.23406978405367,939
191,139.22486141776707,876
192,214.7508972395062,913
193,288.2663292735033,1081
194,353.3938608513391,932
195,234.77990721608583,996
196,257.08200976490696,920
197,287.40135688721944,865
198,497.89912730058245,1475
199,260.9103919788184,842
200,496.94523769072816,1293
201,287.22111796593003,1007
202,231.2250357809109,946
203,507.0962221039724,1089
204,94.16118228949699,683
205,149.8734613637068,974
206,126.73310052877335,850
207,282.0120816981747,914
208,608.5353491989806,1135
209,247.00229605608894,907
210,146.12269088393575,949
211,283.3892650167942,1053
212,437.596276319113,1124
213,256.5704725348644,817
214,144.1110096193889,894
215,355.6731248918711,1028
216,168.01570227311382,840
217,368.7918444309855,1089
218,375.21407661031213,1186
219,259.7007371785926,884
220,393.00413669337036,1385
221,296.70475313905206,934
222,242.84736683645357,874
223,142.34467466508661,962
224,662.0188465158506,1516
225,-1.2126958071381608,784
226,210.21801094937635,831
227,170.7242037551369,769
