episode,reward,episode_length
1,115.79131777209969,721
2,339.1893161092671,1126
3,16.938510168892137,695
4,140.46514046466962,825
5,17.322077843015506,645
6,17.142777863463436,596
7,84.80140902143066,628
8,-6.203729417838886,577
9,-55.72893126361815,551
10,46.79567974379776,640
11,99.8690706418101,670
12,-18.17530717406673,533
13,75.87665810671626,675
14,105.53956209786814,701
15,41.493961743279726,725
16,181.09508067856777,913
17,14.628979559691302,609
18,42.03891831251997,779
19,128.73475710097898,695
20,5.498280835299866,589
21,-19.792258599568086,615
22,-8.921379525126497,747
23,219.79294605906193,1050
24,375.55927256149187,1420
25,-2.483686500843447,529
26,472.93628449962773,1105
27,134.43267767848204,766
28,718.3792692007592,1605
29,-18.15896916201021,703
30,209.41166304871138,969
31,190.98237577040382,961
32,568.2817163283247,1348
33,170.94023128886892,929
34,15.146827084123032,736
35,153.12966943839677,981
36,268.86109072780584,1141
37,373.60326870066956,1026
38,166.82093298627348,901
39,212.26099598589028,947
40,16.168450046905306,727
41,806.6580476213214,1962
42,418.2328251302865,1553
43,216.4525711099264,995
44,261.59922143984215,1169
45,245.44493791193926,1090
46,399.90002637804736,973
47,143.66724350605483,896
48,657.0327061057592,1573
49,580.5385699225596,1876
50,333.8458288684601,1030
51,709.1026837141623,2173
52,477.648084687102,1211
53,534.0544170135444,1444
54,307.7708315822347,1120
55,212.39331022732512,839
56,595.3774494545482,1619
57,54.62929602981218,793
58,504.3755514985759,1582
59,161.23759298753447,884
60,340.1079392099998,1085
61,-25.657574409638244,685
62,903.1135603920118,2166
63,466.22895938811916,1499
64,588.3221236698221,1762
65,118.91771351759417,1124
66,302.74577530257216,939
67,337.20046529679354,1359
68,2053.3856714768367,4909
69,587.9124191047541,1528
70,305.0728671601734,2278
71,524.9764030526567,1739
72,697.513155244668,1887
73,661.0736148496118,1559
74,524.6216464970978,1369
75,387.5002480246635,1189
76,232.73230453621738,883
77,1999.9668040216727,4392
78,776.362900032663,2886
79,379.08590942619225,975
80,395.01881156860134,1171
81,510.86940151892884,991
82,458.2715067430854,1316
83,391.8699492038413,1273
84,645.4223251271671,1127
85,174.88937255010518,875
86,534.0202405313237,1104
87,382.60697575325275,1400
88,208.77722399954897,1050
89,508.65234234334116,1295
90,322.43306809187345,1388
91,371.9674350887916,977
92,224.88805872722497,1034
93,554.7609409635647,1381
94,564.2342937266011,1068
95,559.7415343500538,1425
96,36.27174179618157,771
97,160.80438416225826,890
98,381.77392662781307,1145
99,401.5858211076338,1199
100,696.8214118600039,1984
101,521.3109080424292,1438
102,294.8805435172601,1091
103,477.50836214956826,1611
104,380.7152122727499,1302
105,202.91644191272619,1592
106,198.2250401571246,1039
107,253.9890460582648,2205
108,295.5813338338132,1058
109,431.23997319967987,1311
110,287.22783178477744,1269
111,425.3616760508662,1164
112,280.0106665328265,1356
113,492.9729038570939,1443
114,356.7761182076016,1046
115,152.92951226068374,1317
116,426.8651391776345,1121
117,228.39360964333176,979
118,513.2100819715433,1121
119,418.4610700906893,1650
120,336.0519080100645,1423
121,908.6596355012147,2089
122,446.733439070774,1729
123,559.7539228615186,1794
124,324.36147533254825,1326
125,347.24593930450885,935
126,465.0301609478354,1119
127,437.19234275196413,1089
128,1172.8208967315668,2797
129,673.2418684380384,1769
130,560.4008578246733,1110
131,528.1147349023263,1253
132,335.7607555581626,1252
133,297.2511075325949,1191
134,690.7335428220249,1839
135,300.56208491121424,1224
136,484.6677947979156,1197
137,152.4611396688527,1173
138,427.7625429614029,1297
139,356.37072865048606,1727
140,347.58209974472334,886
141,439.62384698529024,976
142,481.9903427634428,1265
143,420.2146015927123,1790
144,530.4961443732223,1279
145,488.8205109062721,1406
146,222.51661108976697,933
147,1448.959212982783,3526
148,724.1624950457827,1887
149,357.9746992117396,1225
150,558.5837203475172,1351
151,771.7290879647414,1821
152,709.9027140016063,1966
153,352.0818345667235,1421
154,384.5093670107181,1783
155,383.0644862364388,1199
156,1316.2057059606273,2993
157,638.7239264047154,1601
158,357.6261302826329,1571
159,786.43017072548,1896
160,1304.3392833419969,3779
161,476.87518937597224,1345
162,621.6487461609838,1460
163,581.56585089715,1463
