episode,reward,episode_length
1,39.56605584661897,621
2,-34.733366923940544,540
3,-30.550202488034017,528
4,-37.1115574210301,499
5,-18.8427952424355,545
6,-96.40495428707541,470
7,176.6317094837154,701
8,132.4355321571988,663
9,18.351291839725164,584
10,156.857918483421,648
11,-17.00995078152245,562
12,25.114979201585854,551
13,63.0701465974313,613
14,-77.24758226983697,498
15,-51.06502934101368,548
16,-85.67836578222395,477
17,-90.2935583762723,512
18,28.62823237452658,601
19,42.46467065047396,586
20,-3.301421572422626,529
21,-35.86234171828209,568
22,163.72894515966814,894
23,-70.4368291652708,515
24,-85.96510048787493,511
25,204.67465082448692,823
26,-54.03034964986537,510
27,33.73624908127887,527
28,73.95517777409529,662
29,40.0969694034069,554
30,-45.1810400515114,488
31,-28.859181133730644,630
32,-38.54061529105365,493
33,86.38127909903007,559
34,126.31674430805735,598
35,-25.453793492922497,513
36,-91.51509642248641,511
37,-75.49536320946297,498
38,22.9356913822881,601
39,88.53055940951614,571
40,-20.292246483285552,501
41,-67.28918906084115,509
42,-80.42886780151562,511
43,-42.30352988897682,528
44,-17.746000091820477,501
45,-26.35941181232525,484
46,44.46692959225586,591
47,26.58972014758336,575
48,84.84053150199219,682
49,-100.047005625,469
50,-73.42463324356451,541
51,-0.10874935544865139,571
52,-50.149198273931304,541
53,96.15190806260689,671
54,-88.839661416135,577
55,188.84514358043333,795
56,102.33632652400954,561
57,-50.29326314588603,533
58,359.95083577597484,870
59,-68.54660754361498,518
60,325.33023693424093,905
61,-57.10995301556003,505
62,-45.24502961799605,543
63,54.907305970778445,602
64,28.66288147805697,588
65,-99.06438500668845,467
66,-84.07703038256349,495
67,347.8438780974248,802
68,-57.954547485082394,517
69,62.155828511223625,577
70,845.6982581214285,1818
71,9.391914628349824,664
72,-47.35594877322966,584
73,-66.02466700559515,510
74,88.50422178338249,677
75,-98.85525164356208,512
76,-83.96320606518536,564
77,66.81047624435662,675
78,372.44148219195085,932
79,-99.93490238200211,512
80,87.83574675734809,544
81,-46.434972044689765,575
82,-70.7529984574266,569
83,36.30403497826437,604
84,-15.230806724594586,548
85,160.94400420625982,694
86,95.05843115876182,627
87,-1.9795951467780841,569
88,73.03996216877984,535
89,173.5590081946891,711
90,13.245463300355155,633
91,-42.2227519077388,579
92,-8.859960900324355,511
93,-91.91219480521619,548
94,-62.047497290159626,579
95,-82.49024004761945,566
96,117.61742124908304,662
97,11.311940054625016,558
98,-56.998669391829935,486
99,170.98311661881434,633
100,-100.050399125,503
101,-33.79891492774162,536
102,261.1064193209303,903
103,-3.3198757863649746,548
104,70.08056983026748,624
105,-72.47496593022196,531
106,90.77967224644706,672
107,184.49617864532462,718
108,160.5950129742898,842
109,-90.41294077751554,537
110,155.7342678579092,775
111,-57.116494524631385,529
112,13.650506626690856,521
113,30.340862292593812,610
114,19.307328553439092,587
115,203.31689123209605,848
116,18.087113952972615,699
117,138.54830388225156,912
118,-31.082519934595663,568
119,62.10385658653266,664
120,20.760431729308408,551
121,223.28948891256798,806
