algorithm,run_name,total_episodes,final_mean_reward,wall_time_s
REINFORCE,reinforce_deep_net,1000,1319.85,14164.6
REINFORCE,reinforce_large_net,1000,752.62,16265.4
REINFORCE,reinforce_very_low_gamma,1000,493.0,4369.9
REINFORCE,reinforce_running_baseline,1000,475.77,3037.5
REINFORCE,reinforce_low_gamma,1000,448.98,3765.3
REINFORCE,reinforce_no_baseline,1000,391.09,2941.0
PPO,ppo_tight_clip,118,364.73,1371.3
PPO,ppo_wide_clip,109,353.83,1662.2
PPO,ppo_baseline,114,345.87,2088.7
PPO,ppo_low_gamma,104,337.59,1047.5
PPO,ppo_large_rollout,118,325.5,1275.5
PPO,ppo_low_lr,109,318.97,2269.7
PPO,ppo_small_net,117,253.83,611.3
PPO,ppo_high_lr_deep,114,253.76,1220.1
PPO,ppo_more_epochs,127,214.3,1732.1
REINFORCE,reinforce_small_net,1000,209.63,4956.0
REINFORCE,reinforce_baseline,1000,202.09,3003.4
PPO,ppo_high_entropy,138,184.03,1944.2
REINFORCE,reinforce_low_lr,1000,115.11,2597.7
REINFORCE,reinforce_high_lr,1000,65.02,2465.4
DQN,dqn_large_buffer,550,-50.29,
DQN,dqn_low_lr,552,-59.8,
DQN,dqn_low_gamma,537,-67.37,
DQN,dqn_high_lr,551,-67.58,
DQN,dqn_med_lr_batch,540,-69.83,
DQN,dqn_small_net,549,-74.21,
DQN,dqn_deep_net,527,-75.59,
DQN,dqn_long_explore,596,-79.07,
DQN,dqn_soft_update,551,-81.29,
DQN,dqn_baseline,8,-87.89,
