#{"t_start": 1774748762.8616533, "env_id": "AstroExploration-v0"}
r,l,t
-993.974097,487,7.923726
-994.645267,541,8.855245
-995.540302,507,9.542075
-995.350936,569,10.242257
-995.76462,532,10.928895
-995.858334,517,11.567611
-996.015001,523,12.195839
-995.505229,512,12.810789
-995.029938,563,13.511331
-994.894927,538,15.30457
-993.809116,491,17.864542
-993.752395,529,20.835108
-992.285852,537,23.634726
-995.429333,511,26.255111
-994.350448,562,29.873927
-995.29419,608,33.929189
-994.215767,548,37.61448
-993.642209,474,40.955837
-995.764211,531,79.872705
-994.249982,504,82.959971
-995.287454,664,87.166226
-994.787223,509,90.747131
-995.116421,554,94.113984
-994.634109,1086,101.101818
-989.815438,622,105.097796
-992.068097,565,108.995039
-993.397281,495,112.348921
-994.676327,511,116.296626
-993.970834,560,121.035898
-989.613244,611,126.096185
-995.000941,499,133.337448
-994.71691,696,145.223419
-995.76769,863,156.074734
-994.080583,556,160.79689
-992.270285,959,180.451128
-994.091178,810,184.979979
-990.170378,552,188.522665
-993.832683,883,193.70823
-991.399625,1063,199.931855
-986.846549,601,203.462478
-991.555446,522,206.475523
-995.041398,805,211.362117
-992.389799,614,214.912917
-994.771682,677,219.220275
-993.396561,1129,225.841708
-991.389129,569,229.422364
-992.651288,725,233.799853
-991.561283,713,238.131144
-987.056199,815,254.615855
-986.540154,819,259.805119
-986.868866,1148,266.747253
-987.369376,838,272.012464
-986.867795,521,275.087692
-991.073668,570,278.683682
-989.789446,569,282.108161
-989.980655,552,285.539335
-990.446079,799,290.667723
-987.449415,809,295.509234
-991.119947,874,301.09131
-989.132429,539,304.290938
-980.956025,816,309.809437
-990.704774,854,326.565277
-985.239372,1204,334.256552
-983.578427,982,340.530197
-980.199272,712,344.861819
-986.43496,744,349.906821
-987.811212,1388,358.492724
-986.26818,951,364.382346
-981.695444,555,367.810107
-988.301445,1084,374.674658
-991.240511,594,378.168403
-981.419194,664,382.724267
-988.053711,645,399.643278
-981.34717,1014,406.050807
-986.863313,508,409.532027
-985.037753,1081,416.299335
-986.616514,905,422.24829
-979.384547,522,425.564294
-983.795718,764,430.656578
-988.485105,495,433.961843
-984.782525,542,437.542995
-986.523802,1275,445.900493
-980.261299,745,451.069601
-989.402981,785,456.106554
-984.848667,1183,464.059448
-988.098499,657,479.385303
-982.523719,930,485.370905
-983.408441,904,491.510071
-978.058864,604,495.411382
-987.436576,647,499.985379
-981.560126,1233,507.843099
-987.387608,748,513.015356
-982.304758,1306,521.739715
-985.970357,974,528.034291
-988.767467,581,532.042591
-990.163836,1479,542.23551
-985.911281,634,552.679524
-986.660754,736,557.310043
-988.596309,602,561.304772
-990.320842,813,566.309314
-987.995366,634,570.731569
-989.170018,1388,579.807361
-985.155026,950,585.732157
-989.068522,732,590.680088
-985.356762,648,594.908952
-985.54909,1116,602.384756
-986.694135,874,608.539809
-989.714848,745,616.024857
-988.513483,1096,654.286922
-989.36194,647,658.870964
-990.260745,567,662.688509
-991.423526,1058,670.373224
-953.305598,1469,680.723586
-991.385958,760,685.972278
-977.745636,962,692.85192
-989.825699,1009,700.114358
-972.319232,971,706.832954
-974.753232,1465,717.233186
-990.017471,824,747.061403
-982.584394,1598,758.92117
-983.072425,742,763.907768
-991.735875,846,769.966712
-989.802692,733,774.866317
-993.144781,895,781.147074
-988.467939,925,787.586198
-992.31252,589,791.893763
-989.24037,1019,799.121092
-991.859244,1106,806.548511
-991.483397,1006,820.947464
-994.705365,861,826.703977
-992.434293,1291,835.717335
-983.340355,1121,844.735851
-992.614851,804,850.726123
-995.858054,606,854.979881
-995.704254,1158,863.012177
-967.539108,2028,877.304822
-994.850513,874,884.076939
-992.600405,724,889.547995
-992.68915,666,916.167234
-991.199994,693,921.492409
-989.416778,1305,931.002952
-993.124541,938,937.699432
-989.048794,708,943.102587
-988.40446,565,947.071419
-982.630648,1447,957.758998
-988.634243,419,960.965681
-993.372624,821,966.828706
-984.582809,1266,976.234002
-985.433305,857,982.606681
-992.684849,1868,1003.736189
-991.172893,1410,1014.010416
-995.978809,1155,1022.673093
-993.582838,1600,1034.241044
-990.74484,2038,1049.2209
-994.908612,995,1056.35222
-995.673243,893,1063.10139
-985.3274,624,1067.485029
-987.918212,620,1528.762068
-993.998276,647,1534.409661
-986.437936,1281,1545.099805
-988.373714,1468,1556.164196
-982.442547,960,1563.451818
-995.132701,935,1570.614098
-991.225427,812,1576.498382
-991.799228,1157,1585.339146
-992.911745,706,1591.239527
-993.889112,2162,1618.862642
-993.65415,1249,1630.106483
-992.69059,771,1635.826007
-995.629639,774,1641.956136
-992.710566,755,1648.039014
-992.287817,1309,1660.374692
-988.573986,1437,1673.233552
-980.815596,1798,1689.685282
-993.438064,782,1696.542168
-994.812668,989,1713.515981
-992.272466,1139,1724.048865
-986.679717,1015,1735.865346
-990.188676,996,1745.105193
-989.329139,1169,1755.278856
-979.524915,1019,1763.495708
-988.263301,1011,1772.546139
-994.653152,761,1779.433931
-993.513536,938,1787.54842
-995.810475,747,1794.57171
-992.271167,671,1800.843029
-994.157387,973,1816.090232
-993.204287,751,1823.085876
-991.630673,1021,1832.314504
-988.361126,956,1841.02715
-996.150835,956,1849.753078
-989.598693,1393,1862.501513
-993.010813,1445,1875.244124
-993.832716,624,1880.313189
-992.060898,681,1885.415415
-992.688763,1772,1943.569037
-993.295468,754,1950.711222
-988.782458,1132,1960.913147
-990.623002,1151,1971.233832
-976.202133,2151,1990.8213
-990.007045,602,1996.055176
-984.670289,1714,2011.152526
-993.733213,803,2017.348392
-993.3158,775,2024.574276
-992.359698,952,2040.715853
-994.8292,626,2046.181739
-988.588559,763,2053.20498
-991.370484,961,2061.987046
-995.105526,614,2067.320011
-994.569793,1104,2077.345126
-986.280699,310,2080.352182
-990.046617,1397,2093.139004
-989.646582,972,2102.052848
-987.666199,619,2107.825206
-987.161854,982,2116.656821
-971.514356,1138,2127.299908
-993.297646,933,2158.738019
-980.516764,832,2164.973842
-986.509869,1645,2177.838714
-987.884917,670,2183.143147
-973.905713,1071,2192.102551
-984.413193,1940,2207.200935
-983.668225,1349,2217.635219
181.412017,838,2224.469196
-979.112355,1069,2240.704375
-976.294337,1114,2249.450049
-985.443698,883,2256.251277
-985.152656,628,2261.342445
-989.889048,1216,2271.101221
-990.448713,805,2277.110033
-985.94308,546,2281.622346
-982.871346,1802,2295.636664
-992.079861,707,2301.379845
-984.466337,2623,2349.573453
-991.405571,838,2355.96986
-987.360929,1016,2363.96233
-976.648965,876,2371.141297
-981.140368,926,2378.220062
-981.396596,2445,2397.64043
-981.21981,1145,2407.039051
-987.581154,888,2414.300732
-989.124568,800,2420.834742
-980.184688,1216,2460.364277
-936.554175,1150,2469.645489
-974.07081,704,2475.092943
-989.987833,582,2479.863703
-974.513689,921,2487.004523
-988.541231,694,2492.700305
-972.315125,940,2500.513019
-983.535315,896,2507.397081
-982.447668,814,2513.952994
-983.853632,468,2517.687439
-991.563731,957,2525.737913
-991.554978,571,2530.514021
-989.21325,742,2568.083591
-988.349551,1029,2576.528145
-986.013107,787,2583.434362
