#{"t_start": 1774788720.770665, "env_id": "AstroExploration-v0"}
r,l,t
-998.148863,487,0.505675
-998.406781,541,0.742058
-998.314354,507,0.943069
-998.354966,569,1.163725
-998.108246,532,1.558108
-998.466312,517,1.866182
-998.488843,523,2.137629
-998.224132,512,2.334962
-997.973858,563,2.563248
-997.915932,523,3.511007
-998.419887,473,5.124526
-998.63795,1266,9.348108
-997.974513,498,11.019737
-998.332832,527,13.11895
-997.811958,511,14.933624
-998.180161,519,16.822566
-997.844249,521,18.833029
-998.2387,523,26.220055
-998.35137,559,28.715079
-997.512056,740,32.612384
-998.657726,516,35.339909
-998.635091,454,38.786384
-998.741403,608,42.841302
-998.013912,482,46.180799
-998.0171,560,48.893108
-998.337079,501,51.019069
-998.403341,501,54.087003
-998.45082,526,56.363919
-997.910312,552,59.05192
-998.075859,501,61.731195
-997.848905,542,64.47229
-998.074999,618,68.137102
-998.861011,919,73.536101
-998.377724,867,77.90591
-998.327578,567,117.477939
-998.184591,686,122.291306
-995.943446,610,126.303535
-997.422194,536,130.18294
-997.30913,757,135.357594
-997.665166,516,137.763349
-997.935915,513,140.00613
-998.059295,486,142.590179
-997.842462,566,145.302801
-998.006263,645,150.036512
-997.647094,825,158.949952
-997.897757,679,164.642152
-997.928811,645,169.608182
-997.855318,882,178.497622
-996.961504,497,188.071721
-997.574547,681,196.019974
-996.460678,611,230.731106
-996.53538,576,308.282404
-996.97418,1040,333.640669
-996.299215,559,341.103653
-997.18053,939,353.114885
-995.655012,515,359.431139
-994.771067,809,369.742926
-996.584958,679,379.452945
-995.419616,655,386.588449
-996.88292,715,390.595378
-995.792119,532,393.510515
-996.526237,564,396.001535
-995.66734,614,398.765547
-994.267476,649,401.878832
-996.195802,640,405.289566
-996.059391,862,438.637244
-997.491028,2241,455.082438
-995.539935,567,457.697585
-996.335542,634,460.829228
-995.937119,668,464.584659
-995.294935,692,468.534791
-995.604915,658,473.101677
-996.547142,1036,478.938543
-995.141692,986,485.686687
-996.015734,713,489.16327
-996.349387,587,492.228935
-996.266718,642,513.876412
-997.640173,1569,521.817069
-996.573403,996,527.74192
-997.473081,1189,535.85185
-995.450053,804,540.479229
-997.442951,1279,548.859454
-995.211451,501,551.62368
-996.324655,547,554.725981
-997.239533,881,559.971943
-996.764682,613,564.098968
-997.159838,677,568.092364
-995.482678,968,589.823324
-996.270913,1284,598.422291
-995.444604,786,603.512889
-995.78592,905,609.286371
-993.165698,877,616.765667
-996.328297,901,624.103184
-997.323596,767,629.347809
-996.284252,750,635.064542
-994.777027,941,642.11483
-997.439884,1683,656.773147
-997.380148,859,662.523957
-995.799058,819,683.522159
-987.741971,813,688.410125
-995.932085,689,692.418088
-996.04541,614,695.560559
-994.986613,589,698.590258
-994.9967,867,703.622905
-995.980041,735,708.26488
-996.651176,1211,715.995768
-995.62425,831,720.652541
-996.132619,1629,729.837036
-995.645197,831,734.82683
-993.315145,967,747.862343
-990.296729,904,753.048062
-995.441765,752,756.924159
-996.115984,1636,766.548018
-998.085377,1082,773.298656
-995.665221,891,778.731552
-995.067321,636,782.572274
-994.443547,619,785.905811
-995.762117,602,789.116936
-992.442359,754,793.536888
-995.472298,673,797.620944
-985.316052,1174,811.5907
-993.248244,1043,817.27317
-992.650505,1481,825.726247
-996.270906,585,829.320821
-996.002602,1384,838.337046
-991.411659,682,843.374979
-994.640749,653,847.033879
-994.469673,481,849.784079
-990.614008,1148,856.787455
-966.204502,930,862.95289
-990.018082,1099,869.608289
-988.403421,1285,884.191971
-992.27663,690,888.70088
-989.097215,982,895.107132
-991.018348,950,900.774475
-989.541608,1213,908.065037
-977.849538,618,911.933546
-993.879676,624,915.895641
-989.64858,615,920.094821
-984.536446,755,925.382343
-992.157886,700,929.78324
-990.4936,815,934.967878
-990.655629,694,938.85762
-994.6803,1431,955.460605
-991.152427,997,961.608248
-993.135014,615,965.718578
-995.190702,934,971.414753
-991.456354,998,980.287344
-995.3496,1038,995.211429
-995.804281,743,1006.513322
-989.692034,1159,1021.324925
-974.149974,854,1029.148893
-984.698604,762,1038.081487
-993.192694,1506,1060.735872
-995.122898,996,1067.986203
-996.604487,2174,1083.514753
-990.748034,871,1088.683124
-992.652425,703,1093.069875
-991.503297,940,1099.456307
-991.030311,1063,1106.897346
-962.461833,1781,1118.3154
-982.076356,1762,1169.742643
