#{"t_start": 1774760227.3152292, "env_id": "AstroExploration-v0"}
r,l,t
-998.864391,487,0.363457
-999.016483,541,0.595886
-997.810459,507,0.766993
-998.916592,569,0.94491
-996.046377,532,1.155009
-998.971754,517,1.372422
-998.666801,523,1.539523
-998.777765,512,1.719018
-998.140757,563,1.933711
-998.529469,527,2.709692
-998.974735,489,4.352626
-998.602411,559,5.986124
-998.612817,525,7.468459
-998.872032,492,8.839602
-997.896851,609,10.630847
-998.853369,531,12.503334
-998.965992,605,15.102865
-998.910643,482,16.874049
-998.70438,492,28.835954
-999.202667,516,30.887536
-999.14972,513,32.85368
-999.147013,607,35.520352
-999.297143,713,38.16698
-999.0354,496,40.022495
-998.946356,523,42.071114
-999.010052,502,44.303573
-997.780719,630,46.906514
-999.123934,539,49.160936
-999.280331,540,51.371216
-999.0054,593,53.989033
-999.064412,484,56.094417
-999.069598,533,58.298099
-998.904484,605,60.82434
-999.229157,619,63.454233
-998.245883,828,67.205224
-998.280281,603,69.70437
-998.958148,853,92.286588
-999.052822,496,94.661858
-999.028744,728,97.83023
-999.074592,594,100.315753
-999.651646,1276,106.196035
-999.108604,480,108.287502
-999.189654,651,111.104764
-999.216991,653,114.239353
-998.635549,549,116.874633
-998.721756,581,119.384267
-998.721183,539,121.70779
-999.210586,675,124.930727
-999.025833,512,127.190582
-998.839047,555,129.597286
-999.913797,1669,141.793409
-998.00353,641,144.834033
-999.220005,506,147.034969
-998.814515,520,149.374877
-999.008121,793,152.861568
-999.286603,975,157.527055
-998.817343,700,160.659163
-998.308939,676,163.663805
-999.398239,766,167.420258
-999.363553,691,170.509003
-998.904692,513,172.802295
-998.828837,593,176.069651
-996.63302,1187,181.368039
-999.121226,660,184.686138
-994.337388,723,207.847241
-999.311479,1374,214.154683
-999.319956,1722,222.054162
-998.786987,609,225.094434
-998.410439,1686,232.751593
-999.201983,648,235.99529
-998.72846,485,238.334979
-998.923907,799,242.081362
-999.036944,519,244.821182
-999.421139,1192,250.248626
-999.184605,842,264.11678
-999.08005,700,267.453936
-997.857584,1115,272.68627
-998.91616,698,276.235246
-999.220792,706,279.457568
-998.668219,1193,285.319873
-997.952848,863,289.422228
-995.024646,995,294.342865
-997.202206,1086,299.478806
-999.3625,740,302.922818
-999.303427,728,306.774668
-996.890907,1042,344.061129
-999.373139,1191,349.730875
-990.48139,1376,356.728552
-996.776333,692,360.035891
-999.028565,804,364.019329
-998.95576,855,368.231163
-997.31245,858,372.393843
-999.754848,1724,380.958539
-998.115161,765,384.872473
-993.932784,998,389.770974
-999.573992,913,423.488745
-999.308846,688,427.139199
-999.013914,707,430.557281
-997.350191,689,434.118731
-996.431654,643,437.352236
-996.669681,597,440.357604
-998.138341,1116,446.102835
-995.421029,688,449.427157
-998.865238,993,454.555036
-999.461008,1421,461.740788
-998.535137,916,466.479823
-997.006224,808,470.390349
-999.494654,1256,502.174655
-998.641059,550,505.189291
-998.170793,581,508.164346
-999.343601,1003,513.190636
-994.4909,1032,518.723239
-999.658308,865,523.173068
-999.232819,623,526.652584
-996.522475,855,531.129194
-998.086009,850,535.736806
-998.341391,1093,541.364238
-993.811562,853,546.04263
-998.258738,828,557.08473
-999.096098,785,560.992657
-994.044737,716,564.938643
-996.14552,779,568.84198
-994.759292,1879,578.640933
-999.00178,826,582.744161
-990.98376,709,586.63919
-999.632812,1389,593.961614
-997.139353,691,597.576951
-998.883171,456,599.845524
-995.81108,829,604.305664
-998.993753,965,630.177863
-996.851012,817,634.610104
-999.085154,874,639.071313
-998.77712,1145,645.320992
-998.91352,1025,650.62683
-999.325416,916,655.624478
-997.121353,1021,660.901379
-996.594259,844,665.609793
