#{"t_start": 1774771959.75371, "env_id": "AstroExploration-v0"}
r,l,t
-998.942482,487,0.44057
-999.082601,541,0.957654
-998.916494,507,1.552567
-998.976733,569,2.137462
-998.543399,532,2.647578
-999.025343,517,3.116537
-999.019698,523,3.620744
-998.836962,512,4.02133
-998.585135,563,4.486262
-998.588223,522,5.644372
-999.017325,512,7.44002
-998.960214,538,9.357412
-998.629022,526,11.238858
-998.950075,499,13.269237
-998.304224,578,15.490629
-998.934623,510,17.559584
-998.957648,534,19.776144
-998.827023,513,22.316168
-998.908704,537,34.445505
-999.259181,556,36.694648
-999.186698,628,39.206598
-998.949244,566,41.719208
-999.234988,470,43.811579
-999.085574,545,46.00271
-998.860245,508,48.090629
-999.049088,534,50.31492
-999.124602,565,53.185773
-998.964074,506,55.2967
-999.094557,499,57.393606
-998.976212,574,59.792719
-999.010037,503,62.390445
-998.66708,515,64.58162
-998.901964,512,66.730709
-999.144715,632,69.359602
-999.132602,777,73.093883
-998.21544,673,75.862748
-998.702582,533,87.971383
-998.751514,513,90.046806
-997.6238,988,94.623591
-998.946396,592,97.039571
-999.066937,649,99.720806
-999.133505,677,103.721785
-998.804146,530,105.953551
-998.695688,607,108.479403
-998.834307,539,110.758367
-998.521882,524,113.44481
-998.645655,520,115.623753
-998.455705,530,117.837508
-998.73799,539,120.059644
-998.64708,491,122.612714
-998.730111,644,125.398447
-998.55369,547,127.697771
-998.423829,528,129.928326
-998.971991,587,140.779707
-999.155692,715,144.207112
-998.562686,541,146.479765
-998.981002,517,148.642038
-999.036211,552,150.926924
-998.726612,557,153.74677
-998.202462,600,156.244792
-998.677991,484,158.26577
-998.522795,551,160.58736
-998.726887,492,163.155342
-998.468942,618,165.757817
-999.152913,676,168.579607
-998.236599,545,170.892578
-998.834162,554,173.752741
-998.544421,607,176.305464
-998.768703,524,178.49701
-998.866441,1011,183.244096
-998.432321,546,193.409469
-998.625429,744,196.562891
-999.223073,870,200.267148
-999.140965,798,204.208319
-999.326543,864,207.888501
-999.221983,719,211.055726
-998.865783,870,3296.856091
-998.765474,641,3299.474094
-998.543983,484,3301.680314
-998.956134,514,3303.766923
-999.613626,1343,3309.273434
-998.703597,1253,3314.554884
-998.809731,785,3326.926992
-998.524894,832,3330.297915
-995.81352,604,3332.970899
-998.922431,606,3335.551973
-998.274024,618,3338.154356
-999.140761,844,3341.842802
-998.498934,890,3345.637387
-998.33049,579,3348.080315
-998.985751,861,3351.865598
-999.110611,760,3355.071578
-999.661924,1212,3360.2202
-998.999381,545,3362.684963
-998.946758,689,3365.60694
-999.352933,837,3369.177438
-998.97373,504,3381.504398
-998.989468,685,3384.585306
-998.895746,684,3387.491467
-999.447888,1384,3394.011724
-989.525533,746,3397.239305
-998.592234,539,3400.027227
-999.084151,1170,3405.567736
-998.851427,846,3409.209612
-998.712823,652,3412.485954
-997.766426,581,3415.00689
