#{"t_start": 1774783593.419638, "env_id": "AstroExploration-v0"}
r,l,t
-999.33468,487,0.742503
-998.800391,541,1.256545
-999.160368,507,1.496103
-999.242908,569,1.744612
-998.425154,532,1.977843
-999.260675,517,2.168565
-999.16848,523,2.367992
-999.103922,512,2.543909
-998.723054,563,2.757697
-998.86471,538,3.755335
-999.187765,494,5.451939
-998.957159,517,7.222669
-996.210102,523,9.145127
-999.348946,515,11.107618
-997.486719,569,12.839833
-999.399795,569,14.628724
-999.18333,559,16.413183
-999.162905,529,18.052147
-999.372081,528,29.495678
-997.868472,562,31.755071
-999.27195,604,34.05571
-999.326636,506,35.965808
-999.307625,593,38.227981
-998.279152,720,40.969359
-999.17023,567,42.856855
-998.84824,562,44.721606
-999.18946,522,46.470842
-999.256147,475,48.035351
-999.199763,666,50.646739
-997.738128,583,52.753301
-998.364099,534,55.095375
-999.274802,552,57.787704
-997.677763,586,61.03398
-999.303791,533,63.270262
-998.630715,557,65.454499
-999.060313,553,67.736228
-998.955351,523,94.866468
-999.055627,521,96.933673
-999.010456,502,99.012504
-998.618627,542,101.526228
-999.087524,616,103.65932
-998.811822,456,105.282155
-998.825403,537,107.175925
-999.105548,749,110.239373
-999.342566,757,113.441737
-999.059312,722,116.634404
-999.241023,722,120.036726
-998.707601,655,122.802125
-999.734805,1055,127.836317
-997.521126,601,130.67092
-998.345973,629,132.954572
-999.175821,793,141.409439
-998.330976,562,143.851718
-998.361248,509,146.396165
-999.85271,1775,155.174873
-997.359811,710,158.263156
-998.834676,496,160.521885
-998.219793,513,162.420412
-998.62987,621,164.76739
-998.861505,688,167.484651
-997.751587,701,170.555383
-999.041751,823,174.138104
-998.545568,635,177.1032
-998.803176,569,180.056638
-998.899514,1213,185.739491
-998.846188,986,196.561863
-998.553024,821,200.029676
-998.140229,699,202.89476
-998.626689,904,207.664
-998.082981,788,212.776273
-998.883309,719,215.962177
-998.662493,805,219.544043
-998.203939,544,221.83722
-998.750336,532,223.89673
-998.913625,865,227.27522
-997.66335,830,230.848835
-998.735097,672,233.780204
-998.868123,842,237.771542
-997.791423,849,251.474036
-998.942614,903,254.985679
-998.096451,798,258.167292
-998.677447,551,260.748537
-998.941941,628,263.444138
-998.926855,879,267.721801
-998.792582,597,270.919484
-999.005536,652,273.894426
-994.416604,620,277.00483
-998.296623,601,280.113446
-999.219758,703,283.012786
-998.635626,800,286.197174
-999.418122,872,290.086477
-998.50359,839,305.650634
-991.984123,1051,310.48747
-999.497554,911,314.277115
-998.599973,502,316.303297
-998.913703,582,318.668971
-999.406799,1187,324.314677
-999.852663,1174,330.533244
-996.825418,1159,336.167853
-998.89794,1121,341.402194
-997.318151,752,344.539029
-998.90793,645,347.281023
-997.954348,696,367.674909
-998.206568,481,370.170804
-998.263323,783,373.524457
-998.763106,648,376.248666
-998.077974,521,378.451923
-996.731546,789,382.153312
-999.015436,1256,388.985535
-998.257956,860,393.510994
-997.740054,89,393.964833
-998.965052,676,397.378747
-994.568214,1100,402.575
-996.235878,771,405.967978
-997.913952,775,409.590422
-998.965059,824,413.381254
-999.187931,1476,429.814322
-994.804689,694,432.889068
-996.52777,1210,438.165454
-998.388821,834,442.185792
-994.421942,796,446.73177
-998.952995,710,450.721017
-997.794279,1172,458.164505
-999.253762,1501,467.787885
-998.866485,936,473.070118
-998.666826,1180,486.053104
-997.184902,1247,493.708353
-998.987302,1299,501.55303
-996.154588,851,507.948176
-998.687294,966,514.3269
-996.305407,1262,523.129698
-999.007026,813,527.665746
-984.499932,1205,536.002655
-993.020562,728,540.83036
-996.585067,659,545.948689
-998.480485,1884,561.464822
-999.554267,550,564.533171
-999.301065,692,569.027517
-990.351231,1200,575.598509
-998.153471,983,580.861084
-997.657379,994,585.466706
-996.110885,598,588.204351
-999.539736,558,591.130048
-999.204924,1561,600.373379
-991.006166,821,604.68989
-990.520436,976,609.87886
-998.453489,511,626.23908
-998.374057,919,631.68874
-998.578165,568,634.913544
-998.292928,1548,642.971262
-998.914401,2237,654.213727
-998.220416,1037,660.549851
-974.288693,1125,666.550227
-999.000382,605,669.939595
