#{"t_start": 1774768984.4436972, "env_id": "AstroExploration-v0"}
r,l,t
-998.943286,487,0.418306
-999.083281,541,0.655418
-998.462265,507,0.832705
-998.97736,569,1.016585
-996.582311,532,1.200415
-999.023579,517,1.368316
-997.624077,523,1.547646
-998.837561,512,1.713729
-997.606406,563,1.919379
-998.600916,534,2.736422
-999.111339,529,4.251773
-999.077117,551,5.816362
-999.189493,958,8.871328
-997.871818,594,10.537187
-996.549165,548,12.071321
-998.76031,526,13.536517
-998.383598,542,15.189168
-996.772649,607,28.037732
-999.250792,493,29.48734
-999.357994,755,31.662968
-997.362651,534,33.318596
-999.288148,491,34.748357
-999.262359,622,36.549783
-999.276498,558,38.663214
-999.008802,581,40.412456
-999.030454,524,41.93349
-998.972038,531,43.478169
-999.050814,541,45.061333
-998.876771,742,47.577284
-998.768024,513,49.244288
-999.236227,775,51.533046
-998.798843,569,53.216455
-998.401465,819,55.645047
-998.691689,517,57.449749
-999.168413,654,65.903893
-999.341367,628,68.078551
-999.131925,507,69.618771
-999.337844,593,71.337671
-999.102823,539,72.93722
-998.632222,555,74.58667
-999.708946,1473,79.365436
-998.968211,659,81.324481
-999.417016,805,83.787416
-998.919101,543,85.420707
-999.030586,535,87.292209
-999.121727,621,89.225512
-998.88775,500,90.757903
-999.144902,788,93.083552
-998.526169,789,95.504635
-999.721956,1372,110.112411
-999.105617,581,111.856743
-998.010347,615,113.72981
-999.27779,598,115.583457
-999.026845,838,118.583273
-998.285256,744,120.842262
-998.899863,605,122.702193
-998.655434,1084,126.053768
-992.331844,865,129.264958
-998.81852,585,131.158224
-999.301869,1090,134.457398
-999.164308,756,137.153118
-998.212548,734,146.388977
-998.949453,864,149.384051
-1000.411525,2318,156.698256
-998.359683,1194,160.689233
-998.566778,672,162.742881
-996.799292,676,164.798911
-999.149191,718,167.265905
-998.819389,588,169.227203
-997.560659,797,171.831294
-999.218116,675,174.005173
-999.154049,503,175.625535
-996.190789,540,177.656653
-998.813103,571,186.270013
-999.074912,1343,190.864942
-999.459955,680,192.960372
-999.149949,565,194.750353
-999.35026,796,197.511788
-992.552635,1571,202.594187
-983.275661,1138,206.20776
-998.633781,1181,210.330557
-998.669972,819,213.006022
-998.077699,936,216.004715
-998.430519,617,225.633346
-999.026451,863,228.765149
-998.998299,677,230.948071
-998.239861,656,233.059101
-997.358521,679,235.263569
-999.197983,1089,239.302325
-998.470057,1202,243.198773
-998.128961,817,245.850435
-980.051568,719,248.532639
-998.485147,867,251.393218
-982.439046,751,253.879424
-998.847479,785,256.462517
-998.349147,541,259.089794
-998.392171,563,269.307116
-998.835999,972,277.16773
-996.533474,609,280.223912
-998.794771,501,282.409626
-999.018203,811,286.263175
-998.842224,779,291.422447
-998.910843,644,294.019095
-995.691934,794,297.65818
-993.52681,898,301.296679
-998.682425,775,304.440073
-999.866742,1602,311.457345
-998.306879,808,314.728882
-997.923436,503,322.438657
-997.073286,847,325.893498
-998.865788,980,330.374348
-998.845446,763,333.65216
-997.929867,679,337.078422
-998.075874,708,340.222658
-998.872925,1161,344.981258
-995.87366,1711,352.544866
-998.531757,643,355.218766
-981.816221,728,358.819063
-998.330536,677,361.648364
-999.652104,1342,375.508762
-987.57205,1152,380.808641
-985.766511,1341,386.343847
-998.549593,812,390.203624
-998.769989,866,393.785735
-996.034093,698,396.914159
-998.348141,1429,403.234693
-983.723188,1556,410.339293
-996.519403,738,413.43585
-994.165843,962,418.013138
-997.966267,745,428.786591
-988.543229,990,433.042423
-999.447251,1069,438.148225
-997.570041,1558,444.858038
-993.268131,713,448.235184
-996.017483,929,452.371398
-998.339864,650,455.201931
-999.038857,794,459.114952
-997.839279,790,462.521948
-996.356281,1141,467.954731
-998.957089,849,480.032158
-990.973362,700,483.079134
-995.195602,1445,491.306242
-995.253795,1805,499.955029
-998.953018,868,503.837242
-999.419892,1379,510.497319
-998.9346,905,514.572897
-990.372985,827,518.783922
-998.3991,591,521.439169
-999.000197,880,525.4539
-998.921404,1011,539.686528
-998.32345,821,543.41016
-997.169622,727,546.875851
-998.35433,680,550.309648
-1000.106263,1581,557.995269
-995.796736,751,561.435884
-997.019121,728,564.966285
-996.623534,1459,572.225899
-994.610131,789,575.95036
-997.141902,991,581.029032
-993.860711,791,584.646832
-997.300973,1576,600.067098
-998.536662,762,603.53899
-994.407013,922,608.288446
-990.486512,1180,613.723025
-994.932639,1121,619.791588
-998.175153,481,622.013889
-995.941829,1149,627.81706
-991.7464,900,632.092587
-999.300063,975,636.77698
-998.623223,779,640.799163
-991.642657,587,654.504291
-993.02666,713,658.317566
-998.847203,573,661.012458
-997.547235,958,665.454135
-998.368098,791,669.673943
-993.377392,1232,675.417315
-999.201652,829,679.809622
-999.50437,1077,684.886256
-998.942249,797,689.342183
-987.67166,2075,699.323215
-997.93146,1173,714.838372
-987.122087,1015,719.982639
-998.316828,1054,724.925392
-992.851,957,729.883693
-989.207477,1250,735.731859
-993.956987,765,739.795774
-990.75076,856,743.818357
-991.657144,943,748.705098
-997.638265,1332,754.967469
-998.495112,645,758.508185
-993.234327,1485,774.101078
-998.726139,676,777.703045
-994.388967,931,782.113297
-999.50761,1269,788.647185
-997.058732,666,791.776636
-994.770192,1891,801.192098
-993.842149,1042,806.09629
-997.339855,901,810.82149
-994.950828,1861,820.088908
-992.576559,988,831.941709
-998.215926,2152,842.493161
-997.147392,579,845.233428
-992.435035,1135,851.714976
-997.563788,718,855.56507
-997.114057,1244,861.848114
-991.11765,1789,870.719864
