#{"t_start": 1774795083.3330154, "env_id": "AstroExploration-v0"}
r,l,t
-982.558174,487,0.7271
-986.436778,541,1.227088
-989.036934,507,1.616396
-989.290225,569,2.030923
-991.0904,532,2.396314
-990.398677,517,2.698009
-990.313187,523,3.027038
-990.015082,512,3.365751
-988.584105,563,3.749657
-988.29502,519,4.98739
-987.555611,505,7.422224
-985.243341,529,10.296534
-982.194104,557,13.594618
-986.23618,503,16.314974
-984.614782,556,19.727796
-988.985773,545,22.295849
-984.293075,557,25.128504
-986.780131,617,29.955579
-986.670417,532,45.549995
-980.083261,494,51.690612
-976.804876,699,56.279053
-983.073216,500,60.329463
-980.671182,529,63.435445
-984.038013,533,67.59566
-987.226413,1207,78.690042
-982.161685,516,82.438755
-980.123869,537,85.119367
-986.264318,809,89.652223
-982.323344,662,93.210531
-979.600927,568,96.124655
-985.136927,623,99.648882
-985.624938,551,102.60791
-984.82263,677,106.092494
-987.2977,519,109.238637
-981.643387,576,123.637715
-991.518788,497,126.386312
-991.2929,497,129.306601
-983.741549,737,133.277027
-991.671751,471,135.718106
-989.968238,488,138.240083
-982.876224,655,142.114232
-984.144811,647,145.621563
-991.353422,790,150.080198
-990.064087,529,152.807162
-988.157833,524,155.562459
-992.122916,794,160.164632
-990.673794,513,163.013351
-987.253932,615,166.20674
-992.761056,535,169.506291
-990.528797,525,172.557771
-990.768171,550,175.418453
-993.027575,521,187.439441
-993.654517,509,190.525591
-989.729334,467,193.041821
-989.114182,481,195.672455
-986.023258,534,199.174575
-989.441919,831,203.929584
-990.573073,487,206.616494
-990.513428,503,209.721975
-987.651431,595,212.714908
-992.499647,801,217.118439
-992.440483,539,220.512239
-987.098244,602,223.854809
-986.146787,556,227.34667
-985.89536,1060,234.185877
-984.02646,1207,241.950849
-993.459166,626,245.682407
-992.732541,653,261.596094
-983.928863,1005,266.806333
-993.770089,811,271.677085
-989.364675,678,275.130418
-989.038176,568,278.062124
-987.989055,691,282.038908
-986.116067,551,284.90978
-992.493009,755,290.098617
-986.02,827,295.141868
-988.680115,1691,304.991637
-989.121939,697,308.709064
-992.127875,570,312.200881
-994.170071,656,329.678875
-993.860543,653,333.641404
-992.518807,760,337.859442
