#{"t_start": 1774755924.179576, "env_id": "AstroExploration-v0"}
r,l,t
-984.557914,487,0.475144
-987.677149,541,0.703929
-990.273659,507,0.895518
-990.179528,569,1.096545
-991.858097,532,1.286044
-991.306678,517,1.453038
-991.408292,523,1.622457
-990.91332,512,1.787746
-989.719674,563,1.982177
-989.500726,525,2.738366
-988.144125,501,4.123612
-987.55386,541,5.516304
-983.868405,640,7.350205
-982.921833,510,8.611127
-986.426929,567,9.926829
-985.636761,520,11.190782
-984.400272,532,12.534599
-987.350749,524,13.835093
-989.308157,542,26.836099
-990.202373,497,28.658247
-986.487122,573,30.369374
-986.065123,703,32.626394
-988.194696,482,34.080622
-983.015808,549,35.628148
-981.034225,489,37.10641
-985.54807,503,38.718736
-986.175622,1554,42.757569
-982.081467,502,44.078405
-988.493777,1166,47.618615
-983.605486,512,49.037808
-984.960406,571,50.670254
-982.885587,622,52.613028
-987.131493,562,54.429462
-987.168985,909,66.52393
-983.06692,591,68.474892
-986.298253,527,69.939047
-988.55676,623,71.660596
-985.435935,934,74.345881
-982.298191,564,75.90547
-988.972532,546,77.716206
-985.839325,1386,81.994812
-990.207469,736,84.460183
-982.988804,494,86.098567
-988.859308,921,89.636583
-982.936778,696,91.998594
-985.894332,615,94.078916
-987.277123,591,95.923363
-980.075892,763,117.843846
-984.044961,535,119.738146
-987.625067,979,123.106538
-979.894967,516,125.079001
-987.378952,607,127.158163
-986.830135,729,129.503242
-987.764471,614,131.334667
-985.564841,1036,134.484152
-983.03293,697,136.554964
170.993522,729,139.072917
-984.799581,682,141.447844
-984.20065,1831,148.22194
-983.191895,956,156.282158
-980.541361,680,158.822897
-980.622013,871,161.46245
-986.039818,1511,166.085671
-979.620021,659,168.451244
-979.914118,689,170.655843
-987.621988,661,173.055682
-987.186072,595,175.33866
-988.736114,1031,179.422224
-984.881352,711,182.051192
-988.54762,914,185.346129
-988.957765,724,187.876925
-982.86596,503,189.481863
-989.042475,586,199.644877
-986.833554,465,201.999804
-986.160638,521,204.24233
-988.206553,1366,210.248923
-981.70195,975,214.309975
-985.788872,715,216.855052
-982.832816,624,219.15736
-975.46629,845,221.850187
-988.066601,1429,226.56826
-981.787232,587,228.732304
-988.357299,699,231.099731
-983.204369,696,233.740116
-973.577388,869,259.292912
-967.6601,855,262.378621
-985.546959,744,265.185213
-983.353633,916,268.97498
-982.856511,1098,273.10718
-980.203607,750,275.806288
-988.524727,676,278.482549
-989.231349,560,280.323583
-983.908429,680,282.587813
-980.671184,936,285.659528
-984.431038,623,288.044083
-988.032697,1642,294.014815
-982.745784,1033,307.105542
-987.648256,1177,311.172398
-985.303179,628,313.2392
-983.541175,716,315.574725
-981.793753,1007,319.263193
-985.56077,1210,323.754812
-989.275807,839,327.201021
-988.792583,1168,331.921038
-956.435707,1278,336.648136
-984.135529,1162,340.787401
-985.222974,953,359.613748
-973.855684,716,362.309247
-989.804742,745,365.250941
-990.978555,661,367.703909
-989.826322,599,369.718331
-989.973068,1252,373.773399
-991.41171,664,376.011865
-995.380877,1233,380.545445
-985.255302,804,383.576355
-989.697104,872,387.107936
-993.800234,640,389.744554
-994.035406,706,392.487156
-980.213861,1312,403.785569
-986.729553,974,407.271132
-983.204198,1175,411.483225
-982.22318,1316,416.733363
-990.654086,662,419.673008
-994.561568,583,421.927061
-983.97664,1007,425.809119
-994.118685,1520,431.327712
-994.136649,842,434.120204
-982.246966,964,476.693298
-994.084061,1038,481.262033
-993.610213,1811,488.192364
-986.050309,871,491.113189
-986.064694,1117,494.895655
-994.940263,1414,500.249855
-994.576752,1001,504.582155
-993.524041,814,508.193265
-994.249318,525,510.290823
-982.344125,1173,515.226871
-979.040828,1179,534.393882
-988.069614,760,537.825972
-968.3601,903,541.586457
-992.820281,718,544.66322
-987.095582,935,548.208188
-977.298175,1010,551.938261
-988.879994,858,554.903192
-992.463578,1850,562.056504
-993.628944,573,564.377052
-992.655426,820,568.00734
-993.074603,622,623.549032
-994.668506,939,627.17828
-977.794409,1085,631.463959
-977.907801,802,634.474881
-976.139173,941,638.508868
-985.0193,572,640.943352
-964.935548,1072,645.406384
-993.747817,1595,652.57353
-979.954061,1206,657.941661
-985.948144,1017,662.43623
-992.886982,1893,675.629973
-993.494556,633,678.622644
-986.262998,1071,683.071506
-989.277256,1101,687.851114
-990.79396,661,690.50077
-967.001073,1375,696.042614
-967.480309,1158,701.07916
-990.127509,1281,705.546746
-993.888907,959,709.195604
-992.356937,858,717.465632
-984.583702,926,720.859728
-990.06525,755,723.538462
-991.874755,885,726.631261
-973.133956,280,727.935243
-988.756426,752,730.630592
-988.69302,1127,734.702306
-993.438674,74,734.959694
-981.674926,1003,738.811656
-986.028215,1042,742.437001
-969.703905,1295,747.223615
-983.474449,829,750.365056
-970.029275,621,752.563594
-981.399191,579,768.714643
-976.911788,1156,772.811679
-980.377763,939,776.12266
-984.160616,1201,780.698241
-984.018774,1018,784.295068
-984.154975,756,787.271921
-980.393164,1353,792.143658
-985.547466,837,795.084301
-962.59695,1303,800.025236
-979.644877,728,802.674953
-634.88486,1305,824.505503
-981.630339,685,827.14387
-985.742205,951,830.741137
-981.901123,681,833.130879
-985.166711,871,836.166225
-984.634363,1492,841.721736
-977.937444,993,845.218155
-981.495931,1072,849.716653
-982.674753,1441,854.823132
-986.85816,1319,866.749577
-991.490535,1060,870.791214
-983.106157,1244,875.214333
-989.661857,1270,880.551243
-981.237765,1311,885.187982
-980.188107,1284,890.023815
-980.314664,710,892.560644
-972.984905,1553,898.45783
-985.216948,727,901.025352
-978.931264,1100,916.118378
-989.939699,775,919.256577
-982.582389,744,921.881475
-971.053324,1104,925.780835
-989.253783,1093,929.972629
-972.095975,979,933.544688
-980.386187,944,937.076797
-970.351699,731,939.798923
-987.711682,771,942.536657
-992.81743,468,944.233267
-988.304209,756,947.245207
-995.678393,1943,960.248428
-971.120095,1118,964.230833
-989.628571,573,966.425733
-992.403587,822,969.669144
-996.336819,1272,974.132999
-991.004317,883,977.540577
-989.06424,1728,983.898197
-980.718527,1137,988.257717
-995.864038,810,991.15796
-967.184702,1401,999.781754
-989.962131,1339,1004.633967
-992.401519,1349,1009.816688
-991.919824,861,1012.920199
-989.05336,1067,1016.81621
-989.93319,1452,1022.36203
-977.462728,1075,1026.224617
-979.78301,1191,1030.813296
-990.09853,750,1033.597257
-978.24411,993,1042.451534
-981.061194,776,1045.205678
-984.37383,774,1048.411858
-991.664664,895,1051.653127
-990.101671,919,1054.955645
-980.083084,754,1057.952163
-989.546215,977,1061.935799
-988.362242,690,1064.533059
-980.676701,861,1068.179072
-958.286082,998,1071.800533
-982.91496,1295,1076.446913
-981.135566,2314,1099.469429
-975.708627,1155,1103.760165
-983.032582,817,1106.800105
-982.608267,598,1109.342219
-984.355977,867,1112.4831
-982.661583,1072,1116.500852
-990.85018,1381,1121.891533
-993.355738,856,1125.021021
-993.801763,1407,1135.302306
-986.341815,1078,1139.5694
-981.113247,1094,1143.567916
-995.300926,432,1145.131273
-985.110086,936,1148.825124
-996.367942,1453,1154.290048
-993.455128,1192,1159.029834
-990.281263,647,1161.41349
-992.898033,884,1164.644456
-979.994443,959,1168.799236
-993.588203,889,1172.121734
-981.867216,1195,1205.424518
-990.771145,936,1209.222936
-994.691415,736,1211.951233
-982.007513,929,1215.384404
-975.251651,1222,1220.388304
-993.466204,466,1222.108308
-986.704737,711,1224.774959
-992.114878,689,1227.598782
-989.115336,917,1231.044087
