#{"t_start": 1774779157.0454493, "env_id": "AstroExploration-v0"}
r,l,t
-998.487172,487,0.374093
-998.695161,541,0.577599
-998.573539,507,0.759047
-998.621005,569,0.942671
-998.315268,532,1.131481
-998.706357,517,1.298636
-998.720153,523,1.46502
-998.486267,512,1.631468
-998.243927,563,1.833607
-998.219263,536,2.639171
-998.7244,528,4.334281
-998.623305,519,5.895571
-998.101085,591,7.572142
-998.389925,508,8.974936
-998.523971,666,10.825623
-998.195936,586,12.724549
-998.631442,517,14.596499
-998.352793,466,16.079833
-998.627599,526,26.017073
-998.200988,501,27.55355
-998.538945,731,29.928031
-998.701757,623,31.815249
-998.188594,560,33.507757
-998.239826,567,35.527909
-998.213841,546,37.266203
-998.071704,497,38.795245
-998.324676,525,40.409387
-998.099528,507,42.010552
-999.014598,1064,45.938855
-998.433992,543,47.774259
-998.510559,565,49.674577
-997.895668,525,51.400628
-998.719075,890,54.691451
-997.892881,623,56.867047
-997.947987,542,71.035242
-998.173808,784,73.611517
-998.296754,527,75.695853
-997.715332,579,77.73407
-998.168825,925,80.843693
-998.43884,550,82.686044
-998.412279,504,84.682985
-998.64535,510,86.503121
-998.441014,495,88.206139
-998.555401,730,90.679811
-997.843552,588,92.709936
-998.191001,569,95.011845
-998.253623,567,97.071817
-997.060729,691,99.466857
-997.489687,580,101.48076
-998.413424,609,103.575014
-997.660194,769,106.569623
-997.190067,577,112.77547
-997.135185,507,114.962688
-997.773439,731,117.513366
-998.086712,688,119.90586
-997.846419,649,122.169768
-997.850937,676,124.815747
-997.616693,508,126.710161
-997.135999,565,128.702598
-996.621785,696,131.308047
-997.184602,572,133.343584
-997.908129,581,135.738723
-997.725709,983,139.230958
-997.906814,737,141.821815
-996.639531,556,143.839652
-997.8148,703,146.694291
-997.585306,547,158.238537
-997.943881,777,161.025048
-998.438045,577,163.173658
-997.817605,751,166.324969
-997.405445,644,168.655263
-998.475034,798,171.505575
-997.793149,1004,175.544813
