#{"t_start": 1774747743.7785292, "env_id": "AstroExploration-v0"}
r,l,t
-994.229549,495,23.917182
-994.349063,490,26.887374
-994.837912,541,31.036355
-995.734084,522,34.448
-994.27403,486,46.066941
-995.991313,529,49.68099
-995.063369,571,53.188019
-996.116138,538,65.631919
-994.849675,588,69.551251
-995.205051,555,72.982974
-995.575009,532,76.327512
-993.98317,498,86.684044
-995.086143,639,91.449458
-995.614872,527,95.557463
-994.357384,592,99.451195
-994.774066,1319,114.657274
-993.917546,602,146.275965
-995.969229,556,157.987327
-996.44471,709,162.953749
-995.214707,487,166.318403
-996.711499,739,180.374082
-996.106603,600,184.863037
-994.877352,574,190.238764
-995.177934,489,194.279403
-995.218762,618,207.96765
-995.212071,584,212.58706
-994.992751,550,217.740104
-995.690144,753,231.997524
-995.982832,533,235.557603
-994.977158,556,240.046436
-999.949865,1,240.056916
-996.052157,520,244.2747
-996.266904,726,259.99258
-994.230081,558,263.965074
-991.934627,572,295.329476
-993.977522,858,312.760914
-992.704669,890,319.583804
-992.643679,649,334.012743
-995.485847,655,339.523033
-995.016481,1029,348.866224
-994.187984,614,365.80478
-992.545911,774,372.126182
-995.568377,1080,390.608235
-995.345261,641,395.40347
-994.350731,494,399.449696
-993.383596,553,403.477521
-992.68521,618,416.763501
-991.586717,685,422.727855
-989.494918,745,444.873027
-983.314241,694,462.725235
-988.392419,802,469.268207
-988.949239,1383,491.143092
-987.545747,544,495.445747
-991.324442,799,502.110983
-991.990843,693,519.219597
-988.250225,617,524.071745
-992.285172,922,538.984523
-992.486356,717,544.444821
-989.828478,845,550.351613
-990.150623,915,565.289101
-990.082056,1039,584.383154
-987.708962,652,597.700871
-990.537138,1210,608.840806
-988.531879,505,614.184172
-991.924234,1017,631.910708
-988.150926,513,636.158209
-989.080889,590,641.375605
-987.554995,759,656.876267
-990.737072,1207,665.886513
-985.523794,1071,681.592129
-987.330697,885,686.376543
-988.558519,666,700.46589
-985.964369,592,728.204334
-991.089495,847,732.279105
-986.961609,1247,745.532824
-990.40782,783,750.189282
-993.781636,877,761.416775
-992.283846,1050,766.739927
-994.249713,2404,784.631645
-991.592465,1031,820.847413
-993.240366,1748,855.78497
-991.262782,1693,873.307045
-988.214806,891,878.485734
-991.291834,1012,890.667587
-989.67404,1245,898.145866
-990.835861,773,909.225271
-991.510821,1071,916.243921
-992.926827,1578,931.575214
-992.459585,814,936.543919
-989.994168,1181,964.81814
-991.232702,974,971.378056
-988.080124,894,985.101006
-989.505535,907,992.362468
-984.176436,769,1006.752331
-988.865508,1127,1014.135156
-991.350964,814,1027.126434
-992.697368,966,1033.747293
-991.823364,616,1038.397943
-989.508441,1151,1057.008011
-988.008321,544,1061.273463
-989.572924,860,1076.860248
-986.470132,1016,1113.399003
-991.971601,1044,1131.58553
-993.417786,2647,1179.507581
-986.783475,860,1187.848055
-990.483508,1093,1203.876692
-989.894728,1161,1212.378091
-990.235021,751,1226.254305
-990.261315,1200,1234.788358
-986.878002,575,1287.888035
-992.980547,512,1291.481052
-993.28235,784,1296.898962
-994.646913,839,1311.941326
-993.557068,1671,1323.731068
-994.864365,796,1338.346982
-995.808795,1020,1345.194067
-994.535421,1419,1364.225449
-995.43605,582,1368.624973
-995.198276,1365,1386.630799
-993.460327,1015,1416.057706
-994.009477,665,1429.669592
-995.901323,1396,1439.526598
-994.816857,2327,1473.858536
-993.987577,906,1480.364697
-993.207106,805,1485.826015
-992.088299,707,1499.058877
-995.730585,683,1503.732971
-996.428601,1801,1525.297453
-995.486654,581,1561.441263
-994.467603,714,1574.586706
-995.75742,597,1578.850166
-993.049238,806,1584.176074
-995.125578,771,1598.171288
-995.998146,692,1602.74601
-995.043592,665,1607.129693
-993.903814,668,1620.527463
-993.396472,1192,1629.130441
-995.577779,700,1653.766051
-990.779854,929,1665.330514
-993.289833,719,1670.740579
-994.151552,765,1684.957313
-994.429666,672,1732.150913
-994.341557,589,1736.32122
-994.048051,751,1749.912677
-992.845,777,1755.038426
-991.087436,642,1759.472258
-993.893169,779,1774.027204
-994.732475,654,1778.9347
-994.074807,680,1783.553686
-993.682693,557,1796.245573
-994.250216,694,1801.265862
-993.052696,588,1805.408978
-994.696753,619,1818.743003
-994.339773,589,1822.786322
-993.478174,904,1829.151442
-995.54842,1485,1880.492944
-994.503805,860,1895.245871
-992.954539,779,1900.917146
-993.03918,896,1907.61164
-994.087929,583,1920.209355
-993.623086,782,1925.479241
-994.504036,1084,1941.974336
-993.628807,567,1945.87339
-993.254541,608,1950.385705
-994.789357,544,1954.214077
-994.459011,871,1969.579413
-994.244191,963,1976.342221
-992.37832,586,1989.814501
-991.645043,713,2043.901125
-987.672787,692,2048.912155
-990.042116,613,2062.067686
-989.763166,1058,2069.471272
-990.43404,875,2084.407509
-991.38147,736,2089.738262
-988.104903,621,2093.737352
-985.39843,768,2106.6193
-983.020859,785,2112.057704
-987.284458,537,2115.525799
-984.452168,1136,2131.206726
-985.236116,1107,2138.858338
-984.533808,1411,2207.117298
-990.947473,676,2211.946105
-990.599729,653,2224.4766
-989.224013,727,2229.786313
-989.35257,617,2233.861508
-988.350308,671,2246.615582
-989.722603,721,2251.596051
-989.091594,983,2258.280526
-991.213898,784,2271.843933
-989.120187,843,2277.567542
-991.842565,615,2290.045569
-989.455904,827,2295.559978
-991.404434,1201,2312.052804
-991.484232,769,2372.608315
-992.763263,733,2377.934919
-994.510197,1426,2398.353832
-993.155461,761,2403.636796
-992.948899,871,2420.019172
-991.362926,741,2425.146725
-992.767105,1048,2442.748677
-993.18514,586,2446.929723
-992.320202,787,2452.636728
-990.773669,956,2468.893799
-991.072542,791,2474.344413
-991.960696,544,2478.413466
-992.749517,652,2522.894731
-993.73723,567,2526.970507
-991.771335,548,2531.055691
-993.525343,579,2545.047299
