episode,reward,episode_length
1,-995.3468078828411,522
2,-994.2273359205582,609
3,-994.4707953560559,583
4,-993.3119463401135,544
5,-992.9678812919149,490
6,-995.0036384659512,567
7,-992.3411890887279,505
8,-994.1461493676808,576
9,-993.7701164361126,768
10,-994.2274820064159,626
11,-994.9499657988548,900
12,-995.2444281239395,562
13,-994.250395831877,690
14,-993.3477527402596,565
15,-989.7107648734204,508
16,-995.3235267863557,608
17,-994.7933398455058,516
18,-992.3815798225918,506
19,-994.1741093440821,540
20,-993.7807621544773,543
21,-993.4900983902452,555
22,-995.1361564529216,492
23,-993.9461750101057,453
24,-995.5199356535593,562
25,-995.6725288755529,511
26,-994.5633231936125,622
27,-996.048401385873,507
28,-995.4957758873946,543
29,-994.9951978315167,883
30,-995.9315654835472,713
31,-996.7677132858734,525
32,-996.2546091824385,530
33,-995.0910359085547,508
34,-995.2734539795064,654
35,-996.3294150948274,748
36,-996.363487944033,477
37,-997.8997660292432,1178
38,-997.183932973078,863
39,-996.6311616582371,553
40,-996.3066432846288,632
41,-994.9726779462324,560
42,-995.2475179387111,536
43,-995.7110354695317,485
44,-995.4229756438173,536
45,-994.7781066300347,579
46,-994.2904139234413,650
47,-993.2194718590448,506
48,-995.3159900653579,540
49,-995.2578745941087,547
50,-994.8801809177305,593
51,-993.1769734830955,586
52,-991.1767053181223,543
53,-995.1063395816091,708
54,-994.4980444610625,569
55,-993.7421041931096,512
56,-992.7307198728304,792
57,-993.7895821780133,668
58,-992.5561648946326,1322
59,-994.980350551599,684
60,-994.6545886788102,502
61,-994.8350215113855,520
62,-994.1054149265553,476
63,-995.668655378553,517
64,-995.788792346452,543
65,-995.3340436056833,629
66,-995.0177463523759,519
67,-995.9705485358764,571
68,-996.1196843130672,495
69,-995.7010261693863,592
70,-996.8227845251721,552
71,-996.4357217993513,529
72,-995.689204918866,567
73,-995.3796084497045,576
74,-995.7418486467368,711
75,-995.3372951209175,554
76,-996.3807110443745,733
77,-996.0110151051416,715
78,-997.1568981794676,738
79,-995.8930964384843,605
80,-996.7429104184754,586
81,-996.590574829265,624
82,-996.8388503768033,620
83,-993.1458736748315,551
84,-997.2496389809362,724
85,-997.2679444608849,1256
86,-996.2421165411981,838
87,-996.9972155747032,618
88,-997.4920591984563,635
89,-996.5219053070496,547
90,-995.8668670075315,606
91,-996.8283917067871,616
92,-997.8325538451588,635
93,-997.029458464428,975
94,-995.9889874687467,555
95,-997.6742059048036,931
96,-997.335411476575,561
97,-996.9984274043497,605
98,-997.6852850121292,631
99,-997.8956500662567,764
100,-997.0287338140786,559
101,-996.2646386905622,575
102,-996.7445959487387,920
103,-995.7024892769409,688
104,-996.7508885893419,580
105,-994.6125902786001,818
106,-997.5478594141765,555
107,-997.14504117621,553
108,-995.452238161147,838
109,-995.2828096972618,681
110,-995.5647528099113,525
111,-996.2833988801061,540
112,-996.890850563648,700
113,-997.0809037158346,657
114,-997.3273641580539,679
115,-996.662576267941,541
116,-997.2867021780136,602
117,-998.111999846978,1043
118,-998.0248166691363,787
119,-996.0170261973476,1600
120,-997.9849203963258,519
121,-997.7839986088435,631
122,-998.0167243674155,726
123,-998.0609883375021,696
124,-998.37388635151,755
125,-998.0743356134251,726
126,-998.9200256122203,1159
127,-997.7995152346894,699
128,-998.1866475572391,803
129,-998.4057724623577,614
130,-998.4627900195442,990
131,-998.034885507714,768
132,-998.2217592453213,1059
133,-998.1883921349612,865
134,-998.5028576013829,796
135,-998.2439713527968,822
136,-998.1070666146325,691
137,-998.1308898884452,694
138,-997.9667984800383,641
139,-998.0615670203085,677
140,-999.0604672238788,1478
141,-998.3150014748555,907
142,-997.4504903219196,674
143,-997.1410125187639,1107
144,-998.4558799526684,1433
145,-998.2658992089804,809
146,-998.4990966218178,955
147,-997.4893747690438,960
148,-998.4855224416029,853
149,-998.359418060834,775
150,-998.2204018923067,781
151,-998.2830188638964,832
152,-999.0895009392057,1268
153,-996.3054004953809,796
154,-997.7365886535141,969
155,-998.7810726127187,1942
156,-998.9188938163421,1061
157,-997.4547461857928,750
158,-998.4375624003459,694
159,-998.4080592246354,691
160,-998.4537703769079,809
161,-998.6871889950714,1089
